[IRV | UR | OT | Numbers | Chapter 2 | Verse 1] और ख़ुदावन्द ने मूसा और हारून से कहा कि
[IRV | UR | OT | Numbers | Chapter 2 | Verse 2] “बनी — इस्राईल अपने — अपने ख़ेमे अपने — अपने झंडे के निशान के पास और अपने — अपने आबाई ख़ान्दान के 'अलम के साथ ख़ेमा — ए — इजितमा'अ के सामने और उसके चारों तरफ़ लगाएँ।
[IRV | UR | OT | Numbers | Chapter 2 | Verse 3] और जो पश्चिम की तरफ़ जिधर से सूरज निकलता है, अपने ख़ेमे अपने दलों के मुताबिक़ लगाएँ वह यहूदाह की छावनी के झंडे के लोग हों, और अम्मीनदाब का बेटा नहसोन बनी यहूदाह का सरदार हो;
[IRV | UR | OT | Numbers | Chapter 2 | Verse 4] और उसके दल के लोग जो शुमार किए गए थे वह सब चौहत्तर हजार छ: सौ थे।
[IRV | UR | OT | Numbers | Chapter 2 | Verse 5] और इनके क़रीब इश्कार के क़बीले के लोग ख़ेमे लगायें, और ज़ुग़र का बेटा नतनीएल बनी इश्कार का सरदार हो;
[IRV | UR | OT | Numbers | Chapter 2 | Verse 6] और उसके दल के लोग जो शुमार किए गए थे चव्वन हज़ार चार सौ थे।
[IRV | UR | OT | Numbers | Chapter 2 | Verse 7] फिर ज़बूलून का क़बीला हो, और हेलोन का बेटा इलियाब बनी ज़बूलून का सरदार हो;
[IRV | UR | OT | Numbers | Chapter 2 | Verse 8] और उसके दल के लोग जो शुमार किए गए थे वह सत्तावन हज़ार चार सौ थे।
[IRV | UR | OT | Numbers | Chapter 2 | Verse 9] इसलिए जितने यहूदाह की छावनी में अपने — अपने दल के मुताबिक़ गिने गए वह एक लाख छियासी हज़ार चार सौ थे। पहले यही रवाना हुआ करें।
[IRV | UR | OT | Numbers | Chapter 2 | Verse 10] “और दख्खिन की तरफ़ अपने दलों के मुताबिक़ रूबिन की छावनी के झंडे के लोग हों, और शदियूर का बेटा इलिसूर बनी रूबिन का सरदार हो;
[IRV | UR | OT | Numbers | Chapter 2 | Verse 11] और उसके दल के लोग जो शुमार किए गए थे वह छियालीस हज़ार पाँच सौ थे।
[IRV | UR | OT | Numbers | Chapter 2 | Verse 12] और इनके क़रीब शमौन के क़बीले के लोग ख़ेमे लगायें, और सूरीशद्दी का बेटा सलूमीएल बनी शमौन का सरदार हो;
[IRV | UR | OT | Numbers | Chapter 2 | Verse 13] और उसके दल के लोग जो शुमार किए गए थे वह उनसठ हज़ार तीन सौ थे।
[IRV | UR | OT | Numbers | Chapter 2 | Verse 14] फिर जद्द का क़बीला हो, और र'ऊएल का बेटा इलियासफ़ बनी जद्द का सरदार हो;
[IRV | UR | OT | Numbers | Chapter 2 | Verse 15] और उसके दल के लोग जो शुमार किए गए थे वह पैन्तालीस हज़ार छ: सौ पचास थे।
