[IRV | UR | OT | Numbers | Chapter 16 | Verse 1] और क़ोरह बिन इज़हार बिन क़िहात बिन लावी ने बनी रूबिन में से इलियाब के बेटों दातन और अबीराम, और पलत के बेटे ओन के साथ मिल कर और आदमियों को साथ लिया;
[IRV | UR | OT | Numbers | Chapter 16 | Verse 2] और वह और बनी — इस्राईल में से ढाई सौ और अश्ख़ास जो जमा'अत के सरदार और चीदा और मशहूर आदमी थे, मूसा के मुक़ाबले में उठे;
[IRV | UR | OT | Numbers | Chapter 16 | Verse 3] और वह मूसा और हारून के ख़िलाफ़ इकट्ठे होकर उनसे कहने लगे, “तुम्हारे तो बड़े दा'वे हो चले, क्यूँकि जमा'अत का एक — एक आदमी पाक है और ख़ुदावन्द उनके बीच रहता है। इसलिए तुम अपने आप को ख़ुदावन्द की जमा'अत से बड़ा क्यूँकर ठहराते हो?”
[IRV | UR | OT | Numbers | Chapter 16 | Verse 4] मूसा यह सुन कर मुँह के बल गिरा।
[IRV | UR | OT | Numbers | Chapter 16 | Verse 5] फिर उसने क़ोरह और उसके कुल फ़रीक़ से कहा कि “कल सुबह ख़ुदावन्द दिखा देगा कि कौन उसका है और कौन पाक है और वह उसी को अपने नज़दीक आने देगा, क्यूँकि जिसे वह ख़ुद चुनेगा उसे वह अपनी क़ुरबत भी देगा।
[IRV | UR | OT | Numbers | Chapter 16 | Verse 6] इसलिए ऐ क़ोरह और उसके फ़रीक़ के लोगों, तुम यूँ करो कि अपना अपना ख़ुशबूदान लो,
[IRV | UR | OT | Numbers | Chapter 16 | Verse 7] और उनमें आग भरो और ख़ुदावन्द के सामने कल उनमें ख़ुशबू जलाओ, तब जिस शख़्स को ख़ुदावन्द चुन ले वही पाक ठहरेगा। ऐ लावी के बेटो, बड़े — बड़े दा'वे तो तुम्हारे हैं।”
[IRV | UR | OT | Numbers | Chapter 16 | Verse 8] फिर मूसा ने क़ोरह की तरफ़ मुख़ातिब होकर कहा, ऐ बनी लावी सुनो,
[IRV | UR | OT | Numbers | Chapter 16 | Verse 9] क्या यह तुम को छोटी बात दिखाई देती है कि इस्राईल के ख़ुदा ने तुम को बनी — इस्राईल की जमा'अत में से चुन कर अलग किया, ताकि तुम को वह अपनी क़ुरबत बख़्शे और तुम ख़ुदावन्द के घर की ख़िदमत करो, और जमा'अत के आगे खड़े हो कर उसकी भी ख़िदमत बजा लाओ।
[IRV | UR | OT | Numbers | Chapter 16 | Verse 10] और तुझे और तेरे सब भाइयों को जो बनी लावी हैं, अपने नज़दीक आने दिया? इसलिए क्या अब तुम कहानत को भी चाहते हो?
[IRV | UR | OT | Numbers | Chapter 16 | Verse 11] इसीलिए तू और तेरे फ़रीक़ के लोग, यह सब के सब ख़ुदावन्द के खिलाफ़ इकट्ठे हुए हैं; और हारून कौन है जो तुम उस की शिकायत करते हो?”
