[IRV | UR | OT | Numbers | Chapter 3 | Verse 1] और जिस दिन ख़ुदावन्द ने कोह-ए-सीना पर मूसा से बातें कीं, तब हारून और मूसा के पास यह औलाद थी।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 2] और हारून के बेटों के नाम यह हैं: नदब जो पहलौठा था, और अबीहू और इली'एलियाज़र और ऐतामर।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 3] हारून के बेटे जो कहानत के लिए मम्सूह हुए और जिनको उसने कहानत की ख़िदमत के लिए मख़्सूस किया था उनके नाम यही हैं।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 4] और नदब और अबीहू तो जब उन्होंने दश्त — ए — सीना में ख़ुदावन्द के सामने ऊपरी आग पेश कीं तब ही ख़ुदावन्द के सामने मर गए, और वह बे — औलाद भी थे। और इली'एलियाज़र और ऐतामर अपने बाप हारून के सामने कहानत की ख़िदमत को अन्जाम देते थे।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 5] और ख़ुदावन्द ने मूसा से कहा,
[IRV | UR | OT | Numbers | Chapter 3 | Verse 6] “लावी के क़बीले को नज़दीक लाकर हारून काहिन के आगे हाज़िर कर ताकि वह उसकी ख़िदमत करें।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 7] और जो कुछ उसकी तरफ़ से और जमा'अत की तरफ़ से उनको सौंपा जाए वह सब की ख़ेमा — ए — इजितमा'अ के आगे निगहबानी करें ताकि घर की ख़िदमत बजा लाएँ।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 8] और वह ख़ेमा — ए — इजितमा'अ के सब सामान की और बनी — इस्राईल की सारी अमानत की हिफ़ाज़त करें ताकि घर की ख़िदमत बजा लाएँ।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 9] और तू लावियों को हारून और उसके बेटों के हाथ में सुपर्द कर; बनी — इस्राईल की तरफ़ से वह बिल्कुल उसे दे दिए गए हैं।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 10] और हारून और उसके बेटों को मुक़र्रर कर, और वह अपनी कहानत को महफ़ूज़ रख्खे और अगर कोई अजनबी नज़दीक आये तो वह जान से मारा जाए।”
[IRV | UR | OT | Numbers | Chapter 3 | Verse 11] और ख़ुदावन्द ने मूसा से कहा कि;
[IRV | UR | OT | Numbers | Chapter 3 | Verse 12] “देख, मैंने बनी — इस्राईल में से लावियों को उन सभों के बदले में ले लिया है जो इस्राईलियों में पहलौठी के बच्चे हैं, इसलिए लावी मेरे हों।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 13] क्यूँकि सब पहलौठे मेरे हैं, इसलिए कि जिस दिन मैंने मुल्क — ए — मिस्र में सब पहलौठों को मारा, उसी दिन मैंने बनी — इस्राईल के सब पहलौठों को, क्या इंसान और क्या हैवान, अपने लिए पाक किया; इसलिए वह ज़रूर मेरे हों। मैं ख़ुदावन्द हूँ।”
[IRV | UR | OT | Numbers | Chapter 3 | Verse 14] फिर ख़ुदावन्द ने दश्त — ए — सीना में मूसा से कहा,
[IRV | UR | OT | Numbers | Chapter 3 | Verse 15] “बनी लावी को उनके आबाई ख़ान्दानों और घरानों के मुताबिक़ शुमार कर, या'नी एक महीने और उससे ऊपर — ऊपर के हर लड़के को गिनना।”
[IRV | UR | OT | Numbers | Chapter 3 | Verse 16] चुनाँचे मूसा ने ख़ुदावन्द के हुक्म के मुताबिक़ जो उसने उसे दिया, उनको गिना।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 17] और लावी के बेटों के नाम यह हैं: जैरसोन और क़िहात और मिरारी।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 18] जैरसोन के बेटों के नाम जिनसे उनके ख़ान्दान चले यह हैं: लिबनी और सिम'ई।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 19] और क़िहात के बेटों के नाम जिनसे उनके ख़ान्दान चले 'अमराम और इज़हार और हब्रून और 'उज़्ज़ीएल हैं।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 20] और मिरारी के बेटे जिनसे उनके ख़ान्दान चले, महली और मूशी हैं। लावियों के घराने उनके आबाई ख़ान्दानों के मुवाफ़िक़ यही हैं।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 21] और जैरसोन से लिबनियों और सिम'ईयों के ख़ान्दान चले; यह जैरसोनियों के ख़ान्दान हैं।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 22] इनमें जितने फ़रज़न्द — ए — नरीना एक महीने और उससे ऊपर — ऊपर के थे वह सब गिने गए और उनका शुमार सात हज़ार पाँच सौ था।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 23] जैरसोनियों के ख़ान्दानों के आदमी घर के पीछे पश्चिम की तरफ़ अपने ख़ेमे लगाया करें।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 24] और लाएल का बेटा इलियासफ़, जैरसोनियों के आबाई ख़ान्दानों का सरदार हो।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 25] और ख़ेमा — ए — इजितमा'अ के जो सामान बनी जैरसोन की हिफ़ाज़त में सौंपे जाएँ वह यह हैं: घर और ख़ेमा, और उसका ग़िलाफ़, और ख़ेमा — ए — इजितमा'अ के दरवाज़े का पर्दा,
[IRV | UR | OT | Numbers | Chapter 3 | Verse 26] और घर और मज़बह के गिर्द के सहन के पर्दे, और सहन के दरवाज़े का पर्दा, और वह सब रस्सियाँ जो उसमें काम आती हैं।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 27] और क़िहात से 'अमरामियों और इज़हारियों और हबरूनियों और 'उज़्ज़ीएलियों के ख़ान्दान चले; ये क़िहातियों के ख़ान्दान हैं।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 28] उनके फ़र्ज़न्द — ए — नरीना एक महीने और उससे ऊपर — ऊपर के आठ हज़ार छ: सौ थे। हैकल की निगहबानी इनके ज़िम्मे थी।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 29] बनी क़िहात के ख़ान्दानों के आदमी घर की दख्खिनी सिम्त में अपने ख़ेमे डाला करें।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 30] और 'उज़्ज़ीएल का बेटा इलिसफ़न क़िहातियों के घरानों के आबाई खान्दान का सरदार हो।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 31] और सन्दूक़ और मेज़ और शमा'दान और दोनों मज़बहे और हैकल के बर्तन, जो इबादत के काम में आते हैं, और पर्दे और हैकल में बर्तन का सारा सामान, यह सब उनके ज़िम्मे हों।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 32] और हारून काहिन का बेटा इली'एलियाज़र लावियों के सरदारों का सरदार और हैकल के मुत्वल्लियों का नाज़िर हो।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 33] मिरारी से महलियों और मूशियों के ख़ान्दान चले; यह मिरारियों के ख़ान्दान हैं।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 34] इनमें जितने फ़रज़न्द — ए — नरीना एक महीने और उससे ऊपर — ऊपर के थे वह छः हज़ार दो सौ थे।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 35] और अबीख़ैल का बेटा सूरीएल मिरारियों के घरानों के आबाई ख़ान्दान का सरदार हो। यह लोग घर की उत्तरी सिम्त में अपने ख़ेमे डाला करें।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 36] और घर के तख़्तों और उसकी बेडों और सुतूनों और ख़ानों और उसके सब आलात, और उसकी ख़िदमत के सब लवाज़िम की मुहाफ़िज़त,
[IRV | UR | OT | Numbers | Chapter 3 | Verse 37] और सहन के चारों तरफ़ के सुतूनों, और ख़ानों और मेख़ों और रस्सियों की निगरानी बनी मिरारी के ज़िम्मे हो।
[IRV | UR | OT | Numbers | Chapter 3 | Verse 38] और घर के आगे पश्चिम की तरफ़ जिधर से सूरज निकलता है, या'नी ख़ेमा — ए — इजितमा'अ के आगे, मूसा और हारून और उसके बेटे अपने ख़ेमे लगाया करें और बनी — इस्राईल के बदले हैकल की हिफ़ाज़त किया करें; और जो अजनबी शख़्स उसके नज़दीक आए वह जान से मारा जाए।
