[IRV | UR | OT | Numbers | Chapter 22 | Verse 1] फिर बनी — इस्राईल रवाना हुए और दरिया — ए — यरदन के पार मोआब के मैदानों में यरीहू के सामने ख़ेमे खड़े किए।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 2] और जो कुछ बनी — इस्राईल ने अमोरियों के साथ किया था वह सब बलक़ बिन सफ़ोर ने देखा था।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 3] इसलिए मोआबियों को इन लोगों से बड़ा ख़ौफ़ आया, क्यूँकि यह बहुत से थे; ग़र्ज़ मोआबी बनी — इस्राईल की वजह से परेशान हुए।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 4] तब मोआबियों ने मिदियानी बुज़ुर्गों से कहा, “जो कुछ हमारे आस पास है उसे यह लश्कर ऐसा चट कर जाएगा जैसे बैल मैदान की घास को चट कर जाता है।” उस वक़्त बलक़ बिन सफ़ोर मोआबियों का बादशाह था।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 5] इसलिए उस ने ब'ओर के बेटे बल'आम के पास फ़तोर को, जो बड़े दरिया कि किनारे उसकी क़ौम के लोगों का मुल्क था, क़ासिद रवाना किए कि उसे बुला लाएँ और यह कहला भेजा, “देख, एक क़ौम मिस्र से निकलकर आई है, उनसे ज़मीन की सतह छिप गई है; अब वह मेरे सामने ही आकर जम गए हैं।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 6] इसलिए अब तू आकर मेरी ख़ातिर इन लोगों पर ला'नत कर, क्यूँकि यह मुझ से बहुत क़वी हैं; फिर मुम्किन है कि मैं ग़ालिब आऊँ, और हम सब इनको मार कर इस मुल्क से निकाल दें; क्यूँकि यह मैं जानता हूँ कि जिसे तू बरकत देता है उसे बरकत मिलती है, और जिस पर तू ला'नत करता है वह मला'ऊन होता है।”
[IRV | UR | OT | Numbers | Chapter 22 | Verse 7] तब मोआब के बुज़ुर्ग और मिदियान के बुज़ुर्ग फ़ाल खोलने का इनाम साथ लेकर रवाना हुए और बल'आम के पास पहुँचे और बलक़ का पैग़ाम उसे दिया।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 8] उसने उनसे कहा, “आज रात यहीं ठहरो और जो कुछ ख़ुदावन्द मुझ से कहेगा, उसके मुताबिक़ मैं तुम को जवाब दूँगा।” चुनाँचे मोआब के हाकिम बल'आम के साथ ठहर गए।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 9] और ख़ुदा ने बल'आम के पास आकर कहा, “तेरे यहाँ यह कौन आदमी हैं?”
[IRV | UR | OT | Numbers | Chapter 22 | Verse 10] बल'आम ने ख़ुदा से कहा, “मोआब के बादशाह बलक़ बिन सफ़ोर ने मेरे पास कहला भेजा है, कि
[IRV | UR | OT | Numbers | Chapter 22 | Verse 11] जो कौम मिस्र से निकल कर आई है उससे ज़मीन की सतह छिप गई है, इसलिए तू अब आकर मेरी ख़ातिर उन पर ला'नत कर, फिर मुम्किन है कि मैं उनसे लड़ सकूँ और उनको निकाल दूँ।”
[IRV | UR | OT | Numbers | Chapter 22 | Verse 12] ख़ुदा ने बल'आम से कहा, “तू इनके साथ मत जाना, तू उन लोगों पर ला'नत न करना, इसलिए कि वह मुबारक हैं।”
[IRV | UR | OT | Numbers | Chapter 22 | Verse 13] बल'आम ने सुबह को उठ कर बलक़ के हाकिमों से कहा, “तुम अपने मुल्क को लौट जाओ, क्यूँकि ख़ुदावन्द मुझे तुम्हारे साथ जाने की इजाज़त नहीं देता।”
[IRV | UR | OT | Numbers | Chapter 22 | Verse 14] और मोआब के हाकिम चले गए और जाकर बलक़ से कहा, “बल'आम हमारे साथ आने से इंकार करता है।”
[IRV | UR | OT | Numbers | Chapter 22 | Verse 15] तब दूसरी दफ़ा' बलक़ ने और हाकिमों को भेजा, जो पहलों से बढ़ कर मु'अज़िज़ और शुमार में भी ज़्यादा थे।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 16] उन्होंने बल'आम के पास जाकर उस से कहा, “बलक़ बिन सफ़ोर ने यूँ कहा है, कि मेरे पास आने में तेरे लिए कोई रुकावट न हो;
[IRV | UR | OT | Numbers | Chapter 22 | Verse 17] क्यूँकि मैं बहुत 'आला मन्सब पर तुझे मुम्ताज़ करूँगा, और जो कुछ तू मुझ से कहे मैं वही करूँगा; इसलिए तू आ जा और मेरी ख़ातिर इन लोगों पर ला'नत कर।”
[IRV | UR | OT | Numbers | Chapter 22 | Verse 18] बल'आम ने बलक़ के ख़ादिमों को जवाब दिया, “अगर बलक़ अपना घर भी चाँदी और सोने से भर कर मुझे दे, तो भी मैं ख़ुदावन्द अपने ख़ुदा के हुक्म से तजावुज़ नहीं कर सकता, कि उसे घटाकर या बढ़ा कर मानूँ।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 19] इसलिए अब तुम भी आज रात यहीं ठहरो, ताकि मैं देखूँ कि ख़ुदावन्द मुझ से और क्या कहता है।”
[IRV | UR | OT | Numbers | Chapter 22 | Verse 20] और ख़ुदा ने रात को बल'आम के पास आ कर उससे कहा, “अगर यह आदमी तुझे बुलाने को आए हुए हैं तो तू उठ कर उनके साथ जा; मगर जो बात मैं तुझ से कहूँ उसी पर 'अमल करना।”
[IRV | UR | OT | Numbers | Chapter 22 | Verse 21] तब बल'आम सुबह को उठा, और अपनी गधी पर ज़ीन रख कर मोआब के हाकिमों के साथ चला।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 22] और उसके जाने की वजह से ख़ुदा का ग़ज़ब भड़का, और ख़ुदावन्द का फ़रिश्ता उससे मुज़ाहमत करने के लिए रास्ता रोक कर खड़ा हो गया। वह तो अपनी गधी पर सवार था और उसके साथ उसके दो मुलाज़िम थे।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 23] और उस गधी ने ख़ुदावन्द के फ़रिश्ते को देखा, कि वह अपने हाथ में नंगी तलवार लिए हुए रास्ता रोके खड़ा है; तब गधी रास्ता छोड़कर एक तरफ़ हो गई और खेत में चली गई। तब बल'आम ने गधी को मारा ताकि उसे रास्ते पर ले आए।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 24] तब ख़ुदावन्द का फ़रिश्ता एक नीची राह में जा खड़ा हुआ, जो ताकिस्तानों के बीच से होकर निकलती थी और उसकी दोनों तरफ़ दीवारें थीं।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 25] गधी ख़ुदावन्द के फ़रिश्ते को देख कर दीवार से जा लगी और बल'आम का पाँव दीवार से पिचा दिया, इसलिए उसने फिर उसे मारा।
