[IRV | UR | OT | Numbers | Chapter 1 | Verse 1] बनी — इस्राईल के मुल्क — ए — मिस्र से निकल आने के दूसरे बरस के दूसरे महीने की पहली तारीख़ को सीना के वीरान में ख़ुदावन्द ने ख़ेमा — ए — इजितमा'अ में मूसा से कहा कि,
[IRV | UR | OT | Numbers | Chapter 1 | Verse 2] “तुम एक — एक मर्द का नाम ले लेकर गिनो, और उनके नामों की ता'दाद से बनी — इस्राईल की सारी जमा'अत की मर्दुमशुमारी का हिसाब उनके क़बीलों और आबाई ख़ान्दानों के मुताबिक़ करो।
[IRV | UR | OT | Numbers | Chapter 1 | Verse 3] बीस बरस और उससे ऊपर — ऊपर की उम्र के जितने इस्राईली जंग करने के क़ाबिल हों, उन सभों के अलग — अलग दलों को तू और हारून दोनों मिल कर गिन डालो।
[IRV | UR | OT | Numbers | Chapter 1 | Verse 4] और हर क़बीले से एक — एक आदमी जो अपने आबाई ख़ान्दान का सरदार है तुम्हारे साथ हो।
[IRV | UR | OT | Numbers | Chapter 1 | Verse 5] और जो आदमी तुम्हारे साथ होंगे उनके नाम यह हैं: रूबिन के क़बीले से इलिसूर बिन शदियूर
[IRV | UR | OT | Numbers | Chapter 1 | Verse 6] शमौन के क़बीले से सलूमीएल बिन सूरीशद्दी,
[IRV | UR | OT | Numbers | Chapter 1 | Verse 7] यहूदाह के क़बीले से नहसोन बिन 'अम्मीनदाब,
[IRV | UR | OT | Numbers | Chapter 1 | Verse 8] इश्कार के क़बीले से नतनीएल बिन ज़ुग़र,
[IRV | UR | OT | Numbers | Chapter 1 | Verse 9] ज़बूलून के क़बीले से इलियाब बिन हेलोन,
[IRV | UR | OT | Numbers | Chapter 1 | Verse 10] यूसुफ़ की नसल में से इफ़्राईम के क़बीले का इलीसमा'अ बिन 'अम्मीहूद, और मनस्सी के क़बीले का जमलीएल बिन फ़दाहसूर,
[IRV | UR | OT | Numbers | Chapter 1 | Verse 11] बिनयमीन के क़बीले से अबिदान बिन जिदा'ऊनी
