[IRV | GU | OT | Nahum | Chapter 1 | Verse 1] નિનવે વિષે ઈશ્વરનું વચન. નાહૂમ એલ્કોશીના સંદર્શનનું પુસ્તક.
[IRV | GU | OT | Nahum | Chapter 1 | Verse 2] યહોવાહ આવેશી ઈશ્વર છે અને બદલો લેનાર છે; યહોવાહ બદલો લે છે અને તે કોપાયમાન થયા છે; યહોવાહ પોતાના દુશ્મનો પર વૈર વાળે છે, અને પોતાના દુશ્મનો માટે ગુસ્સો સંઘરી રાખે છે.
[IRV | GU | OT | Nahum | Chapter 1 | Verse 3] યહોવાહ કોપ કરવામાં ધીમા અને સામર્થ્યમાં પરાક્રમી છે; તે ગુનેગારોને નિર્દોષ ગણનાર નથી. યહોવાહ પોતાનો માર્ગ વંટોળીયા તથા તોફાનમાં બનાવે છે, અને વાદળો તેમના ચરણોની ધૂળ સમાન છે.
[IRV | GU | OT | Nahum | Chapter 1 | Verse 4] તે સમુદ્રને ધમકાવે છે અને તેને સૂકવી નાખે છે; તે બધી નદીઓને પણ સૂકવી દે છે. બાશાન અને કાર્મેલના લીલાછમ પ્રાંતો સુકાઈ જાય છે; લબાનોનનાં ફૂલો કરમાઈ જાય છે.
[IRV | GU | OT | Nahum | Chapter 1 | Verse 5] તેમની હાજરીમાં પર્વતો ધ્રૂજે છે, અને ડુંગરો ઓગળી જાય છે; તેમની હાજરીમાં પૃથ્વી, હા, દુનિયા તથા તેમાં વસતા બધા લોકો હાલી ઊઠે છે.
[IRV | GU | OT | Nahum | Chapter 1 | Verse 6] તેમના ક્રોધ આગળ કોણ ઊભો રહી શકે? તેમના ઉગ્ર ક્રોધનો સામનો કોણ કરી શકે? તેમનો ક્રોધ અગ્નિની જેમ વ્યાપે છે, અને તેમના કોપથી ખડકો તૂટી જાય છે.
[IRV | GU | OT | Nahum | Chapter 1 | Verse 7] યહોવાહ સારા છે; સંકટના સમયમાં તે ગઢરૂપ છે; તેમના પર ભરોસો રાખનારને તે ઓળખે છે.
[IRV | GU | OT | Nahum | Chapter 1 | Verse 8] પણ તે પ્રચંડ પૂરથી પોતાના શત્રુઓનો અંત લાવશે; તે તેઓને અંધારામાં ધકેલી દેશે.
[IRV | GU | OT | Nahum | Chapter 1 | Verse 9] શું તમે યહોવાહની વિરુદ્ધ ષડયંત્ર રચો છો? તે સંપૂર્ણપણે અંત લાવશે; બીજીવાર કશી વિપત્તિ ઊભી થશે નહિ.
[IRV | GU | OT | Nahum | Chapter 1 | Verse 10] કેમ કે તેઓના હાલ ગૂંચવાયેલા કાંટા જેવા થશે; તેઓ પોતાના મદ્યપાનથી પલળી ગયા હશે; તેઓ સંપૂર્ણપણે સૂકાઘાસની માફક નાશ થઈ જશે.
[IRV | GU | OT | Nahum | Chapter 1 | Verse 11] હે નિનવે તારામાંથી જે નીકળીને બહાર ગયો, તે યહોવાહની વિરુદ્ધ દુષ્ટ યોજના કરે છે, તે દુષ્ટતા કરવાનું પ્રોત્સાહન આપે છે.
[IRV | GU | OT | Nahum | Chapter 1 | Verse 12] યહોવાહ આમ કહે છે, “જો કે તેઓ સંપૂર્ણ બળવાન તથા સંખ્યામાં ઘણાં હશે, તેમ છતાં તેઓ કપાઈ જશે; તેમના લોકો પણ રહેશે નહિ. પણ તું, યહૂદા જોકે મેં તને દુઃખી કર્યો છે, તોપણ હવે પછી હું તને દુઃખી નહિ કરું.
[IRV | GU | OT | Nahum | Chapter 1 | Verse 13] હવે હું તારા પરથી તેની ઝૂંસરી તોડી નાખીશ; હું તારી સાંકળો તોડી નાખીશ.”
[IRV | GU | OT | Nahum | Chapter 1 | Verse 14] યહોવાહે તારા વિષે આજ્ઞા આપી છે, નિનવે, વંશજો તારું નામ ધારણ કરશે નહિ. તારા દેવોના મંદિરોમાંથી ઘડેલી મૂર્તિઓનો તથા ઢાળેલી પ્રતિમાઓનો હું નાશ કરીશ. હું તારી કબર ખોદીશ, કેમ કે તું દુષ્ટ છે.
