[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 1] For I would that ye knew what great conflict I have for you, and for them at Laodicea, and for as many as have not seen my face in the flesh;
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 2] That their hearts may be comforted, being knit together in love, and to all riches of the full assurance of understanding to the acknowledgment of the mystery of God, and of the Father, and of Christ;
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 3] In whom are hid all the treasures of wisdom and knowledge.
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 4] And this I say, lest any man should deceive you with enticing words.
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 5] For though I am absent in the flesh, yet I am with you in the spirit, joying and beholding your order, and the steadfastness of your faith in Christ.
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 6] As ye have therefore received Christ Jesus the Lord, so walk ye in him:
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 7] Rooted and built up in him, and established in the faith, as ye have been taught, abounding in it with thanksgiving.
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 8] Beware lest any man make a prey of you through philosophy and vain deceit, after the tradition of men, after the rudiments of the world, and not after Christ.
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 9] For in him dwelleth all the fullness of the Godhead bodily.
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 10] And ye are complete in him, who is the head of all principality and power:
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 11] In whom also ye are circumcised with the circumcision made without hands, in putting off the body of the sins of the flesh by the circumcision of Christ:
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 12] Buried with him in baptism, in which also ye are raised with him through the faith of the operation of God, who hath raised him from the dead.
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 13] And you, being dead in your sins and the uncircumcision of your flesh, hath he made alive together with him, having forgiven you all trespasses;
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 14] Blotting out the hand-writing of ordinances that was against us, which was contrary to us, and took it out of the way, nailing it to his cross;
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 15] And having despoiled principalities and powers, he made a show of them openly, triumphing over them in it.
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 16] Let no man therefore judge you in food, or in drink, or in respect of a holy-day, or or the new-moon, or of the sabbaths:
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 17] Which are a shadow of things to come; but the body is of Christ.
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 18] Let no man beguile you of your reward in a voluntary humility and worshiping of angels, intruding into those things which he hath not seen, vainly puffed up by his fleshly mind,
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 19] And not holding the head, from which all the body by joints and bands having nourishment ministered, and knit together, increaseth with the increase of God.
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 20] Wherefore, if ye are dead with Christ from the rudiments of the world, why, as though living in the world, are ye subject to ordinances,
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 21] (Touch not; taste not; handle not;
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 22] Which all are to perish with the using;) according to the commandments and doctrines of men?
[WEBSTER | EN | NT | Colossians | Chapter 2 | Verse 23] Which things have indeed a show of wisdom in will-worship, and humility, and neglecting of the body; not in any honor to the satisfying of the flesh.
