[IRV | BN | OT | Numbers | Chapter 5 | Verse 1] সদাপ্রভু মোশিকে বললেন,
[IRV | BN | OT | Numbers | Chapter 5 | Verse 2] “তুমি ইস্রায়েল সন্তানদের আদেশ কর, যেন তারা প্রত্যেক কুষ্ঠীকে, প্রত্যেক প্রমেহীকে ও মৃত ব্যক্তির মাধ্যমে অশুচি প্রত্যেক জনকে শিবির থেকে বের করে দেয়।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 3] তোমরা পুরুষ ও স্ত্রীলোককে বের কর, তাদেরকে শিবির থেকে বের কর। তাদের যে শিবিরের মধ্যে আমি বাস করি, তারা তা অশুচি না করুক।”
[IRV | BN | OT | Numbers | Chapter 5 | Verse 4] তখন ইস্রায়েল সন্তানরা সেই রকম কাজ করল, তাদেরকে শিবির থেকে বের করে দিল; সদাপ্রভু মোশিকে যেমন বলেছিলেন, ইস্রায়েল সন্তানরা সেই রকম করল।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 5] সদাপ্রভু মোশিকে বললেন,
[IRV | BN | OT | Numbers | Chapter 5 | Verse 6] “তুমি ইস্রায়েল সন্তানদের বল, ‘পুরুষ কিংবা স্ত্রী হোক, একজন আর একজন মানুষের সাথে যেভাবে পাপ করে যখন কেউ সেরকম করে সদাপ্রভুর আদেশ অমান্য করে, আর সেই ব্যক্তি দণ্ডনীয় হয়, তখন সে যে পাপ করেছে,
[IRV | BN | OT | Numbers | Chapter 5 | Verse 7] সেটা স্বীকার করবে ও নিজের দোষের জন্য মূল্য ও তার পঞ্চমাংশের এক অংশের বেশি, যার বিরুদ্ধে দোষ করেছে, তাকে দেবে।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 8] কিন্তু যাকে দোষের পরিশোধ দেওয়া হবে, এমন মুক্তিকর্তা জ্ঞাতি যদি তার না থাকে, তবে দোষের পরিশোধ সদাপ্রভুর উদ্দেশ্যে যাজককে দিতে হবে; তাছাড়া যার মাধ্যমে তার প্রায়শ্চিত্ত হয়, সেই প্রায়শ্চিত্তের ভেড়াও দিতে হবে।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 9] ইস্রায়েল সন্তানরা তাদের পবিত্র বস্তুর মধ্যে যত উপহার যাজকের কাছে আনে, সেই সব কিছু তার হবে।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 10] যে কেউ পবিত্র বস্তু দেয়, তা তারই হবে; কোন ব্যক্তি যে কোন বস্তু যাজককে দেয়, তা তার হবে’।”
[IRV | BN | OT | Numbers | Chapter 5 | Verse 11] আর আবার সদাপ্রভু মোশিকে বললেন,
[IRV | BN | OT | Numbers | Chapter 5 | Verse 12] “তুমি ইস্রায়েল সন্তানদের বল, তাদেরকে বল, কোন ব্যক্তির স্ত্রী যদি বিপথগামিনী হয়ে তার বিরুদ্ধে পাপ করে,
[IRV | BN | OT | Numbers | Chapter 5 | Verse 13] সে যদি স্বামীর চোখের আড়ালে কোন পুরুষের সঙ্গে সম্পর্ক করে গোপনে অশুচি হয় ও তার বিপক্ষে কোন সাক্ষী না থাকে ও সে ধরা না পড়ে
[IRV | BN | OT | Numbers | Chapter 5 | Verse 14] এবং স্ত্রী অশুচি হলে স্বামী যদি ঈর্ষান্বিত হয়; অথবা স্ত্রী অশুচি না হলেও যদি সে মিথ্যা ভাবে ঈর্ষান্বিত হয়;
[IRV | BN | OT | Numbers | Chapter 5 | Verse 15] তবে সেই স্বামী তার স্ত্রীকে যাজকের কাছে আনবে এবং তার জন্য উপহার, অর্থাৎ এক ঐফার দশমাংশ যবের সূজি আনবে, কিন্তু তার উপরে তেল ঢালবে না ও কুন্দুরু দেবে না; কারণ তা ঈর্ষান্বিতর ভক্ষ্য নৈবেদ্য, স্মরণের ভক্ষ্য নৈবেদ্য, যার মাধ্যমে অপরাধ স্মরণ হয়।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 16] যাজক সেই স্ত্রীকে নিয়ে সদাপ্রভুর সামনে উপস্থিত করবে।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 17] যাজক মাটির পাত্রে পবিত্র জল রেখে সমাগম তাঁবুর মেঝের কিছুটা ধূলো নিয়ে সেই জলে দেবে।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 18] যাজক সেই স্ত্রীকে সদাপ্রভুর সামনে উপস্থিত করবে ও তার মাথার চুল খুলে দিয়ে ঐ স্মরণের ভক্ষ্য নৈবেদ্য, অর্থাৎ ঈর্ষান্বিতর, তার হাতে দেবে এবং যাজকের হাতে অভিশাপজনক তেতো জল থাকবে।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 19] যাজক ঐ স্ত্রীকে শপথ করে বলবে, কোন পুরুষ যদি তোমার সঙ্গে না শুয়ে থাকে এবং তুমি নিজের স্বামীর অধীনে থাক ও যদি বিপথগামী কোন অশুচি কাজ না করে থাক, তবে এই অভিশাপজনক তেতো জল তোমার ওপর না কাজ করুক।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 20] কিন্তু তুমি নিজের স্বামীর অধীনে হয়েও যদি বিপথগামী হয়ে থাক, যদি অশুচি কাজ করে থাক ও তোমার স্বামী ছাড়া অন্য কোন পুরুষ যদি তোমার সঙ্গে শুয়ে থাকে,”
[IRV | BN | OT | Numbers | Chapter 5 | Verse 21] তবে যাজক সেই স্ত্রীকে অভিশাপজনক শপথ করাবে ও যাজক সেই স্ত্রীকে বলবে, সদাপ্রভু তোমার ঊরু অবশ ও তোমার পেট বড় করে তোমার লোকেদের মধ্যে তোমাকে শাপের ও অপবাদের পাত্রী করবেন;
[IRV | BN | OT | Numbers | Chapter 5 | Verse 22] এই অভিশাপজনক জল তোমার পেটের মধ্যে গিয়ে তোমার পেট বড় ও ঊরু অবশ করবে। তখন সেই স্ত্রী বলবে, আমেন, আমেন।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 23] যাজক সেই অভিশাপের কথা বইয়ে লিখে ঐ তেতো জলে মুছে ফেলবে।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 24] সেই অভিশাপজনক তেতো জল ঐ স্ত্রীকে পান করাবে; তাতে সেই অভিশাপজনক তেতো জল পান করাবে যেটা তার অভিশাপ স্বরূপ হবে।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 25] যাজক ঐ স্ত্রীর হাত থেকে সে ঈর্ষান্বিতর ভক্ষ্য নৈবেদ্য নেবে এবং সেই ভক্ষ্য নৈবেদ্য সদাপ্রভুর সামনে দেখিয়ে বেদির উপরে উপস্থিত করবে।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 26] যাজক সেটার স্মরণে সেই ভক্ষ্য নৈবেদ্যের এক মুঠো নিয়ে বেদির উপরে পোড়াবে, তারপরে ঐ স্ত্রীকে সেই জল পান করাবে।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 27] যখন সেই স্ত্রীকে জল পান করাবে, সে যদি তার স্বামীর বিরুদ্ধে পাপ করে অশুচি হয়ে থাকে, তবে সেই অভিশাপজনক জল তার মধ্যে তেতো হয়ে প্রবেশ করবে এবং তার পেট বড় ও ঊরু অবশ হয়ে পড়বে; এই ভাবে সেই স্ত্রী তার লোকেদের মধ্যে অভিশপ্ত হবে।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 28] কিন্তু যদি সেই স্ত্রী অশুচি না হয়ে শুচি থাকে, তবে সে মুক্ত হবে ও সন্তানের জন্ম দেবে।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 29] এটা ঈর্ষান্বিত বিষয়ের ব্যবস্থা; স্ত্রীলোক স্বামীর অধীনা থেকেও বিপথে গিয়ে অশুচি হলে,
[IRV | BN | OT | Numbers | Chapter 5 | Verse 30] কিংবা স্বামী ঈর্ষান্বিত আত্মার মাধ্যমে তার স্ত্রীর প্রতি ঈর্ষান্বিত হলে সে সেই স্ত্রীকে সদাপ্রভুর সামনে উপস্থিত করবে এবং যাজক সেই বিষয়ে এই সমস্ত ব্যবস্থা পালন করবে।
[IRV | BN | OT | Numbers | Chapter 5 | Verse 31] তাতে স্বামী যাজকের কাছে তার স্ত্রীকে এনে অপরাধ থেকে মুক্ত হবে এবং সেই স্ত্রী তার অপরাধ বহন করবে।
