[IRV | BN | OT | Numbers | Chapter 28 | Verse 1] সদাপ্রভু মোশিকে বললেন,
[IRV | BN | OT | Numbers | Chapter 28 | Verse 2] তুমি ইস্রায়েল সন্তানদের আদেশ কর, তাদেরকে বল, আমার উপহার, আমার উদ্দেশ্যে মিষ্টি সুগন্ধের জন্য আগুনে তৈরী ভক্ষ্য নৈবেদ্য, সঠিক দিনের আমার উদ্দেশ্যে নিবেদন করতে হবে।
[IRV | BN | OT | Numbers | Chapter 28 | Verse 3] তুমি তাদেরকে এই কথা বল, তোমরা সদাপ্রভুর উদ্দেশ্যে আগুনে তৈরী উপহার হিসাবে এইসব নিবেদন করবে প্রতিদিন, নিত্য হোমাবলির জন্য এক বছরের নির্দোষ দুইটি পুরুষ ভেড়া।
[IRV | BN | OT | Numbers | Chapter 28 | Verse 4] তোমরা একটি ভেড়ার বাচ্চা সকালে উৎসর্গ করবে, আর একটি ভেড়ার বাচ্চা সন্ধ্যাবেলায় উৎসর্গ করবে।
[IRV | BN | OT | Numbers | Chapter 28 | Verse 5] তোমরা ভক্ষ্য নৈবেদ্যের জন্য হিনের চার ভাগের এক ভাগ উখলিতে তৈরী তেলে মেশানো ঐফার দশ ভাগের এক ভাগ সূজি দেবে।
[IRV | BN | OT | Numbers | Chapter 28 | Verse 6] এটা প্রতিদিনের র হোমবলি যেটা সদাপ্রভুর উদ্দেশ্যে মিষ্টি সুগন্ধের জন্য আগুনে তৈরী উপহার হিসাবে সীনয় পর্বতে নির্ধারিত হয়েছিল।
[IRV | BN | OT | Numbers | Chapter 28 | Verse 7] একটি ভেড়ার বাচ্চার জন্য হিনের চার ভাগের এক ভাগ পেয় নৈবেদ্য হবে। তুমি পবিত্র স্থানে সদাপ্রভুর উদ্দেশ্যে মদিরার পেয় নৈবেদ্য ঢেলে দেবে।
[IRV | BN | OT | Numbers | Chapter 28 | Verse 8] একটি ভেড়ার বাচ্চা সন্ধ্যাবেলায় উৎসর্গ করবে, সকালের ভক্ষ্য ও পেয় নৈবেদ্যের মত তাও সদাপ্রভুর উদ্দেশ্যে মিষ্টি সুগন্ধের জন্য আগুনে তৈরী উপহার হিসাবে উৎসর্গ করবে।
[IRV | BN | OT | Numbers | Chapter 28 | Verse 9] বিশ্রামবারে এক বছরের নির্দোষ দুইটি পুরুষ ভেড়া ও তেল মেশানো এক ঐফার দুয়ের দশ ভাগের এক ভাগ সূজির ভক্ষ্য নৈবেদ্য ও তার সঙ্গে পেয় নৈবেদ্য নিবেদন করবে।
[IRV | BN | OT | Numbers | Chapter 28 | Verse 10] এইগুলি প্রতিদিনের র হোমবলি ও তার সঙ্গে পেয় নৈবেদ্য ছাড়া প্রতি বিশ্রামবারের হোমবলি।
[IRV | BN | OT | Numbers | Chapter 28 | Verse 11] প্রতি মাসের শুরুতে তোমরা সদাপ্রভুর উদ্দেশ্যে হোমবলির জন্য নির্দোষ দুইটি ষাঁড়ের বাচ্চা, একটি ভেড়া ও এক বছরের সাতটি পুরুষ ভেড়া উৎসর্গ করবে।
[IRV | BN | OT | Numbers | Chapter 28 | Verse 12] তোমরা এক একটি ষাঁড়ের জন্য তিনের দশ ভাগের এক ভাগ তেল মেশানো সূজির ভক্ষ্য নৈবেদ্য এবং সেই ভেড়ার জন্য দুয়ের দশ ভাগের এক ভাগ তেল মেশানো সূজির ভক্ষ্য নৈবেদ্য উত্সর্গ করবে।
