[IRV | BN | OT | Numbers | Chapter 16 | Verse 1] লেবির সন্তান কহাৎ, তাঁর সন্তান যিষ্‌হর, সেই যিষ্‌হরের সন্তান যে কোরহ, সে এবং রূবেণ সন্তানদের মধ্যে ইলীয়াবের ছেলে দাথন ও অবীরাম এবং পেলতের ছেলে ওন দল বাঁধলো;
[IRV | BN | OT | Numbers | Chapter 16 | Verse 2] আর ইস্রায়েল সন্তানদের দুশো পঞ্চাশ জনের সঙ্গে মোশির সামনে উঠল; এরা মণ্ডলীর শাসনকর্ত্তা, সমাজে ভালো ভাবে পরিচিত ও বিখ্যাত লোক ছিল।
[IRV | BN | OT | Numbers | Chapter 16 | Verse 3] তারা মোশি ও হারোণের বিরুদ্ধে জড়ো হয়ে তাঁদেরকে বলল, “তোমরা বড়ই অভিমানী; কারণ সমস্ত মণ্ডলীর প্রত্যেক জনই পবিত্র এবং সদাপ্রভু তাহাদের মধ্যে আছেন; তবে তোমরা কেন সদাপ্রভুর সমাজের উপরে নিজেদেরকে উন্নত করছ?”
[IRV | BN | OT | Numbers | Chapter 16 | Verse 4] তখন মোশি তা শুনে উপুড় হয়ে পড়লেন।
[IRV | BN | OT | Numbers | Chapter 16 | Verse 5] তিনি কোরহকে ও তার দলের সবাইকে বললেন, “কে সদাপ্রভুর লোক ও কে পবিত্র, কাকে তিনি নিজের কাছাকাছি রাখেন, তা সদাপ্রভু সকালে জানাবেন; তিনি যাকে মনোনীত করবেন, তাকেই নিজের কাছাকাছি রাখবেন।
[IRV | BN | OT | Numbers | Chapter 16 | Verse 6] হে কোরহ ও কোরহের দলের সকলে, এক কাজ কর; তোমরা ধুনুচি নাও
[IRV | BN | OT | Numbers | Chapter 16 | Verse 7] এবং তাতে আগুন দিয়ে কাল সদাপ্রভুর সামনে তার উপরে ধূপ দাও; তাতে সদাপ্রভু যাকে মনোনীত করবেন, সেই ব্যক্তি পবিত্র হবে; হে লেবির সন্তানরা, তোমরা বড়ই অভিমানী।”
[IRV | BN | OT | Numbers | Chapter 16 | Verse 8] মোশি কোরহকে আবার বললেন, “হে লেবির সন্তানরা, অনুরোধ করি, আমার কথা শোনো।
[IRV | BN | OT | Numbers | Chapter 16 | Verse 9] এটা কি তোমাদের কাছে খুব ছোট বিষয় যে, ইস্রায়েলের ঈশ্বর তোমাদেরকে ইস্রায়েল মণ্ডলী থেকে আলাদা করে সদাপ্রভুর সমাগম তাঁবুর সেবা কাজ করার জন্য ও মণ্ডলীর সামনে দাঁড়িয়ে তাঁর পরিচর্য্যা করার জন্য নিজের কাছাকাছি এনেছেন?
[IRV | BN | OT | Numbers | Chapter 16 | Verse 10] তিনি তোমাকে ও তোমার সঙ্গে তোমার সমস্ত ভাইকে অর্থাৎ লেবির সন্তানদের নিজের কাছাকাছি এনেছেন, তোমরা কি যাজক হওয়ারও চেষ্টা করছ?
[IRV | BN | OT | Numbers | Chapter 16 | Verse 11] তার জন্য তুমি ও তোমার সমস্ত দল সদাপ্রভুরই বিরুদ্ধে জড়ো হয়েছ; আর হারোণ কে যে, তোমরা তার বিরুদ্ধে অভিযোগ কর?”
[IRV | BN | OT | Numbers | Chapter 16 | Verse 12] তখন মোশি ইলীয়াবের ছেলে দাথন ও অবীরামকে ডাকতে লোক পাঠালেন, কিন্তু তারা বলল, “আমরা যাব না।
[IRV | BN | OT | Numbers | Chapter 16 | Verse 13] এটা কি খুব ছোট বিষয় যে, তুমি আমাদেরকে মরুপ্রান্তে মারবার জন্য দুধ মধু প্রবাহিত দেশ থেকে এনেছ? তুমি কি আমাদের উপরে কর্তৃত্বও করবে?
[IRV | BN | OT | Numbers | Chapter 16 | Verse 14] আর, তুমি তো আমাদেরকে দুধ মধু প্রবাহিত দেশে আন নি, ভূমি ও আঙ্গুর ক্ষেতের অধিকারও দাও নি। তুমি কি মিথ্যা প্রতিজ্ঞা করে আমাদের অন্ধ করতে চাও? আমরা যাব না।”
