[YLT | EN | NT | Ephesians | Chapter 4 | Verse 1] Call upon you, then, do I — the prisoner of the Lord — to walk worthily of the calling with which ye were called,
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 2] with all lowliness and meekness, with long-suffering, forbearing one another in love,
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 3] being diligent to keep the unity of the Spirit in the bond of the peace;
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 4] one body and one Spirit, according as also ye were called in one hope of your calling;
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 5] one Lord, one faith, one baptism,
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 6] one God and Father of all, who [is] over all, and through all, and in you all,
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 7] and to each one of you was given the grace, according to the measure of the gift of Christ,
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 8] wherefore, he saith, 'Having gone up on high he led captive captivity, and gave gifts to men,' —
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 9] and that, he went up, what is it except that he also went down first to the lower parts of the earth?
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 10] he who went down is the same also who went up far above all the heavens, that He may fill all things —
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 11] and He gave some [as] apostles, and some [as] prophets, and some [as] proclaimers of good news, and some [as] shepherds and teachers,
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 12] unto the perfecting of the saints, for a work of ministration, for a building up of the body of the Christ,
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 13] till we may all come to the unity of the faith and of the recognition of the Son of God, to a perfect man, to a measure of stature of the fulness of the Christ,
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 14] that we may no more be babes, tossed and borne about by every wind of the teaching, in the sleight of men, in craftiness, unto the artifice of leading astray,
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 15] and, being true in love, we may increase to Him [in] all things, who is the head — the Christ;
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 16] from whom the whole body, being fitly joined together and united, through the supply of every joint, according to the working in the measure of each single part, the increase of the body doth make for the building up of itself in love.
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 17] This, then, I say, and I testify in the Lord; ye are no more to walk, as also the other nations walk, in the vanity of their mind,
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 18] being darkened in the understanding, being alienated from the life of God, because of the ignorance that is in them, because of the hardness of their heart,
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 19] who, having ceased to feel, themselves did give up to the lasciviousness, for the working of all uncleanness in greediness;
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 20] and ye did not so learn the Christ,
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 21] if so be ye did hear him, and in him were taught, as truth is in Jesus;
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 22] ye are to put off concerning the former behaviour the old man, that is corrupt according to the desires of the deceit,
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 23] and to be renewed in the spirit of your mind,
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 24] and to put on the new man, which, according to God, was created in righteousness and kindness of the truth.
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 25] Wherefore, putting away the lying, speak truth each with his neighbour, because we are members one of another;
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 26] be angry and do not sin; let not the sun go down upon your wrath,
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 27] neither give place to the devil;
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 28] whoso is stealing let him no more steal, but rather let him labour, working the thing that is good with the hands, that he may have to impart to him having need.
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 29] Let no corrupt word out of your mouth go forth, but what is good unto the needful building up, that it may give grace to the hearers;
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 30] and make not sorrowful the Holy Spirit of God, in which ye were sealed to a day of redemption.
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 31] Let all bitterness, and wrath, and anger, and clamour, and evil-speaking, be put away from you, with all malice,
[YLT | EN | NT | Ephesians | Chapter 4 | Verse 32] and become one to another kind, tender-hearted, forgiving one another, according as also God in Christ did forgive you.
