[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 1] એ માટે તમામ દુષ્ટતા, કપટ, ઢોંગ, દ્વેષ તથા સર્વ પ્રકારની નિંદા દૂર કરીને,
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 2] નવાં જન્મેલાં બાળકોની જેમ શુદ્ધ આત્મિક દૂધની ઇચ્છા રાખો,
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 3] જેથી જો તમને એવો અનુભવ થયો હોય કે પ્રભુ દયાળુ છે તો તે વડે તમે ઉદ્ધાર પામતાં સુધી વધતાં રહો.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 4] જે જીવંત પથ્થર છે, મનુષ્યોથી નકારાયેલા ખરા, પણ ઈશ્વરથી પસંદ કરાયેલા તથા મૂલ્યવાન છે.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 5] તેમની પાસે આવીને તમે પણ આત્મિક ઘરના જીવંત પથ્થર બન્યા અને જે આત્મિક યજ્ઞો ઈસુ ખ્રિસ્તને ધ્વારા ઈશ્વરને પ્રસન્ન છે તેમનું અર્પણ કરવા પવિત્ર યાજકો થયા છો.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 6] કારણ કે શાસ્ત્રવચનમાં લખેલું છે કે, ‘જુઓ, પસંદ કરેલો તથા મૂલ્યવાન, એવો ખૂણાનો મુખ્ય પથ્થર હું સિયોનમાં મૂકું છું અને જે તેના પર વિશ્વાસ કરે છે તે શરમાશે નહિ.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 7] માટે તમને વિશ્વાસ કરનારાઓને તે મૂલ્યવાન છે, પણ અવિશ્વાસીઓને સારુ તો જે પથ્થર બાંધનારાઓએ નાપસંદ કર્યો, તે જ ખૂણાનો મુખ્ય પથ્થર થયો છે.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 8] વળી ઠેસ ખવડાવનાર પથ્થર અને ઠોકર ખવડાવનાર ખડક થયો છે;’ તેઓ વચનને માનતાં નથી, તેથી ઠોકર ખાય છે, એટલા માટે પણ તેઓનું નિર્માણ થયેલું હતું.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 9] પણ તમે તો પસંદ કરેલું કુળ, રાજમાન્ય યાજકવર્ગ, પવિત્ર લોક તથા ઈશ્વરની ખાસ પ્રજા છો, જેથી જેમણે તમને અંધકારમાંથી પોતાના આશ્ચર્યકારક અજવાળામાં તેડ્યાં છે, તેમના સદગુણો તમે પ્રગટ કરો.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 10] તમે પહેલાં પ્રજા જ નહોતા, પણ હાલ ઈશ્વરની પ્રજા છો; કોઈ એક સમયે તમે દયા પામેલા નહોતા, પણ હાલ દયા પામ્યા છો.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 11] પ્રિયજનો, તમે પરદેશી તથા પ્રવાસી છો, માટે હું તમને વિનંતી કરું છું કે, જે દુષ્ટ ઇચ્છાઓ આત્માની સામે લડે છે, તેઓથી તમે દૂર રહો.
