[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 1] Follow after love and earnestly desire spiritual gifts, but especially that you may prophesy.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 2] For he who speaks in another language speaks not to men, but to God, for no one understands, but in the Spirit he speaks mysteries.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 3] But he who prophesies speaks to men for their edification, exhortation, and consolation.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 4] He who speaks in another language edifies himself, but he who prophesies edifies the assembly.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 5] Now I desire to have you all speak with other languages, but even more that you would prophesy. For he is greater who prophesies than he who speaks with other languages, unless he interprets, that the assembly may be built up.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 6] But now, brothers, if I come to you speaking with other languages, what would I profit you unless I speak to you either by way of revelation, or of knowledge, or of prophesying, or of teaching?
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 7] Even lifeless things that make a sound, whether pipe or harp, if they didn’t give a distinction in the sounds, how would it be known what is piped or harped?
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 8] For if the trumpet gave an uncertain sound, who would prepare himself for war?
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 9] So also you, unless you uttered by the tongue words easy to understand, how would it be known what is spoken? For you would be speaking into the air.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 10] There are, it may be, so many kinds of languages in the world, and none of them is without meaning.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 11] If then I don’t know the meaning of the language, I would be to him who speaks a foreigner, and he who speaks would be a foreigner to me.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 12] So also you, since you are zealous for spiritual gifts, seek that you may abound to the building up of the assembly.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 13] Therefore let him who speaks in another language pray that he may interpret.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 14] For if I pray in another language, my spirit prays, but my understanding is unfruitful.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 15] What should I do? I will pray with the spirit, and I will pray with the understanding also. I will sing with the spirit, and I will sing with the understanding also.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 16] Otherwise, if you bless with the spirit, how will he who fills the place of the unlearned say the “Amen” at your giving of thanks, seeing he doesn’t know what you say?
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 17] For you most certainly give thanks well, but the other person is not built up.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 18] I thank my God, I speak with other languages more than you all.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 19] However, in the assembly I would rather speak five words with my understanding, that I might instruct others also, than ten thousand words in another language.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 20] Brothers, don’t be children in thoughts, yet in malice be babies, but in thoughts be mature.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 21] In the law it is written, “By men of strange languages and by the lips of strangers I will speak to this people. They won’t even listen to me that way, says the Lord.”
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 22] Therefore other languages are for a sign, not to those who believe, but to the unbelieving; but prophesying is for a sign, not to the unbelieving, but to those who believe.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 23] If therefore the whole assembly is assembled together and all speak with other languages, and unlearned or unbelieving people come in, won’t they say that you are crazy?
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 24] But if all prophesy, and someone unbelieving or unlearned comes in, he is reproved by all, and he is judged by all.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 25] And thus the secrets of his heart are revealed. So he will fall down on his face and worship God, declaring that God is among you indeed.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 26] What is it then, brothers? When you come together, each one of you has a psalm, has a teaching, has a revelation, has another language, or has an interpretation. Let all things be done to build each other up.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 27] If any man speaks in another language, let there be two, or at the most three, and in turn; and let one interpret.
