[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 1] Paul, called to be an apostle of Jesus Christ through the will of God, and our brother Sosthenes,
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 2] to the assembly of God which is at Corinth—those who are sanctified in Christ Jesus, called saints, with all who call on the name of our Lord Jesus Christ in every place, both theirs and ours:
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 3] Grace to you and peace from God our Father and the Lord Jesus Christ.
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 4] I always thank my God concerning you for the grace of God which was given you in Christ Jesus,
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 5] that in everything you were enriched in him, in all speech and all knowledge—
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 6] even as the testimony of Christ was confirmed in you—
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 7] so that you come behind in no gift, waiting for the revelation of our Lord Jesus Christ,
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 8] who will also confirm you until the end, blameless in the day of our Lord Jesus Christ.
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 9] God is faithful, through whom you were called into the fellowship of his Son, Jesus Christ our Lord.
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 10] Now I beg you, brothers, through the name of our Lord, Jesus Christ, that you all speak the same thing, and that there be no divisions among you, but that you be perfected together in the same mind and in the same judgment.
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 11] For it has been reported to me concerning you, my brothers, by those who are from Chloe’s household, that there are contentions among you.
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 12] Now I mean this, that each one of you says, “I follow Paul,” “I follow Apollos,” “I follow Cephas,” and, “I follow Christ.”
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 13] Is Christ divided? Was Paul crucified for you? Or were you baptized into the name of Paul?
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 14] I thank God that I baptized none of you except Crispus and Gaius,
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 15] so that no one should say that I had baptized you into my own name.
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 16] (I also baptized the household of Stephanas; besides them, I don’t know whether I baptized any other.)
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 17] For Christ sent me not to baptize, but to preach the Good News—not in wisdom of words, so that the cross of Christ wouldn’t be made void.
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 18] For the word of the cross is foolishness to those who are dying, but to us who are being saved it is the power of God.
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 19] For it is written, “I will destroy the wisdom of the wise. I will bring the discernment of the discerning to nothing.”
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 20] Where is the wise? Where is the scribe? Where is the debater of this age? Hasn’t God made foolish the wisdom of this world?
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 21] For seeing that in the wisdom of God, the world through its wisdom didn’t know God, it was God’s good pleasure through the foolishness of the preaching to save those who believe.
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 22] For Jews ask for signs, Greeks seek after wisdom,
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 23] but we preach Christ crucified, a stumbling block to Jews and foolishness to Greeks,
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 24] but to those who are called, both Jews and Greeks, Christ is the power of God and the wisdom of God;
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 25] because the foolishness of God is wiser than men, and the weakness of God is stronger than men.
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 26] For you see your calling, brothers, that not many are wise according to the flesh, not many mighty, and not many noble;
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 27] but God chose the foolish things of the world that he might put to shame those who are wise. God chose the weak things of the world that he might put to shame the things that are strong.
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 28] God chose the lowly things of the world, and the things that are despised, and the things that don’t exist, that he might bring to nothing the things that exist,
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 29] that no flesh should boast before God.
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 30] Because of him, you are in Christ Jesus, who was made to us wisdom from God, and righteousness and sanctification, and redemption,
[WEB | EN | NT | 1 Corinthians | Chapter 1 | Verse 31] that, as it is written, “He who boasts, let him boast in the Lord.”
