[WEB | EN | NT | 1 Corinthians | Chapter 5 | Verse 1] It is actually reported that there is sexual immorality among you, and such sexual immorality as is not even named among the Gentiles, that one has his father’s wife.
[WEB | EN | NT | 1 Corinthians | Chapter 5 | Verse 2] You are arrogant, and didn’t mourn instead, that he who had done this deed might be removed from among you.
[WEB | EN | NT | 1 Corinthians | Chapter 5 | Verse 3] For I most certainly, as being absent in body but present in spirit, have already, as though I were present, judged him who has done this thing.
[WEB | EN | NT | 1 Corinthians | Chapter 5 | Verse 4] In the name of our Lord Jesus Christ, when you are gathered together with my spirit with the power of our Lord Jesus Christ,
[WEB | EN | NT | 1 Corinthians | Chapter 5 | Verse 5] you are to deliver such a one to Satan for the destruction of the flesh, that the spirit may be saved in the day of the Lord Jesus.
[WEB | EN | NT | 1 Corinthians | Chapter 5 | Verse 6] Your boasting is not good. Don’t you know that a little yeast leavens the whole lump?
[WEB | EN | NT | 1 Corinthians | Chapter 5 | Verse 7] Purge out the old yeast, that you may be a new lump, even as you are unleavened. For indeed Christ, our Passover, has been sacrificed in our place.
[WEB | EN | NT | 1 Corinthians | Chapter 5 | Verse 8] Therefore let’s keep the feast, not with old yeast, neither with the yeast of malice and wickedness, but with the unleavened bread of sincerity and truth.
[WEB | EN | NT | 1 Corinthians | Chapter 5 | Verse 9] I wrote to you in my letter to have no company with sexual sinners;
[WEB | EN | NT | 1 Corinthians | Chapter 5 | Verse 10] yet not at all meaning with the sexual sinners of this world, or with the covetous and extortionists, or with idolaters, for then you would have to leave the world.
[WEB | EN | NT | 1 Corinthians | Chapter 5 | Verse 11] But as it is, I wrote to you not to associate with anyone who is called a brother who is a sexual sinner, or covetous, or an idolater, or a slanderer, or a drunkard, or an extortionist. Don’t even eat with such a person.
[WEB | EN | NT | 1 Corinthians | Chapter 5 | Verse 12] For what do I have to do with also judging those who are outside? Don’t you judge those who are within?
[WEB | EN | NT | 1 Corinthians | Chapter 5 | Verse 13] But those who are outside, God judges. “Put away the wicked man from among yourselves.”
