[IRV | KN | NT | 1 Peter | Chapter 4 | Verse 1] ಕ್ರಿಸ್ತನು ನಮಗೋಸ್ಕರ ತನ್ನ ಶರೀರದಲ್ಲಿ ಬಾಧೆಪಟ್ಟದ್ದರಿಂದ ನೀವು ಸಹ ಅದೇ ಮನೋಭಾವವುಳ್ಳವರಾಗಿದ್ದು ಬಾಧೆಪಡಲು ಸಿದ್ಧರಾಗಿರಿ. ಏಕೆಂದರೆ ಶರೀರದಲ್ಲಿ ಬಾಧೆಪಟ್ಟವನು ಪಾಪ ಮಾಡುವುದನ್ನು ನಿಲ್ಲಿಸಿದವನಾಗಿದ್ದಾನೆ.
[IRV | KN | NT | 1 Peter | Chapter 4 | Verse 2] ಆದ್ದರಿಂದ ಉಳಿದಿರುವ ತನ್ನ ಜೀವಮಾನ ಕಾಲದಲ್ಲಿ ಇನ್ನೂ ಮನುಷ್ಯರ ಅಭಿಲಾಷೆಗಳ ಪ್ರಕಾರ ಬದುಕದೆ ದೇವರ ಚಿತ್ತದ ಪ್ರಕಾರ ಬದುಕುವುದಕ್ಕೆ ಪ್ರಯತ್ನಮಾಡುವನು.
[IRV | KN | NT | 1 Peter | Chapter 4 | Verse 3] ನೀವು ಬಂಡುತನ, ದುರಾಶೆ, ಕುಡುಕತನ, ದುಂದೌತಣ, ಮದ್ಯಪಾನ ಗೋಷ್ಠಿ, ಅಸಹ್ಯವಾದ ವಿಗ್ರಹಾರಾಧನೆ, ಈ ಮೊದಲಾದವುಗಳನ್ನು ನಡಿಸುವುದರಲ್ಲಿಯೂ ಅನ್ಯಜನರಿಗೆ ಇಷ್ಟವಾದ ದುಷ್ಕೃತ್ಯಗಳನ್ನು ಮಾಡುವುದರಲ್ಲಿಯೂ ಕಾಲಕಳೆದದ್ದು ಸಾಕು.
[IRV | KN | NT | 1 Peter | Chapter 4 | Verse 4] ಅವರು ಮಾಡುವ ಅಪರಿಮಿತವಾದ ಪಟಿಂಗತನದಲ್ಲಿ ನೀವು ಸೇರದೆ ಇದ್ದದ್ದಕ್ಕೆ ಅವರು ಆಶ್ಚರ್ಯಪಟ್ಟು ನಿಮ್ಮನ್ನು ದೂಷಿಸುತ್ತಾರೆ.
[IRV | KN | NT | 1 Peter | Chapter 4 | Verse 5] ಅವರು ಬದುಕಿರುವವರಿಗೂ ಸತ್ತವರಿಗೂ ನ್ಯಾಯತೀರಿಸುವುದಕ್ಕೆ ಸಿದ್ಧವಾಗಿರುವಾತನಿಗೆ ಉತ್ತರ ಕೊಡಬೇಕು.
[IRV | KN | NT | 1 Peter | Chapter 4 | Verse 6] ಸತ್ತಿರುವವರು ಮನುಷ್ಯ ಜಾತಿಗೆ ಬರುವ ಮರಣವೆಂಬ ತೀರ್ಪನ್ನು ಶರೀರಗಳಲ್ಲಿದ್ದಾಗ ಹೊಂದಿದರು. ಅವರು ಆತ್ಮ ಸಂಬಂಧವಾಗಿ ದೇವರಂತೆ ಜೀವಿಸಲೆಂದು ಅವರಿಗೂ ಸುವಾರ್ತೆಯು ತಿಳಿಸಲ್ಪಟ್ಟಿತು.
[IRV | KN | NT | 1 Peter | Chapter 4 | Verse 7] ಎಲ್ಲವುಗಳ ಅಂತ್ಯವು ಹತ್ತಿರವಾಗಿದೆ. ಆದ್ದರಿಂದ ನೀವು ಜಿತೇಂದ್ರಿಯರಾಗಿಯೂ ಯಾವಾಗಲೂ ಪ್ರಾರ್ಥನೆಗೆ ಸಿದ್ಧವಾಗಿರುವಂತೆ ಸ್ವಸ್ಥಚಿತ್ತರಾಗಿಯೂ ಇರಿ.
[IRV | KN | NT | 1 Peter | Chapter 4 | Verse 8] ಮೊಟ್ಟಮೊದಲು ನಿಮ್ಮ ನಿಮ್ಮೊಳಗೆ ಪ್ರಾಮಾಣಿಕವಾದ ಪ್ರೀತಿಯಿರಲಿ. ಪ್ರೀತಿಯು ಬಹು ಪಾಪಗಳನ್ನು ಮುಚ್ಚುತ್ತದೆ.
[IRV | KN | NT | 1 Peter | Chapter 4 | Verse 9] ಗುಣಗುಟ್ಟದೆ ಒಬ್ಬರಿಗೊಬ್ಬರು ಅತಿಥಿ ಸತ್ಕಾರ ಮಾಡಿರಿ.
[IRV | KN | NT | 1 Peter | Chapter 4 | Verse 10] ನೀವೆಲ್ಲರು ದೇವರ ವಿವಿಧ ವರಗಳ ವಿಷಯದಲ್ಲಿ ಒಳ್ಳೆಯ ನಿರ್ವಾಹಕರಾಗಿದ್ದು ಪ್ರತಿಯೊಬ್ಬನು ತಾನು ಹೊಂದಿದ ಕೃಪಾವರವನ್ನು ಎಲ್ಲರ ಸೇವೆಗಾಗಿ ಉಪಯೋಗಿಸಕೊಳ್ಳಲಿ.
[IRV | KN | NT | 1 Peter | Chapter 4 | Verse 11] ಒಬ್ಬನು ಬೋಧಿಸುವವನಾದರೆ ದೈವೋಕ್ತಿಗಳನ್ನು ನುಡಿಯುವವನಾಗಿ ಬೋಧಿಸಲಿ. ಒಬ್ಬನು ಸೇವೆ ಮಾಡುವವನಾದರೆ ದೇವರು ಕೊಡುವ ಶಕ್ತಿಗನುಗುಣವಾಗಿ ಮಾಡಲಿ. ಇವೆಲ್ಲವುಗಳಿಂದ ಯೇಸು ಕ್ರಿಸ್ತನ ಮೂಲಕ ದೇವರಿಗೆ ಸ್ತೋತ್ರ ಉಂಟಾಗುವುದು. ಯೇಸು ಕ್ರಿಸ್ತನಿಗೆ ಅಧಿಪತ್ಯವೂ ಮತ್ತು ಘನವೂ ಯುಗಯುಗಾಂತರಗಳಲ್ಲಿಯೂ ಇರುವವು ಆಮೆನ್.
