[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 1] સુલેમાન રાજા સર્વ ઇઝરાયલ પર રાજ કરતો હતો.
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 2] આ તેના રાજ્યના અધિકારીઓ હતા: સાદોકનો દીકરો અઝાર્યા યાજક હતો.
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 3] શીશાના દીકરા અલિહોરેફ તથા અહિયા ચિટનીસો હતા. અહીલૂદનો દીકરો યહોશાફાટ ઇતિહાસકાર હતો.
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 4] યહોયાદાનો દીકરો બનાયા સેનાધિપતિ હતો. સાદોક તથા અબ્યાથાર યાજકો હતા.
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 5] નાથાનનો દીકરો અઝાર્યા વહીવટદારોનો ઉપરી હતો. નાથાનનો દીકરો ઝાબૂદ યાજક તથા રાજાનો મિત્ર હતો.
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 6] અહીશાર ઘરનો વહીવટદાર હતો. આબ્દાનો દીકરો અદોનીરામ કોશાધ્યક્ષ હતો.
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 7] સર્વ ઇઝરાયલ પર સુલેમાનના બાર અધિકારીઓ હતા, જેઓ રાજાને તથા તેના કુટુંબને ખોરાક પૂરો પાડવાની જવાબદારી બજાવતા હતા. દરેકને માથે વર્ષમાં એકેક મહિનાનો ખર્ચ પૂરો પાડવાનો હતો.
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 8] આ તેઓનાં નામ છે: એફ્રાઇમના પહાડી પ્રદેશમાં બેન-હૂર,
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 9] માકાશમાંનો બેન-દેકેર, શાલ્બીમમાંનો બેથ-શેમેશ, એલોનબેથમાં હાનાન,
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 10] અરૂબ્બોથમાં બેન-હેશેદ; સોખો તથા હેફેરનો આખો દેશ તેને તાબે હતો.
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 11] દોરના આખા પહાડી પ્રદેશમાં બેન-અબીનાદાબ હતો. તેણે સુલેમાનની દીકરી ટાફાથ સાથે લગ્ન કર્યું હતું.
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 12] તાનાખ તથા મગિદ્દો, સારેથાનની બાજુનું તથા યિઝ્રએલની નીચેનું આખું બેથ-શેઆન, બેથ-શેઆનથી આબેલ-મહોલા સુધી, એટલે યોકમામની પેલી બાજુ સુધીમાં અહીલૂદનો દીકરો બાના,
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 13] રામોથ ગિલ્યાદમાં બેન-ગેબેર: વળી યતેના તાબે મનાશ્શાના દીકરા યાઈરના ગિલ્યાદમાંનાં નગરો પણ હતાં, એટલે તેને તાબે બાશાનમાંનો આર્ગોબ પ્રદેશ, જેમાં દીવાલો તથા પિત્તળની ભૂંગળોવાળાં સાઠ મોટાં નગરોનો તે અધિકારી હતો.
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 14] માહનાઇમમાં ઇદ્દોનો દીકરો અહિનાદાબ હતો.
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 15] અહિમાઆસ નફતાલીમાં હતો. તેણે પણ સુલેમાનની દીકરી બાસમાથની સાથે લગ્ન કર્યું હતું.
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 16] આશેર તથા બાલોથમાં હુશાયનો દીકરો બાના,
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 17] ઇસ્સાખારમાં પારૂઆનો દીકરો યહોશાફાટ.
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 18] અને બિન્યામીનમાં એલાનો દીકરો શિમઈ હતો.
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 19] અમોરીઓના રાજા સીહોનના તથા બાશાનના રાજા ઓગના ગિલ્યાદ દેશમાં ઉરીનો દીકરો ગેબેર અને આ દેશમાં તે એકલો અધિકારી હતો.
[IRV | GU | OT | 1 Kings | Chapter 4 | Verse 20] યહૂદિયા તથા ઇઝરાયલના લોકો સંખ્યામાં સમુદ્ર કિનારાની રેતી જેટલા અગણિત હતા. તેઓ ખાઈ પીને આનંદ કરતા હતા.
