[IRV | PA | NT | Mark | Chapter 14 | Verse 1] ਦੋ ਦਿਨਾਂ ਦੇ ਬਾਅਦ ਪਸਾਹ ਅਤੇ ਅਖ਼ਮੀਰੀ ਰੋਟੀ ਦਾ ਤਿਉਹਾਰ ਹੋਣ ਵਾਲਾ ਸੀ, ਮੁੱਖ ਜਾਜਕ ਅਤੇ ਉਪਦੇਸ਼ਕ ਇਸ ਗੱਲ ਦੇ ਪਿੱਛੇ ਲੱਗੇ ਹੋਏ ਸਨ ਜੋ ਉਹ ਨੂੰ ਕਿਵੇਂ ਧੋਖੇ ਨਾਲ ਫੜ੍ਹ ਕੇ ਮਾਰ ਸੁੱਟੀਏ?
[IRV | PA | NT | Mark | Chapter 14 | Verse 2] ਪਰ ਉਨ੍ਹਾਂ ਨੇ ਆਖਿਆ, ਤਿਉਹਾਰ ਦੇ ਦਿਨ ਨਹੀਂ ਕਿਤੇ ਲੋਕਾਂ ਵਿੱਚ ਹੰਗਾਮਾ ਨਾ ਹੋਵੇ।
[IRV | PA | NT | Mark | Chapter 14 | Verse 3] ਜਦੋਂ ਉਹ ਬੈਤਅਨੀਆ ਵਿੱਚ ਸ਼ਮਊਨ ਕੋੜ੍ਹੀ ਦੇ ਘਰ ਰੋਟੀ ਖਾਣ ਬੈਠਾ ਸੀ, ਤਦ ਇੱਕ ਔਰਤ ਬਹਮੁੱਲਾ ਜਟਾਮਾਂਸੀ ਦਾ ਖਰਾ ਅਤਰ ਸ਼ੀਸ਼ੀ ਵਿੱਚ ਲਿਆਈ ਅਤੇ ਸ਼ੀਸ਼ੀ ਨੂੰ ਤੋੜ ਕੇ ਉਸ ਦੇ ਸਿਰ ਉੱਤੇ ਡੋਹਲ ਦਿੱਤਾ।
[IRV | PA | NT | Mark | Chapter 14 | Verse 4] ਤਦ ਕਈਆਂ ਨੇ ਆਪਣੇ ਮਨ ਵਿੱਚ ਖਿਝ ਕੇ ਆਖਿਆ ਜੋ ਇਸ ਅਤਰ ਦਾ ਇਹ ਨੁਕਸਾਨ ਕਿਉਂ ਕੀਤਾ ਗਿਆ?
[IRV | PA | NT | Mark | Chapter 14 | Verse 5] ਕਿਉਂਕਿ ਇਹ ਅਤਰ ਤਿੰਨ ਸੋ ਦਿਨ ਦੀ ਮਜ਼ਦੂਰੀ ਦੀ ਕੀਮਤ ਤੋਂ (ਤਿੰਨ ਸੋ ਦੀਨਾਰ) ਵੀ ਵੱਧ ਨੂੰ ਵੇਚ ਕੇ ਕੰਗਾਲਾਂ ਨੂੰ ਵੰਡਿਆ ਜਾ ਸਕਦਾ ਸੀ, ਸੋ ਉਹ ਉਸ ਔਰਤ ਨੂੰ ਝਿੜਕਣ ਲੱਗੇ।
[IRV | PA | NT | Mark | Chapter 14 | Verse 6] ਪਰ ਯਿਸੂ ਨੇ ਆਖਿਆ, ਇਸ ਨੂੰ ਛੱਡ ਦਿਓ, ਕਿਉਂ ਇਸ ਨੂੰ ਸਤਾਉਂਦੇ ਹੋ? ਉਸ ਨੇ ਤਾਂ ਮੇਰੇ ਨਾਲ ਚੰਗਾ ਵਰਤਾਵਾ ਕੀਤਾ ਹੈ।
[IRV | PA | NT | Mark | Chapter 14 | Verse 7] ਕਿਉਂ ਜੋ ਕੰਗਾਲ ਤਾਂ ਸਦਾ ਤੁਹਾਡੇ ਨਾਲ ਰਹਿੰਦੇ ਹਨ, ਅਤੇ ਤੁਸੀਂ ਜਦੋਂ ਚਾਹੋ ਉਦੋਂ ਉਨ੍ਹਾਂ ਦਾ ਭਲਾ ਕਰ ਸਕਦੇ ਹੋ ਪਰ ਮੈਂ ਸਦਾ ਤੁਹਾਡੇ ਨਾਲ ਨਹੀਂ ਹਾਂ।
[IRV | PA | NT | Mark | Chapter 14 | Verse 8] ਜੋ ਉਹ ਕਰ ਸਕਦੀ ਸੀ ਉਸ ਨੇ ਕੀਤਾ। ਉਸ ਨੇ ਪਹਿਲਾਂ ਹੀ ਮੇਰੇ ਸਰੀਰ ਨੂੰ ਦਫ਼ਨਾਉਣ ਦੀ ਤਿਆਰੀ ਲਈ ਅਤਰ ਮਲਿਆ।
[IRV | PA | NT | Mark | Chapter 14 | Verse 9] ਮੈਂ ਤੁਹਾਨੂੰ ਸੱਚ ਆਖਦਾ ਹਾਂ ਜੋ ਸਾਰੇ ਸੰਸਾਰ ਵਿੱਚ ਜਿੱਥੇ ਵੀ ਖੁਸ਼ਖਬਰੀ ਦਾ ਪਰਚਾਰ ਕੀਤਾ ਜਾਵੇਗਾ ਉੱਥੇ ਇਹ ਵੀ ਜੋ ਇਸ ਨੇ ਕੀਤਾ ਹੈ ਉਸ ਦੀ ਯਾਦਗੀਰੀ ਲਈ ਕਿਹਾ ਜਾਵੇਗਾ।
[IRV | PA | NT | Mark | Chapter 14 | Verse 10] ਯਹੂਦਾ ਇਸਕਰਿਯੋਤੀ ਜਿਹੜਾ ਉਨ੍ਹਾਂ ਬਾਰਾਂ ਵਿੱਚੋਂ ਇੱਕ ਸੀ ਮੁੱਖ ਜਾਜਕਾਂ ਕੋਲ ਚੱਲਿਆ ਗਿਆ ਕਿ ਉਸ ਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਹੱਥ ਫੜਵਾ ਦੇਵੇ।
[IRV | PA | NT | Mark | Chapter 14 | Verse 11] ਅਤੇ ਉਹ ਇਹ ਸੁਣ ਕੇ ਅਨੰਦ ਹੋਏ ਅਤੇ ਉਸ ਨੂੰ ਰੁਪਏ ਦੇਣ ਦਾ ਕਰਾਰ ਕੀਤਾ। ਤਦ ਉਹ ਇਸ ਗੱਲ ਦੇ ਪਿੱਛੇ ਲੱਗਾ ਜੋ ਕਿਸ ਤਰ੍ਹਾਂ ਮੌਕਾ ਪਾ ਕੇ ਉਹ ਨੂੰ ਫੜਵਾ ਦੇਵੇ।
