[IRV | PA | NT | Mark | Chapter 2 | Verse 1] ਕਈ ਦਿਨਾਂ ਦੇ ਪਿੱਛੋਂ ਜਦੋਂ ਉਹ ਕਫ਼ਰਨਾਹੂਮ ਵਿੱਚ ਦੁਬਾਰਾ ਆਇਆ ਤਾਂ ਇਹ ਸੁਣਿਆ ਗਿਆ ਜੋ ਉਹ ਘਰੇ ਹੀ ਹੈ।
[IRV | PA | NT | Mark | Chapter 2 | Verse 2] ਤਾਂ ਐਨੇ ਲੋਕ ਇਕੱਠੇ ਹੋਏ ਜੋ ਦਰਵਾਜ਼ੇ ਦੇ ਅੱਗੇ ਵੀ ਥਾਂ ਨਾ ਰਿਹਾ ਅਤੇ ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਬਚਨ ਸੁਣਾਇਆ।
[IRV | PA | NT | Mark | Chapter 2 | Verse 3] ਅਤੇ ਲੋਕ ਇੱਕ ਅਧਰੰਗੀ ਨੂੰ ਚਾਰ ਮਨੁੱਖਾਂ ਕੋਲੋਂ ਚੁਕਵਾ ਕੇ ਉਸ ਦੇ ਕੋਲ ਲਿਆਏ।
[IRV | PA | NT | Mark | Chapter 2 | Verse 4] ਅਤੇ ਜਦੋਂ ਉਹ ਭੀੜ ਕਰਕੇ ਉਹ ਦੇ ਨੇੜੇ ਨਾ ਆ ਸਕੇ ਤਾਂ ਉਨ੍ਹਾਂ ਨੇ ਉਸ ਛੱਤ ਨੂੰ ਜਿੱਥੇ ਉਹ ਸੀ ਉਧੇੜਿਆ ਅਤੇ ਉਸ ਮੰਜੀ ਨੂੰ ਜਿਸ ਦੇ ਉੱਤੇ ਉਹ ਅਧਰੰਗੀ ਪਿਆ ਸੀ, ਹੇਠਾਂ ਉਸ ਦੇ ਕੋਲ ਉਤਾਰ ਦਿੱਤਾ।
[IRV | PA | NT | Mark | Chapter 2 | Verse 5] ਅਤੇ ਯਿਸੂ ਨੇ ਉਨ੍ਹਾਂ ਦਾ ਵਿਸ਼ਵਾਸ ਵੇਖ ਕੇ ਉਸ ਅਧਰੰਗੀ ਨੂੰ ਕਿਹਾ, ਹੇ ਪੁੱਤਰ ਤੇਰੇ ਪਾਪ ਮਾਫ਼ ਹੋਏ।
[IRV | PA | NT | Mark | Chapter 2 | Verse 6] ਪਰ ਕਈ ਉਪਦੇਸ਼ਕ ਉੱਥੇ ਬੈਠੇ ਆਪਣੇ ਮਨਾਂ ਵਿੱਚ ਵਿਚਾਰ ਕਰਨ ਲੱਗੇ
[IRV | PA | NT | Mark | Chapter 2 | Verse 7] ਜੋ ਇਹ ਮਨੁੱਖ ਕਿਉਂ ਇਸ ਤਰ੍ਹਾਂ ਬੋਲਦਾ ਹੈ? ਇਹ ਤਾਂ ਪਰਮੇਸ਼ੁਰ ਦੀ ਨਿੰਦਿਆ ਕਰਦਾ ਹੈ। ਇੱਕ ਪਰਮੇਸ਼ੁਰ ਤੋਂ ਬਿਨ੍ਹਾਂ ਹੋਰ ਕੌਣ ਪਾਪ ਮਾਫ਼ ਕਰ ਸਕਦਾ ਹੈ?
[IRV | PA | NT | Mark | Chapter 2 | Verse 8] ਅਤੇ ਯਿਸੂ ਨੇ ਆਪਣੇ ਆਤਮਾ ਨਾਲ ਇਹ ਜਾਣ ਕੇ ਜੋ ਉਹ ਆਪਣੇ ਮਨਾਂ ਵਿੱਚ ਕੀ ਵਿਚਾਰ ਕਰਦੇ ਹਨ ਉਨ੍ਹਾਂ ਨੂੰ ਕਿਹਾ, ਤੁਸੀਂ ਕਿਉਂ ਆਪਣੇ ਮਨਾਂ ਵਿੱਚ ਅਜਿਹੇ ਵਿਚਾਰ ਕਰਦੇ ਹੋ?
[IRV | PA | NT | Mark | Chapter 2 | Verse 9] ਕਿਹੜੀ ਗੱਲ ਸੌਖੀ ਹੈ, ਇਸ ਅਧਰੰਗੀ ਨੂੰ ਇਹ ਆਖਣਾ ਜੋ ਤੇਰੇ ਪਾਪ ਮਾਫ਼ ਹੋਏ ਜਾਂ ਇਹ ਆਖਣਾ ਕਿ ਉੱਠ ਅਤੇ ਆਪਣੀ ਮੰਜੀ ਚੁੱਕ ਕੇ ਤੁਰ ਫਿਰ।
[IRV | PA | NT | Mark | Chapter 2 | Verse 10] ਪਰ ਇਸ ਲਈ ਜੋ ਤੁਸੀਂ ਜਾਣੋ ਜੋ ਮਨੁੱਖ ਦੇ ਪੁੱਤਰ ਨੂੰ ਧਰਤੀ ਉੱਤੇ ਪਾਪ ਮਾਫ਼ ਕਰਨ ਦਾ ਅਧਿਕਾਰ ਹੈ; ਫਿਰ ਉਸ ਨੇ ਅਧਰੰਗੀ ਨੂੰ ਕਿਹਾ,
[IRV | PA | NT | Mark | Chapter 2 | Verse 11] ਮੈਂ ਤੈਨੂੰ ਕਹਿੰਦਾ ਹਾਂ, ਉੱਠ, ਆਪਣੀ ਮੰਜੀ ਚੁੱਕ ਕੇ ਘਰ ਚੱਲਿਆ ਜਾ।
[IRV | PA | NT | Mark | Chapter 2 | Verse 12] ਤਾਂ ਉਹ ਉੱਠਿਆ ਅਤੇ ਉਸੇ ਸਮੇਂ ਆਪਣੀ ਮੰਜੀ ਚੁੱਕ ਕੇ ਉਨ੍ਹਾਂ ਸਭਨਾਂ ਦੇ ਸਾਹਮਣੇ ਨਿੱਕਲ ਗਿਆ! ਤਦ ਉਹ ਸੱਭੇ ਹੈਰਾਨ ਹੋ ਗਏ ਅਤੇ ਇਹ ਕਹਿ ਕੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਵਡਿਆਈ ਕੀਤੀ ਕਿ ਅਸੀਂ ਇਸ ਤਰ੍ਹਾਂ ਦੀ ਗੱਲ ਕਦੇ ਨਹੀਂ ਵੇਖੀ!
[IRV | PA | NT | Mark | Chapter 2 | Verse 13] ਉਹ ਫੇਰ ਬਾਹਰ ਝੀਲ ਦੇ ਕਿਨਾਰੇ ਉੱਤੇ ਗਿਆ ਅਤੇ ਸਾਰੀ ਭੀੜ ਉਹ ਦੇ ਕੋਲ ਆਈ ਅਤੇ ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਉਪਦੇਸ਼ ਦਿੱਤਾ।
[IRV | PA | NT | Mark | Chapter 2 | Verse 14] ਅਤੇ ਜਾਂਦੇ ਹੋਏ ਉਹ ਨੇ ਹਲਫ਼ਾ ਦੇ ਪੁੱਤਰ ਲੇਵੀ ਨੂੰ ਚੂੰਗੀ ਦੀ ਚੌਂਕੀ ਉੱਤੇ ਬੈਠੇ ਵੇਖਿਆ ਅਤੇ ਉਸ ਨੂੰ ਕਿਹਾ, ਮੇਰੇ ਪਿੱਛੇ ਹੋ ਤੁਰ। ਸੋ ਉਹ ਉੱਠ ਕੇ ਉਹ ਦੇ ਪਿੱਛੇ ਤੁਰ ਪਿਆ।
[IRV | PA | NT | Mark | Chapter 2 | Verse 15] ਤਾਂ ਇਸ ਤਰ੍ਹਾਂ ਹੋਇਆ ਕਿ ਜਦੋਂ ਪ੍ਰਭੂ ਯਿਸੂ ਉਸ ਦੇ ਘਰ ਵਿੱਚ ਰੋਟੀ ਖਾਣ ਬੈਠੇ ਅਤੇ ਬਹੁਤ ਸਾਰੇ ਚੂੰਗੀ ਲੈਣ ਵਾਲੇ ਅਤੇ ਪਾਪੀ ਆ ਕੇ ਯਿਸੂ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਚੇਲਿਆਂ ਨਾਲ ਬੈਠ ਗਏ ਕਿਉਂਕਿ ਉਹ ਬਹੁਤ ਸਾਰੇ ਸਨ ਜੋ ਉਹ ਦੇ ਮਗਰ ਤੁਰ ਪਏ ਸਨ।
[IRV | PA | NT | Mark | Chapter 2 | Verse 16] ਅਤੇ ਜਦੋਂ ਫ਼ਰੀਸੀਆਂ ਦੇ ਉਪਦੇਸ਼ਕਾਂ ਨੇ ਉਹ ਨੂੰ ਪਾਪੀਆਂ ਅਤੇ ਚੂੰਗੀ ਲੈਣ ਵਾਲਿਆਂ ਦੇ ਨਾਲ ਰੋਟੀ ਖਾਂਦਿਆਂ ਵੇਖਿਆ ਤਾਂ ਉਸ ਦੇ ਚੇਲਿਆਂ ਨੂੰ ਕਿਹਾ, ਉਹ ਚੂੰਗੀ ਲੈਣ ਵਾਲੇ ਅਤੇ ਪਾਪੀਆਂ ਦੇ ਨਾਲ ਕਿਉਂ ਖਾਂਦਾ ਹੈ?
[IRV | PA | NT | Mark | Chapter 2 | Verse 17] ਯਿਸੂ ਨੇ ਇਹ ਸੁਣ ਕੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, ਨਰੋਇਆਂ ਨੂੰ ਨਹੀਂ ਸਗੋਂ ਰੋਗੀਆਂ ਨੂੰ ਹਕੀਮ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ। ਮੈਂ ਧਰਮੀਆਂ ਨੂੰ ਨਹੀਂ ਪਰ ਪਾਪੀਆਂ ਨੂੰ ਬੁਲਾਉਣ ਲਈ ਆਇਆ ਹਾਂ।
[IRV | PA | NT | Mark | Chapter 2 | Verse 18] ਯੂਹੰਨਾ ਦੇ ਚੇਲੇ ਅਤੇ ਫ਼ਰੀਸੀ ਵਰਤ ਰੱਖਦੇ ਸਨ, ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਆਣ ਕੇ ਉਸ ਨੂੰ ਕਿਹਾ, ਇਹ ਦਾ ਕੀ ਕਾਰਨ ਹੈ ਜੋ ਯੂਹੰਨਾ ਦੇ ਚੇਲੇ ਅਤੇ ਫ਼ਰੀਸੀਆਂ ਦੇ ਚੇਲੇ ਵਰਤ ਰੱਖਦੇ ਹਨ ਪਰ ਤੇਰੇ ਚੇਲੇ ਵਰਤ ਨਹੀਂ ਰੱਖਦੇ?
[IRV | PA | NT | Mark | Chapter 2 | Verse 19] ਤਾਂ ਯਿਸੂ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, ਜਦ ਤੱਕ ਲਾੜਾ ਬਰਾਤੀਆਂ ਦੇ ਨਾਲ ਹੈ ਭਲਾ, ਉਹ ਵਰਤ ਰੱਖ ਸਕਦੇ ਹਨ? ਜਿੰਨਾਂ ਚਿਰ ਲਾੜਾ ਉਨ੍ਹਾਂ ਦੇ ਨਾਲ ਹੈ ਉਹ ਵਰਤ ਨਹੀਂ ਰੱਖ ਸਕਦੇ।
[IRV | PA | NT | Mark | Chapter 2 | Verse 20] ਪਰ ਉਹ ਦਿਨ ਆਉਣਗੇ ਜਦ ਲਾੜਾ ਉਨ੍ਹਾਂ ਤੋਂ ਅਲੱਗ ਕੀਤਾ ਜਾਵੇਗਾ ਤਦ ਉਸ ਦਿਨ ਉਹ ਵਰਤ ਰੱਖਣਗੇ।
