[IRV | PA | NT | Mark | Chapter 3 | Verse 1] ਯਿਸੂ ਫੇਰ ਉਨ੍ਹਾਂ ਦੇ ਪ੍ਰਾਰਥਨਾ ਘਰਾਂ ਵਿੱਚ ਗਿਆ ਅਤੇ ਉੱਥੇ ਇੱਕ ਮਨੁੱਖ ਸੀ, ਜਿਸ ਦਾ ਹੱਥ ਸੁੱਕਿਆ ਹੋਇਆ ਸੀ।
[IRV | PA | NT | Mark | Chapter 3 | Verse 2] ਅਤੇ ਉਹ ਉਸ ਦੀ ਤੱਕ ਵਿੱਚ ਲੱਗੇ ਹੋਏ ਸਨ, ਕਿ ਵੇਖੀਏ ਉਹ ਸਬਤ ਦੇ ਦਿਨ ਉਸ ਨੂੰ ਚੰਗਾ ਕਰਦਾ ਹੈ ਕਿ ਨਹੀਂ ਤਾਂ ਕਿ ਉਹ ਦੇ ਜੁੰਮੇ ਦੋਸ਼ ਲਾਉਣ।
[IRV | PA | NT | Mark | Chapter 3 | Verse 3] ਉਹ ਨੇ ਉਸ ਸੁੱਕੇ ਹੱਥ ਵਾਲੇ ਮਨੁੱਖ ਨੂੰ ਕਿਹਾ, ਵਿਚਕਾਰ ਖੜ੍ਹਾ ਹੋ।
[IRV | PA | NT | Mark | Chapter 3 | Verse 4] ਫੇਰ ਉਹ ਨੇ ਉਨ੍ਹਾਂ ਤੋਂ ਪੁੱਛਿਆ ਕਿ ਸਬਤ ਦੇ ਦਿਨ ਭਲਾ ਕਰਨਾ ਯੋਗ ਹੈ ਜਾਂ ਬੁਰਾ ਕਰਨਾ? ਜਾਨ ਬਚਾਉਣੀ ਜਾਂ ਜਾਨ ਨੂੰ ਮਾਰਨਾ? ਪਰ ਉਹ ਚੁੱਪ ਹੀ ਰਹੇ।
[IRV | PA | NT | Mark | Chapter 3 | Verse 5] ਤਦ ਉਹ ਨੇ ਉਨ੍ਹਾਂ ਦੀ ਸਖ਼ਤ ਦਿਲੀ ਦੇ ਕਾਰਨ ਉਦਾਸ ਹੋ ਕੇ ਉਨ੍ਹਾਂ ਵੱਲ ਗੁੱਸੇ ਨਾਲ ਚਾਰੇ-ਪਾਸੇ ਨਜ਼ਰ ਕੀਤੀ ਅਤੇ ਉਸ ਮਨੁੱਖ ਨੂੰ ਕਿਹਾ, ਆਪਣਾ ਹੱਥ ਵਧਾ। ਤਾਂ ਉਸ ਨੇ ਵਧਾਇਆ ਅਤੇ ਉਸ ਦਾ ਹੱਥ ਫੇਰ ਚੰਗਾ ਹੋ ਗਿਆ।
[IRV | PA | NT | Mark | Chapter 3 | Verse 6] ਤਦ ਫ਼ਰੀਸੀ ਨਿੱਕਲ ਕੇ ਉਸ ਵੇਲੇ ਹੇਰੋਦੀਆਂ ਨਾਲ ਉਹ ਦੇ ਵਿਰੁੱਧ ਯੋਜਨਾ ਬਣਾਉਣ ਲੱਗੇ ਜੋ ਕਿਸ ਤਰ੍ਹਾਂ ਉਹ ਦਾ ਨਾਸ ਕਰੀਏ।
[IRV | PA | NT | Mark | Chapter 3 | Verse 7] ਯਿਸੂ ਆਪਣੇ ਚੇਲਿਆਂ ਸਣੇ ਝੀਲ ਵੱਲ ਚੱਲਿਆ ਗਿਆ ਅਤੇ ਗਲੀਲ ਤੋਂ ਲੋਕਾਂ ਦੀ ਵੱਡੀ ਭੀੜ ਉਸ ਦੇ ਪਿੱਛੇ ਤੁਰ ਪਈ।
[IRV | PA | NT | Mark | Chapter 3 | Verse 8] ਯਹੂਦਿਯਾ, ਯਰੂਸ਼ਲਮ, ਅਦੂਮ ਅਤੇ ਯਰਦਨ ਦੇ ਪਾਰੋਂ ਅਤੇ ਸੂਰ ਅਤੇ ਸੈਦਾ ਦੇ ਆਲੇ ਦੁਆਲਿਓਂ ਇੱਕ ਵੱਡੀ ਭੀੜ ਇਹ ਸੁਣ ਕੇ ਜੋ ਉਹ ਕਿੰਨੇ ਵੱਡੇ-ਵੱਡੇ ਕੰਮ ਕਰਦਾ ਹੈ, ਉਹ ਦੇ ਕੋਲ ਆਈ।
[IRV | PA | NT | Mark | Chapter 3 | Verse 9] ਤਾਂ ਉਹ ਨੇ ਆਪਣੇ ਚੇਲਿਆਂ ਨੂੰ ਕਿਹਾ, ਭੀੜ ਦੇ ਕਾਰਨ ਇੱਕ ਕਿਸ਼ਤੀ ਮੇਰੇ ਲਈ ਤਿਆਰ ਕਰੋ ਤਾਂ ਕਿ ਲੋਕ ਮੈਨੂੰ ਦਬਾ ਨਾ ਲੈਣ।
[IRV | PA | NT | Mark | Chapter 3 | Verse 10] ਕਿਉਂਕਿ ਉਹ ਨੇ ਬਹੁਤਿਆਂ ਨੂੰ ਚੰਗਾ ਕੀਤਾ ਸੀ ਐਥੋਂ ਤੱਕ ਕਿ ਜਿੰਨੇ ਰੋਗੀ ਸਨ, ਉਹ ਉਸ ਨੂੰ ਛੋਹਣ ਲਈ ਉਸ ਉੱਤੇ ਡਿੱਗਦੇ ਜਾਂਦੇ ਸਨ।
[IRV | PA | NT | Mark | Chapter 3 | Verse 11] ਅਤੇ ਜਿਹਨਾਂ ਵਿੱਚ ਅਸ਼ੁੱਧ ਆਤਮਾਵਾਂ ਸਨ ਜਦੋਂ ਉਹ ਨੂੰ ਵੇਖਿਆ ਤਾਂ ਉਹ ਦੇ ਅੱਗੇ ਡਿੱਗ ਪਏ ਅਤੇ ਚੀਕਾਂ ਮਾਰ ਕੇ ਬੋਲੇ, ਤੂੰ ਪਰਮੇਸ਼ੁਰ ਦਾ ਪੁੱਤਰ ਹੈਂ!
