[IRV | PA | NT | Mark | Chapter 1 | Verse 1] ਪਰਮੇਸ਼ੁਰ ਦੇ ਪੁੱਤਰ ਯਿਸੂ ਮਸੀਹ ਦੀ ਖੁਸ਼ਖਬਰੀ ਦਾ ਅਰੰਭ।
[IRV | PA | NT | Mark | Chapter 1 | Verse 2] ਜਿਵੇਂ ਯਸਾਯਾਹ ਨਬੀ ਦੀ ਪੁਸਤਕ ਵਿੱਚ ਲਿਖਿਆ ਹੋਇਆ ਹੈ, ਵੇਖ, ਮੈਂ ਆਪਣੇ ਦੂਤ ਨੂੰ ਤੇਰੇ ਅੱਗੇ ਭੇਜਦਾ ਹਾਂ ਜੋ ਤੇਰੇ ਲਈ ਰਾਹ ਤਿਆਰ ਕਰੇਗਾ,
[IRV | PA | NT | Mark | Chapter 1 | Verse 3] ਉਜਾੜ ਵਿੱਚ ਇੱਕ ਪੁਕਾਰਨ ਵਾਲੇ ਦੀ ਅਵਾਜ਼, ਕਿ ਪ੍ਰਭੂ ਦੇ ਰਸਤੇ ਨੂੰ ਤਿਆਰ ਕਰੋ, ਅਤੇ ਉਹ ਦੇ ਰਾਹਾਂ ਨੂੰ ਸਿੱਧੇ ਕਰੋ।
[IRV | PA | NT | Mark | Chapter 1 | Verse 4] ਯੂਹੰਨਾ ਆਇਆ, ਜਿਹੜਾ ਉਜਾੜ ਵਿੱਚ ਬਪਤਿਸਮਾ ਦਿੰਦਾ ਅਤੇ ਪਾਪਾਂ ਦੀ ਮਾਫ਼ੀ ਲਈ ਤੋਬਾ ਦੇ ਬਪਤਿਸਮੇ ਦਾ ਪਰਚਾਰ ਕਰਦਾ ਸੀ।
[IRV | PA | NT | Mark | Chapter 1 | Verse 5] ਸਾਰੇ ਯਹੂਦਿਯਾ ਦੇਸ ਅਤੇ ਯਰੂਸ਼ਲਮ ਦੇ ਸਾਰੇ ਰਹਿਣ ਵਾਲੇ ਨਿੱਕਲ ਕੇ ਉਹ ਦੇ ਕੋਲ ਆਉਂਦੇ, ਅਤੇ ਆਪਣਿਆਂ ਪਾਪਾਂ ਨੂੰ ਮੰਨ ਕੇ ਯਰਦਨ ਨਦੀ ਵਿੱਚ ਉਹ ਦੇ ਹੱਥੋਂ ਬਪਤਿਸਮਾ ਲੈਂਦੇ ਸਨ।
[IRV | PA | NT | Mark | Chapter 1 | Verse 6] ਯੂਹੰਨਾ ਦੇ ਬਸਤਰ ਊਠ ਦੇ ਵਾਲਾਂ ਦੇ ਸੀ ਅਤੇ ਚਮੜੇ ਦੀ ਪੇਟੀ ਉਸ ਦੇ ਲੱਕ ਨਾਲ ਬੰਨ੍ਹੀ ਹੋਈ ਸੀ, ਉਹ ਟਿੱਡੀਆਂ ਅਤੇ ਜੰਗਲੀ ਸ਼ਹਿਦ ਖਾਂਦਾ ਹੁੰਦਾ ਸੀ।
[IRV | PA | NT | Mark | Chapter 1 | Verse 7] ਅਤੇ ਉਸ ਨੇ ਪਰਚਾਰ ਕੀਤਾ ਕਿ ਮੇਰੇ ਪਿਛੋਂ ਉਹ ਆਉਂਦਾ ਹੈ, ਜੋ ਮੇਰੇ ਨਾਲੋਂ ਬਲਵੰਤ ਹੈ ਅਤੇ ਮੈਂ ਇਸ ਲਾਇਕ ਨਹੀਂ ਜੋ ਝੁੱਕ ਕੇ ਉਸ ਦੀ ਜੁੱਤੀ ਦਾ ਤਸਮਾ ਖੋਲ੍ਹਾਂ।
[IRV | PA | NT | Mark | Chapter 1 | Verse 8] ਮੈਂ ਤਾਂ ਤੁਹਾਨੂੰ ਪਾਣੀ ਨਾਲ ਬਪਤਿਸਮਾ ਦਿੰਦਾ ਹਾਂ ਪਰ ਉਹ ਤੁਹਾਨੂੰ ਪਵਿੱਤਰ ਆਤਮਾ ਨਾਲ ਬਪਤਿਸਮਾ ਦੇਵੇਗਾ।
[IRV | PA | NT | Mark | Chapter 1 | Verse 9] ਉਨ੍ਹਾਂ ਦਿਨਾਂ ਵਿੱਚ ਅਜਿਹਾ ਹੋਇਆ ਜੋ ਯਿਸੂ ਨੇ ਗਲੀਲ ਦੇ ਨਾਸਰਤ ਤੋਂ ਆਣ ਕੇ ਯਰਦਨ ਨਦੀ ਵਿੱਚ ਯੂਹੰਨਾ ਦੇ ਹੱਥੋਂ ਬਪਤਿਸਮਾ ਲਿਆ।
[IRV | PA | NT | Mark | Chapter 1 | Verse 10] ਅਤੇ ਪਾਣੀ ਵਿੱਚੋਂ ਨਿੱਕਲਦੇ ਸਾਰ ਉਸ ਨੇ ਅਕਾਸ਼ ਨੂੰ ਖੁੱਲਦਿਆਂ ਅਤੇ ਪਵਿੱਤਰ ਆਤਮਾ ਨੂੰ ਆਪਣੇ ਉੱਤੇ ਘੁੱਗੀ ਵਾਂਗੂੰ ਉੱਤਰਦਿਆਂ ਵੇਖਿਆ।
[IRV | PA | NT | Mark | Chapter 1 | Verse 11] ਅਤੇ ਇੱਕ ਸਵਰਗੀ ਬਾਣੀ ਆਈ ਜੋ ਤੂੰ ਮੇਰਾ ਪਿਆਰਾ ਪੁੱਤਰ ਹੈਂ, ਤੇਰੇ ਤੋਂ ਮੈਂ ਖੁਸ਼ ਹਾਂ।
