[IRV | PA | NT | Mark | Chapter 13 | Verse 1] ਜਦੋਂ ਪ੍ਰਭੂ ਯਿਸੂ ਹੈਕਲ ਵਿੱਚੋਂ ਬਾਹਰ ਜਾ ਰਿਹਾ ਸੀ, ਤਾਂ ਉਹ ਦੇ ਚੇਲਿਆਂ ਵਿੱਚੋਂ ਇੱਕ ਨੇ ਉਹ ਨੂੰ ਆਖਿਆ, ਗੁਰੂ ਜੀ ਇਹਨਾਂ ਪੱਥਰਾਂ ਅਤੇ ਇਮਾਰਤਾਂ ਨੂੰ ਵੇਖੋ ਕਿਹੋ ਜਿਹੇ ਹਨ!
[IRV | PA | NT | Mark | Chapter 13 | Verse 2] ਤਾਂ ਯਿਸੂ ਨੇ ਉਹ ਨੂੰ ਕਿਹਾ, ਕੀ ਤੂੰ ਇਹਨਾਂ ਵੱਡੀਆਂ-ਵੱਡੀਆਂ ਇਮਾਰਤਾਂ ਨੂੰ ਵੇਖਦਾ ਹੈਂ? ਐਥੇ ਪੱਥਰ ਉੱਤੇ ਪੱਥਰ ਵੀ ਛੱਡਿਆ ਨਾ ਜਾਵੇਗਾ ਜਿਹੜਾ ਗਿਰਾਇਆ ਨਾ ਜਾਏ।
[IRV | PA | NT | Mark | Chapter 13 | Verse 3] ਜਦੋਂ ਉਹ ਜ਼ੈਤੂਨ ਦੇ ਪਹਾੜ ਉੱਤੇ ਹੈਕਲ ਦੇ ਸਾਹਮਣੇ ਬੈਠਾ ਸੀ, ਤਦ ਪਤਰਸ, ਯਾਕੂਬ, ਯੂਹੰਨਾ ਅਤੇ ਅੰਦ੍ਰਿਯਾਸ ਨੇ ਇਕਾਂਤ ਵਿੱਚ ਉਹ ਦੇ ਅੱਗੇ ਅਰਜ਼ ਕੀਤੀ,
[IRV | PA | NT | Mark | Chapter 13 | Verse 4] ਜੋ ਸਾਨੂੰ ਦੱਸੋ, ਇਹ ਗੱਲਾਂ ਕਦੋਂ ਹੋਣਗੀਆਂ ਅਤੇ ਉਸ ਸਮੇਂ ਦਾ ਕੀ ਨਿਸ਼ਾਨ ਹੋਵੇਗਾ, ਜਦੋਂ ਇਹ ਸਭ ਪੂਰੀਆਂ ਹੋਣ ਲੱਗਣਗੀਆਂ?
[IRV | PA | NT | Mark | Chapter 13 | Verse 5] ਯਿਸੂ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, ਚੌਕਸ ਰਹੋ ਕਿ ਕੋਈ ਤੁਹਾਨੂੰ ਧੋਖੇ ਵਿੱਚ ਨਾ ਪਾਵੇ।
[IRV | PA | NT | Mark | Chapter 13 | Verse 6] ਮੇਰਾ ਨਾਮ ਲੈ ਕੇ ਬਥੇਰੇ ਇਹ ਕਹਿੰਦੇ ਆਉਣਗੇ ਜੋ ਮੈਂ ਮਸੀਹ ਹਾਂ ਅਤੇ ਬਹੁਤਿਆਂ ਨੂੰ ਭੁਲਾਵੇ ਵਿੱਚ ਪਾ ਦੇਣਗੇ।
[IRV | PA | NT | Mark | Chapter 13 | Verse 7] ਜਦੋਂ ਤੁਸੀਂ ਲੜਾਈਆਂ ਅਤੇ ਲੜਾਈਆਂ ਦੀਆਂ ਖ਼ਬਰਾਂ ਨੂੰ ਸੁਣੋ ਤਾਂ ਘਬਰਾ ਨਾ ਜਾਣਾ। ਕਿਉਂਕਿ ਇਨ੍ਹਾਂ ਦਾ ਹੋਣਾ ਜ਼ਰੂਰ ਹੈ ਪਰ ਅਜੇ ਅੰਤ ਨਹੀਂ ਹੋਵੇਗਾ।
[IRV | PA | NT | Mark | Chapter 13 | Verse 8] ਕਿਉਂ ਜੋ ਕੌਮ-ਕੌਮ ਉੱਤੇ ਅਤੇ ਰਾਜ ਰਾਜ ਉੱਤੇ ਚੜ੍ਹਾਈ ਕਰੇਗਾ। ਥਾਂ-ਥਾਂ ਭੂਚਾਲ ਆਉਣਗੇ, ਅਤੇ ਕਾਲ ਪੈਣਗੇ। ਇਹ ਤਾਂ ਅਜੇ ਦੁੱਖਾਂ ਦੀ ਸ਼ੁਰੂਆਤ ਹੀ ਹੈ!।
[IRV | PA | NT | Mark | Chapter 13 | Verse 9] ਪਰ ਤੁਸੀਂ ਚੌਕਸ ਰਹੋ ਕਿਉਂ ਜੋ ਲੋਕ ਤੁਹਾਨੂੰ ਅਦਾਲਤਾਂ ਦੇ ਹਵਾਲੇ ਕਰਨਗੇ ਅਤੇ ਤੁਸੀਂ ਪ੍ਰਾਰਥਨਾ ਘਰਾਂ ਵਿੱਚ ਮਾਰ ਖਾਓਗੇ ਅਤੇ ਹਾਕਮਾਂ ਅਤੇ ਰਾਜਿਆਂ ਦੇ ਅੱਗੇ ਮੇਰੇ ਕਾਰਨ ਖੜੇ ਕੀਤੇ ਜਾਓਗੇ ਤਾਂ ਜੋ ਉਨ੍ਹਾਂ ਉੱਤੇ ਗਵਾਹੀ ਹੋਵੇ।
[IRV | PA | NT | Mark | Chapter 13 | Verse 10] ਅਤੇ ਜ਼ਰੂਰ ਹੈ ਜੋ ਪਹਿਲਾਂ ਸਾਰੀਆਂ ਕੌਮਾਂ ਦੇ ਵਿੱਚ ਖੁਸ਼ਖਬਰੀ ਦਾ ਪਰਚਾਰ ਕੀਤਾ ਜਾਏ।
[IRV | PA | NT | Mark | Chapter 13 | Verse 11] ਪਰ ਜਦੋਂ ਤੁਹਾਨੂੰ ਲੈ ਜਾ ਕੇ ਉਨ੍ਹਾ ਦੇ ਹਵਾਲੇ ਕਰਨ, ਤਾਂ ਪਹਿਲਾਂ ਹੀ ਚਿੰਤਾ ਨਾ ਕਰਨੀ ਕਿ ਅਸੀਂ ਕੀ ਆਖਾਂਗੇ, ਪਰ ਜੋ ਕੁਝ ਉਸ ਘੜੀ ਤੁਹਾਨੂੰ ਬਖ਼ਸ਼ਿਆ ਜਾਵੇ ਸੋਈ ਆਖਣਾ ਕਿਉਂਕਿ ਬੋਲਣ ਵਾਲੇ ਤੁਸੀਂ ਨਹੀਂ ਹੋ, ਪਰ ਪਵਿੱਤਰ ਆਤਮਾ ਹੈ।
