[IRV | PA | NT | Mark | Chapter 5 | Verse 1] ਉਹ ਝੀਲ ਦੇ ਪਾਰ ਗਿਰਸੇਨੀਆਂ ਦੇ ਦੇਸ ਵਿੱਚ ਪਹੁੰਚੇ।
[IRV | PA | NT | Mark | Chapter 5 | Verse 2] ਅਤੇ ਜਦੋਂ ਉਹ ਬੇੜੀ ਤੋਂ ਉਤਰਿਆ ਤਾਂ ਉਸੇ ਵੇਲੇ ਇੱਕ ਮਨੁੱਖ ਜਿਸ ਵਿੱਚ ਅਸ਼ੁੱਧ ਆਤਮਾ ਸੀ ਕਬਰਾਂ ਵਿੱਚੋਂ ਨਿੱਕਲ ਕੇ ਉਹ ਨੂੰ ਆ ਮਿਲਿਆ।
[IRV | PA | NT | Mark | Chapter 5 | Verse 3] ਉਹ ਕਬਰਾਂ ਵਿੱਚ ਰਹਿੰਦਾ ਸੀ ਅਤੇ ਕੋਈ ਉਹ ਨੂੰ ਸੰਗਲਾਂ ਨਾਲ ਵੀ ਜਕੜ ਨਹੀਂ ਸੀ ਸਕਦਾ।
[IRV | PA | NT | Mark | Chapter 5 | Verse 4] ਉਹ ਤਾਂ ਕਈ ਵਾਰੀ ਬੇੜੀਆਂ ਅਤੇ ਸੰਗਲਾਂ ਨਾਲ ਜਕੜਿਆ ਗਿਆ ਸੀ ਪਰ ਉਹ ਨੇ ਸੰਗਲ ਤੋੜ ਸੁੱਟੇ ਅਤੇ ਬੇੜੀਆਂ ਦੇ ਟੋਟੇ-ਟੋਟੇ ਕਰ ਦਿੱਤੇ ਸਨ ਅਤੇ ਕੋਈ ਵੀ ਉਹ ਨੂੰ ਕਾਬੂ ਨਹੀਂ ਕਰ ਸਕਦਾ ਸੀ।
[IRV | PA | NT | Mark | Chapter 5 | Verse 5] ਉਹ ਰਾਤ-ਦਿਨ ਨਿੱਤ ਕਬਰਾਂ ਅਤੇ ਪਹਾੜਾਂ ਵਿੱਚ ਚੀਕਾਂ ਮਾਰਦਾ ਅਤੇ ਆਪਣੇ ਆਪ ਨੂੰ ਪੱਥਰਾਂ ਨਾਲ ਜ਼ਖਮੀ ਕਰਦਾ ਹੁੰਦਾ ਸੀ।
[IRV | PA | NT | Mark | Chapter 5 | Verse 6] ਜਦੋਂ ਉਸ ਨੇ ਯਿਸੂ ਨੂੰ ਦੂਰੋਂ ਵੇਖਿਆ ਤਾਂ ਦੌੜ ਕੇ ਆਇਆ ਅਤੇ ਉਹ ਨੂੰ ਮੱਥਾ ਟੇਕਿਆ।
[IRV | PA | NT | Mark | Chapter 5 | Verse 7] ਅਤੇ ਉੱਚੀ ਅਵਾਜ਼ ਨਾਲ ਪੁਕਾਰ ਕੇ ਬੋਲਿਆ, ਹੇ ਯਿਸੂ ਅੱਤ ਮਹਾਨ ਪਰਮੇਸ਼ੁਰ ਦੇ ਪੁੱਤਰ, ਤੇਰਾ ਮੇਰੇ ਨਾਲ ਕੀ ਕੰਮ? ਮੈਂ ਤੈਨੂੰ ਪਰਮੇਸ਼ੁਰ ਦੀ ਸਹੁੰ ਦਿੰਦਾ ਹਾਂ, ਮੈਨੂੰ ਦੁੱਖ ਨਾ ਦੇ!
[IRV | PA | NT | Mark | Chapter 5 | Verse 8] ਕਿਉਂ ਜੋ ਉਸ ਨੇ ਉਹ ਨੂੰ ਕਿਹਾ ਸੀ ਕਿ ਹੇ ਅਸ਼ੁੱਧ ਆਤਮਾ, ਇਸ ਮਨੁੱਖ ਵਿੱਚੋਂ ਨਿੱਕਲ ਜਾ!
[IRV | PA | NT | Mark | Chapter 5 | Verse 9] ਫਿਰ ਯਿਸੂ ਨੇ ਉਹ ਨੂੰ ਪੁੱਛਿਆ, ਤੇਰਾ ਕੀ ਨਾਮ ਹੈ? ਉਹ ਨੇ ਉਸ ਨੂੰ ਕਿਹਾ, ਮੇਰਾ ਨਾਮ ਲਸ਼ਕਰ ਅਰਥਾਤ ਸੈਨਾਂ ਹੈ ਕਿਉਂ ਜੋ ਅਸੀਂ ਬਹੁਤ ਸਾਰੇ ਹਾਂ।
[IRV | PA | NT | Mark | Chapter 5 | Verse 10] ਅਤੇ ਉਹ ਨੇ ਉਸ ਦੀ ਬਹੁਤ ਮਿੰਨਤ ਕੀਤੀ ਕਿ ਸਾਨੂੰ ਇਸ ਦੇਸ ਵਿੱਚੋਂ ਨਾ ਕੱਢ!
[IRV | PA | NT | Mark | Chapter 5 | Verse 11] ਉੱਥੇ ਪਹਾੜ ਦੇ ਨੇੜੇ ਸੂਰਾਂ ਦਾ ਇੱਕ ਵੱਡਾ ਇੱਜੜ ਚੁੱਗਦਾ ਸੀ।
