[IRV | PA | NT | Mark | Chapter 12 | Verse 1] ਫੇਰ ਪ੍ਰਭੂ ਯਿਸੂ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਇੱਕ ਦ੍ਰਿਸ਼ਟਾਂਤ ਦਿੱਤਾ, ਕਿ ਇੱਕ ਮਨੁੱਖ ਨੇ ਅੰਗੂਰਾਂ ਦਾ ਬਾਗ਼ ਲਾਇਆ ਅਤੇ ਉਹ ਦੇ ਚੁਫ਼ੇਰੇ ਵਾੜ ਦਿੱਤੀ ਅਤੇ ਰਸ ਲਈ ਇੱਕ ਹੋਦ ਬਣਾਇਆ ਅਤੇ ਇੱਕ ਬੁਰਜ ਉਸਾਰਿਆ ਅਤੇ ਉਹ ਨੂੰ ਮਾਲੀਆਂ ਦੇ ਹੱਥ ਸੌਂਪ ਕੇ ਆਪ ਪਰਦੇਸ ਚੱਲਿਆ ਗਿਆ।
[IRV | PA | NT | Mark | Chapter 12 | Verse 2] ਅਤੇ ਉਸ ਨੇ ਰੁੱਤ ਸਿਰ ਇੱਕ ਨੌਕਰ ਨੂੰ ਮਾਲੀਆਂ ਕੋਲ ਭੇਜਿਆ ਜੋ ਉਹ ਮਾਲੀਆਂ ਤੋਂ ਬਾਗ਼ ਦੇ ਫਲ ਵਿੱਚੋਂ ਕੁਝ ਲੈ ਕੇ ਆਵੇ।
[IRV | PA | NT | Mark | Chapter 12 | Verse 3] ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਉਸ ਨੂੰ ਫੜ੍ਹ ਕੇ ਕੁੱਟਿਆ ਅਤੇ ਖਾਲੀ ਹੱਥੀਂ ਮੋੜ ਦਿੱਤਾ।
[IRV | PA | NT | Mark | Chapter 12 | Verse 4] ਉਸ ਨੇ ਇੱਕ ਹੋਰ ਨੌਕਰ ਉਨ੍ਹਾਂ ਦੇ ਕੋਲ ਭੇਜਿਆ ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਉਹ ਦਾ ਸਿਰ ਭੰਨਿਆ ਅਤੇ ਉਹ ਨੂੰ ਬੇਇੱਜ਼ਤ ਕੀਤਾ।
[IRV | PA | NT | Mark | Chapter 12 | Verse 5] ਫੇਰ ਉਸ ਨੇ ਇੱਕ ਹੋਰ ਭੇਜਿਆ ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਉਹ ਨੂੰ ਵੀ ਮਾਰ ਸੁੱਟਿਆ ਅਤੇ ਉਸ ਨੇ ਹੋਰ ਬਹੁਤ ਸਾਰੇ ਭੇਜੇ ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਕਈਆਂ ਨੂੰ ਕੁੱਟਿਆ ਅਤੇ ਕਈਆਂ ਨੂੰ ਮਾਰ ਦਿੱਤਾ।
[IRV | PA | NT | Mark | Chapter 12 | Verse 6] ਅਜੇ ਉਸ ਦੇ ਕੋਲ ਇੱਕ ਰਹਿੰਦਾ ਸੀ, ਉਸ ਦਾ ਪਿਆਰਾ ਪੁੱਤਰ। ਆਖੀਰ ਉਸ ਨੇ ਉਹ ਨੂੰ ਵੀ ਉਨ੍ਹਾਂ ਕੋਲ ਇਹ ਕਹਿ ਕੇ ਭੇਜਿਆ ਜੋ ਉਹ ਮੇਰੇ ਪੁੱਤਰ ਦਾ ਮਾਣ ਰੱਖਣਗੇ।
[IRV | PA | NT | Mark | Chapter 12 | Verse 7] ਅਤੇ ਉਨ੍ਹਾਂ ਮਾਲੀਆਂ ਨੇ ਆਪੋ ਵਿੱਚ ਕਿਹਾ, ਵਾਰਿਸ ਇਹੋ ਹੈ। ਆਓ ਇਹ ਨੂੰ ਮਾਰ ਸੁੱਟੀਏ ਤਾਂ ਵਿਰਾਸਤ ਸਾਡੀ ਹੋ ਜਾਵੇਗੀ।
[IRV | PA | NT | Mark | Chapter 12 | Verse 8] ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਉਹ ਨੂੰ ਫੜ੍ਹ ਕੇ ਮਾਰ ਦਿੱਤਾ ਅਤੇ ਉਹ ਨੂੰ ਬਾਗ਼ੋਂ ਬਾਹਰ ਸੁੱਟਿਆ।
[IRV | PA | NT | Mark | Chapter 12 | Verse 9] ਸੋ ਬਾਗ਼ ਦਾ ਮਾਲਕ ਹੁਣ ਕੀ ਕਰੇਗਾ? ਉਹ ਆਵੇਗਾ ਅਤੇ ਮਾਲੀਆਂ ਦਾ ਨਾਸ ਕਰੇਗਾ ਅਤੇ ਅੰਗੂਰਾਂ ਦਾ ਬਾਗ਼ ਹੋਰਨਾਂ ਨੂੰ ਸੌਂਪੇਗਾ।
[IRV | PA | NT | Mark | Chapter 12 | Verse 10] ਕੀ ਤੁਸੀਂ ਇਹ ਲਿਖਤ ਵੀ ਨਹੀਂ ਪੜ੍ਹੀ? ਕਿ ਜਿਸ ਪੱਥਰ ਨੂੰ ਰਾਜ ਮਿਸਤਰੀਆਂ ਨੇ ਰੱਦਿਆ, ਸੋਈ ਖੂੰਜੇ ਦਾ ਸਿਰਾ ਹੋ ਗਿਆ।
[IRV | PA | NT | Mark | Chapter 12 | Verse 11] ਇਹ ਪ੍ਰਭੂ ਦੀ ਵੱਲੋਂ ਹੋਇਆ, ਅਤੇ ਸਾਡੀ ਨਜ਼ਰ ਵਿੱਚ ਅਨੋਖਾ ਹੈ।
