[IRV | PA | NT | Mark | Chapter 15 | Verse 1] ਸਵੇਰ ਹੁੰਦਿਆਂ ਹੀ ਮੁੱਖ ਜਾਜਕਾਂ ਨੇ ਬਜ਼ੁਰਗਾਂ ਅਤੇ ਉਪਦੇਸ਼ਕਾਂ ਸਣੇ ਅਤੇ ਸਾਰੀ ਮਹਾਂ ਸਭਾ ਨੇ ਸਲਾਹ ਕਰ ਕੇ ਯਿਸੂ ਨੂੰ ਬੰਨ੍ਹਿਆ ਅਤੇ ਲੈ ਜਾ ਕੇ ਪਿਲਾਤੁਸ ਦੇ ਹਵਾਲੇ ਕੀਤਾ।
[IRV | PA | NT | Mark | Chapter 15 | Verse 2] ਪਿਲਾਤੁਸ ਨੇ ਉਸ ਤੋਂ ਪੁੱਛਿਆ, ਭਲਾ, ਤੂੰ ਯਹੂਦੀਆਂ ਦਾ ਪਾਤਸ਼ਾਹ ਹੈਂ? ਉਸ ਨੇ ਉਹ ਨੂੰ ਉੱਤਰ ਦਿੱਤਾ, ਤੂੰ ਸੱਚ ਆਖਿਆ ਹੈ।
[IRV | PA | NT | Mark | Chapter 15 | Verse 3] ਤਾਂ ਮੁੱਖ ਜਾਜਕਾਂ ਨੇ ਉਸ ਉੱਤੇ ਬਹੁਤ ਦੋਸ਼ ਲਾਏ।
[IRV | PA | NT | Mark | Chapter 15 | Verse 4] ਪਿਲਾਤੁਸ ਨੇ ਉਸ ਤੋਂ ਫਿਰ ਪੁੱਛਿਆ, ਤੂੰ ਕੁਝ ਜ਼ਵਾਬ ਨਹੀਂ ਦਿੰਦਾ? ਵੇਖ ਉਹ ਤੇਰੇ ਉੱਤੇ ਕਿੰਨੀਆਂ ਗੱਲਾਂ ਦਾ ਦੋਸ਼ ਲਾਉਂਦੇ ਹਨ!
[IRV | PA | NT | Mark | Chapter 15 | Verse 5] ਪਰ ਯਿਸੂ ਨੇ ਫੇਰ ਕੁਝ ਜ਼ਵਾਬ ਨਾ ਦਿੱਤਾ ਐਥੋਂ ਤੱਕ ਜੋ ਪਿਲਾਤੁਸ ਹੈਰਾਨ ਹੋਇਆ।
[IRV | PA | NT | Mark | Chapter 15 | Verse 6] ਉਹ ਉਸ ਤਿਉਹਾਰ ਉੱਤੇ ਇੱਕ ਕੈਦੀ ਜਿਸ ਦੇ ਲਈ ਲੋਕ ਅਰਜ਼ ਕਰਦੇ ਸਨ ਉਨ੍ਹਾਂ ਦੀ ਖ਼ਾਤਰ ਛੱਡਦਾ ਹੁੰਦਾ ਸੀ।
[IRV | PA | NT | Mark | Chapter 15 | Verse 7] ਬਰੱਬਾ ਨਾਮ ਦਾ ਇੱਕ ਮਨੁੱਖ ਸੀ ਜਿਹੜਾ ਉਨ੍ਹਾਂ ਫਸਾਦੀਆਂ ਦੇ ਨਾਲ ਸੀ ਜਿਨ੍ਹਾਂ ਫਸਾਦ ਵਿੱਚ ਖੂਨ ਕੀਤਾ ਕੈਦ ਵਿੱਚ ਪਿਆ ਹੋਇਆ ਸੀ।
[IRV | PA | NT | Mark | Chapter 15 | Verse 8] ਅਤੇ ਲੋਕ ਨੇੜੇ ਜਾ ਕੇ ਅਰਜ਼ ਕਰਨ ਲੱਗੇ ਜੋ ਦਸਤੂਰ ਅਨੁਸਾਰ ਸਾਡੇ ਲਈ ਕਰੋ।
[IRV | PA | NT | Mark | Chapter 15 | Verse 9] ਪਿਲਾਤੁਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਉੱਤਰ ਦਿੱਤਾ, ਕੀ ਤੁਸੀਂ ਚਾਹੁੰਦੇ ਹੋ ਜੋ ਮੈਂ ਤੁਹਾਡੇ ਲਈ ਯਹੂਦੀਆਂ ਦੇ ਰਾਜੇ ਨੂੰ ਛੱਡ ਦੇਵਾਂ?
[IRV | PA | NT | Mark | Chapter 15 | Verse 10] ਕਿਉਂ ਜੋ ਉਹ ਨੇ ਮਲੂਮ ਕੀਤਾ ਸੀ ਜੋ ਮੁੱਖ ਜਾਜਕਾਂ ਨੇ ਖਾਰ ਦੇ ਮਾਰੇ ਉਹ ਨੂੰ ਹਵਾਲੇ ਕੀਤਾ ਹੈ।
[IRV | PA | NT | Mark | Chapter 15 | Verse 11] ਪਰ ਮੁੱਖ ਜਾਜਕਾਂ ਨੇ ਭੀੜ ਨੂੰ ਚੁੱਕਿਆ ਜੋ ਉਹ ਬਰੱਬਾ ਹੀ ਉਨ੍ਹਾਂ ਦੀ ਖ਼ਾਤਰ ਛੱਡ ਦੇਵੇ।
[IRV | PA | NT | Mark | Chapter 15 | Verse 12] ਪਿਲਾਤੁਸ ਨੇ ਅੱਗੋਂ ਉਨ੍ਹਾਂ ਨੂੰ ਫਿਰ ਆਖਿਆ, ਤਾਂ ਜਿਹ ਨੂੰ ਤੁਸੀਂ ਯਹੂਦੀਆਂ ਦਾ ਪਾਤਸ਼ਾਹ ਕਹਿੰਦੇ ਹੋ ਮੈਂ ਉਸ ਨਾਲ ਕੀ ਕਰਾਂ?
[IRV | PA | NT | Mark | Chapter 15 | Verse 13] ਉਹ ਫੇਰ ਰੌਲ਼ਾ ਪਾ ਕੇ ਬੋਲੇ, ਉਹ ਨੂੰ ਸਲੀਬ ਦਿਓ!
[IRV | PA | NT | Mark | Chapter 15 | Verse 14] ਪਿਲਾਤੁਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, ਕਿਉਂ? ਇਸ ਨੇ ਕੀ ਬੁਰਿਆਈ ਕੀਤੀ ਹੈ? ਪਰ ਉਹ ਹੋਰ ਵੀ ਰੌਲ਼ਾ ਪਾ ਕੇ ਬੋਲੇ, ਉਹ ਨੂੰ ਸਲੀਬ ਦਿਓ!
