[IRV | PA | NT | Mark | Chapter 7 | Verse 1] ਫ਼ਰੀਸੀ ਅਤੇ ਕਈ ਉਪਦੇਸ਼ਕ ਯਰੂਸ਼ਲਮ ਤੋਂ ਆ ਕੇ ਪ੍ਰਭੂ ਯਿਸੂ ਦੇ ਕੋਲ ਇਕੱਠੇ ਹੋਏ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 2] ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਉਹ ਦੇ ਕਿੰਨਿਆਂ ਚੇਲਿਆਂ ਨੂੰ ਅਸ਼ੁੱਧ ਅਰਥਾਤ ਬਿਨ੍ਹਾਂ ਹੱਥ ਧੋਤੇ ਰੋਟੀ ਖਾਂਦੇ ਵੇਖਿਆ ਸੀ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 3] (ਕਿਉਂ ਜੋ ਫ਼ਰੀਸੀ ਅਤੇ ਸਾਰੇ ਯਹੂਦੀ ਬਜ਼ੁਰਗਾਂ ਦੀ ਰੀਤ ਅਨੁਸਾਰ ਜਦੋਂ ਤੱਕ ਉਹ ਆਪਣੇ ਹੱਥਾਂ ਨੂੰ ਚੰਗੀ ਤਰ੍ਹਾਂ ਧੋ ਨਾ ਲੈਣ ਉਦੋਂ ਤੱਕ ਰੋਟੀ ਨਹੀਂ ਸੀ ਖਾਂਦੇ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 4] ਅਤੇ ਬਜਾਰੋਂ ਆਣ ਕੇ ਨਹੀਂ ਖਾਂਦੇ ਜਿੰਨਾਂ ਚਿਰ ਨਹਾ ਨਾ ਲੈਣ ਅਤੇ ਹੋਰ ਬਥੇਰੀਆਂ ਗੱਲਾਂ ਹਨ ਜਿਹੜੀਆਂ ਉਨ੍ਹਾਂ ਨੇ ਮੰਨਣ ਲਈ ਕਬੂਲ ਕੀਤੀਆਂ ਹਨ ਜਿਵੇਂ ਕਟੋਰਿਆਂ ਅਤੇ ਗੜਵਿਆਂ ਅਤੇ ਪਿੱਤਲ ਦੇ ਭਾਂਡਿਆਂ ਨੂੰ ਧੋਣਾ)
[IRV | PA | NT | Mark | Chapter 7 | Verse 5] ਤਦ ਫ਼ਰੀਸੀਆਂ ਅਤੇ ਉਪਦੇਸ਼ਕਾਂ ਨੇ ਉਹ ਨੂੰ ਪੁੱਛਿਆ, ਤੇਰੇ ਚੇਲੇ ਵੱਡਿਆਂ-ਬਜ਼ੁਰਗਾਂ ਦੀ ਰੀਤ ਉੱਤੇ ਕਿਉਂ ਨਹੀਂ ਚੱਲਦੇ ਅਤੇ ਬਿਨ੍ਹਾਂ ਹੱਥ ਧੋਤੇ ਰੋਟੀ ਕਿਉਂ ਖਾਂਦੇ ਹਨ?
[IRV | PA | NT | Mark | Chapter 7 | Verse 6] ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਕਿਹਾ, ਤੁਸੀਂ ਕਪਟੀਆਂ ਦੇ ਵਿਖੇ; ਯਸਾਯਾਹ ਨੇ ਠੀਕ ਭਵਿੱਖਬਾਣੀ ਕੀਤੀ, ਜਿਵੇਂ ਲਿਖਿਆ ਹੋਇਆ ਹੈ ਕਿ ਇਹ ਲੋਕ ਆਪਣੇ ਬੁੱਲ੍ਹਾਂ ਨਾਲ ਤਾਂ ਮੇਰਾ ਆਦਰ ਕਰਦੇ ਹਨ, ਪਰ ਇਨ੍ਹਾਂ ਦੇ ਦਿਲ ਮੇਰੇ ਤੋਂ ਦੂਰ ਹਨ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 7] ਉਹ ਵਿਅਰਥ ਮੇਰੀ ਬੰਦਗੀ ਕਰਦੇ ਹਨ, ਉਹ ਮਨੁੱਖਾਂ ਦੇ ਹੁਕਮਾਂ ਦੀ ਸਿੱਖਿਆ ਦਿੰਦੇ ਹਨ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 8] ਤੁਸੀਂ ਪਰਮੇਸ਼ੁਰ ਦੇ ਹੁਕਮ ਨੂੰ ਛੱਡ ਕੇ ਮਨੁੱਖਾਂ ਦੀ ਰੀਤ ਨੂੰ ਮੰਨ ਲੈਂਦੇ ਹੋ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 9] ਅਤੇ ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, ਤੁਸੀਂ ਪਰਮੇਸ਼ੁਰ ਦੇ ਹੁਕਮ ਨੂੰ ਚੰਗੀ ਤਰ੍ਹਾਂ ਟਾਲ ਦਿੰਦੇ ਹੋ ਤਾਂ ਜੋ ਆਪਣੀ ਰੀਤ ਨੂੰ ਕਾਇਮ ਰੱਖੋ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 10] ਕਿਉਂਕਿ ਮੂਸਾ ਨੇ ਕਿਹਾ ਸੀ ਕਿ ਆਪਣੇ ਪਿਤਾ ਅਤੇ ਆਪਣੀ ਮਾਤਾ ਦਾ ਆਦਰ ਕਰ ਅਤੇ ਜਿਹੜਾ ਪਿਤਾ ਜਾਂ ਮਾਤਾ ਨੂੰ ਬੁਰਾ ਬੋਲੇ ਉਹ ਜਾਨੋਂ ਮਾਰਿਆ ਜਾਵੇ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 11] ਪਰ ਤੁਸੀਂ ਆਖਦੇ ਹੋ, ਜੇ ਕੋਈ ਮਨੁੱਖ ਪਿਤਾ ਜਾਂ ਮਾਤਾ ਨੂੰ ਕਹੇ ਭਈ ਜੋ ਕੁਝ ਮੇਰੇ ਕੋਲੋਂ ਤੈਨੂੰ ਲਾਭ ਹੋ ਸਕਦਾ ਸੀ ਸੋ ਕੁਰਬਾਨ ਅਰਥਾਤ ਭੇਟ ਚੜ੍ਹਾ ਦਿੱਤਾ ਹੈ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 12] ਤੁਸੀਂ ਫੇਰ ਉਹ ਨੂੰ ਉਹ ਦੇ ਪਿਤਾ ਜਾਂ ਮਾਤਾ ਦੇ ਲਈ ਕੁਝ ਨਹੀਂ ਕਰਨ ਦਿੰਦੇ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 13] ਇਸ ਤਰ੍ਹਾਂ ਤੁਸੀਂ ਪਰਮੇਸ਼ੁਰ ਦੇ ਬਚਨ ਨੂੰ ਆਪਣੀ ਰੀਤ ਨਾਲ ਜਿਹੜੀ ਤੁਸੀਂ ਚਲਾਈ ਹੈ, ਟਾਲ ਦਿੰਦੇ ਹੋ ਅਤੇ ਹੋਰ ਬਥੇਰੇ ਏਹੋ ਜਿਹੇ ਕੰਮ ਤੁਸੀਂ ਕਰਦੇ ਹੋ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 14] ਉਸ ਨੇ ਲੋਕਾਂ ਨੂੰ ਫੇਰ ਕੋਲ ਬੁਲਾ ਕੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, ਤੁਸੀਂ ਸਾਰੇ ਮੇਰੀ ਸੁਣੋ ਅਤੇ ਸਮਝੋ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 15] ਇਹੋ ਜਿਹੀ ਕੋਈ ਚੀਜ਼ ਨਹੀਂ ਹੈ ਜਿਹੜੀ ਮਨੁੱਖ ਦੇ ਬਾਹਰੋਂ ਉਹ ਦੇ ਅੰਦਰ ਜਾ ਕੇ ਉਹ ਨੂੰ ਅਸ਼ੁੱਧ ਕਰ ਸਕੇ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 16] ਪਰ ਜਿਹੜੀਆਂ ਚੀਜ਼ਾਂ ਉਹ ਦੇ ਅੰਦਰੋਂ ਨਿੱਕਲਦੀਆਂ ਹਨ ਓਹੋ ਮਨੁੱਖ ਨੂੰ ਅਸ਼ੁੱਧ ਕਰਦੀਆਂ ਹਨ। ਜੇ ਕਿਸੇ ਦੇ ਸੁਣਨ ਦੇ ਕੰਨ ਹੋਣ ਤਾਂ ਉਹ ਸੁਣ ਲਵੇ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 17] ਜਦੋਂ ਉਹ ਲੋਕਾਂ ਦੇ ਕੋਲੋਂ ਘਰ ਵਿੱਚ ਗਿਆ ਤਾਂ ਉਸ ਦੇ ਚੇਲਿਆਂ ਨੇ ਉਸ ਗੱਲ ਦਾ ਅਰਥ ਉਸ ਤੋਂ ਪੁੱਛਿਆ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 18] ਤਾਂ ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਕਿਹਾ, ਭਲਾ, ਤੁਸੀਂ ਵੀ ਅਜਿਹੇ ਨਿਰਬੁੱਧ ਹੋ? ਕੀ ਤੁਸੀਂ ਨਹੀਂ ਸਮਝਦੇ ਕਿ ਜੋ ਕੁਝ ਬਾਹਰੋਂ ਮਨੁੱਖ ਦੇ ਅੰਦਰ ਜਾਂਦਾ ਹੈ ਸੋ ਉਹ ਨੂੰ ਅਸ਼ੁੱਧ ਨਹੀਂ ਕਰ ਸਕਦਾ?
[IRV | PA | NT | Mark | Chapter 7 | Verse 19] ਕਿਉਂਕਿ ਉਹ ਉਸ ਦੇ ਦਿਲ ਵਿੱਚ ਨਹੀਂ ਪਰ ਢਿੱਡ ਵਿੱਚ ਜਾਂਦਾ ਹੈ ਅਤੇ ਪਖਾਨੇ ਰਾਹੀਂ ਨਿੱਕਲ ਜਾਂਦਾ ਹੈ। ਇਹ ਕਹਿ ਕੇ ਉਸ ਨੇ ਸਾਰੇ ਭੋਜਨ ਸ਼ੁੱਧ ਠਹਿਰਾਏ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 20] ਫੇਰ ਉਸ ਨੇ ਆਖਿਆ, ਜੋ ਮਨੁੱਖ ਦੇ ਅੰਦਰੋਂ ਨਿੱਕਲਦਾ ਹੈ ਸੋਈ ਮਨੁੱਖ ਨੂੰ ਅਸ਼ੁੱਧ ਕਰਦਾ ਹੈ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 21] ਕਿਉਂਕਿ ਅੰਦਰੋਂ ਮਨੁੱਖ ਦੇ ਦਿਲ ਵਿੱਚੋਂ ਬੁਰੇ ਖ਼ਿਆਲ, ਹਰਾਮਕਾਰੀ,
[IRV | PA | NT | Mark | Chapter 7 | Verse 22] ਚੋਰੀਆਂ, ਖੂਨ, ਵਿਭਚਾਰ, ਲੋਭ, ਬਦੀਆਂ, ਛਲ, ਬਦਮਸਤੀ, ਬੁਰੀ ਨਜ਼ਰ, ਨਿੰਦਿਆ, ਹੰਕਾਰ, ਮੂਰਖਤਾਈ ਨਿੱਕਲਦੀ ਹੈ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 23] ਇਹ ਸਾਰੀਆਂ ਬੁਰੀਆਂ ਗੱਲਾਂ ਅੰਦਰੋਂ ਨਿੱਕਲਦੀਆਂ ਅਤੇ ਮਨੁੱਖ ਨੂੰ ਅਸ਼ੁੱਧ ਕਰਦੀਆਂ ਹਨ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 24] ਫੇਰ ਪ੍ਰਭੂ ਯਿਸੂ ਉੱਥੋਂ ਉੱਠ ਕੇ ਸੂਰ ਅਤੇ ਸੈਦਾ ਦੇ ਇਲਾਕੇ ਵਿੱਚ ਆਏ ਅਤੇ ਇੱਕ ਘਰ ਵਿੱਚ ਗਏ ਅਤੇ ਚਾਹੁੰਦੇ ਸਨ ਕਿ ਕਿਸੇ ਨੂੰ ਖ਼ਬਰ ਨਾ ਹੋਵੇ, ਪਰ ਉਹ ਲੁਕੇ ਨਾ ਰਹਿ ਸਕੇ।
[IRV | PA | NT | Mark | Chapter 7 | Verse 25] ਕਿਉਂ ਜੋ ਉਸੇ ਵੇਲੇ ਇੱਕ ਔਰਤ ਜਿਹ ਦੀ ਛੋਟੀ ਬੇਟੀ ਨੂੰ ਅਸ਼ੁੱਧ ਆਤਮਾ ਚਿੰਬੜਿਆ ਹੋਇਆ ਸੀ ਉਹ ਦੀ ਖ਼ਬਰ ਸੁਣ ਕੇ ਆਈ ਅਤੇ ਉਸ ਦੇ ਪੈਰੀਂ ਪਈ।
