[IRV | PA | NT | Mark | Chapter 4 | Verse 1] ਉਹ ਫੇਰ ਝੀਲ ਦੇ ਕਿਨਾਰੇ ਉੱਤੇ ਲੋਕਾਂ ਨੂੰ ਉਪਦੇਸ਼ ਦੇਣ ਲੱਗਾ ਅਤੇ ਐਨੀ ਵੱਡੀ ਭੀੜ ਉਹ ਦੇ ਕੋਲ ਇਕੱਠੀ ਹੋਈ ਜੋ ਉਹ ਝੀਲ ਵਿੱਚ ਇੱਕ ਬੇੜੀ ਉੱਤੇ ਚੜ੍ਹ ਬੈਠਾ ਅਤੇ ਸਾਰੀ ਭੀੜ ਝੀਲ ਦੇ ਕਿਨਾਰੇ ਧਰਤੀ ਉੱਤੇ ਰਹੀ।
[IRV | PA | NT | Mark | Chapter 4 | Verse 2] ਤੇ ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਦ੍ਰਿਸ਼ਟਾਂਤਾਂ ਵਿੱਚ ਬਹੁਤ ਸਾਰੀਆਂ ਗੱਲਾਂ ਦਾ ਉਪਦੇਸ਼ ਦਿੱਤਾ ਅਤੇ ਆਪਣੇ ਉਪਦੇਸ਼ ਵਿੱਚ ਉਨ੍ਹਾਂ ਨੂੰ ਕਿਹਾ,
[IRV | PA | NT | Mark | Chapter 4 | Verse 3] ਸੁਣੋ! ਵੇਖੋ, ਇੱਕ ਬੀਜਣ ਵਾਲਾ ਬੀਜ ਬੀਜਣ ਨੂੰ ਨਿੱਕਲਿਆ।
[IRV | PA | NT | Mark | Chapter 4 | Verse 4] ਅਤੇ ਇਸ ਤਰ੍ਹਾਂ ਹੋਇਆ ਕਿ ਉਹ ਦੇ ਬੀਜਦਿਆਂ ਕੁਝ ਰਾਹ ਦੇ ਕੰਢੇ ਡਿੱਗ ਪਏ ਅਤੇ ਪੰਛੀ ਆਣ ਕੇ ਉਹ ਨੂੰ ਚੁਗ ਗਏ।
[IRV | PA | NT | Mark | Chapter 4 | Verse 5] ਅਤੇ ਕੁਝ ਪਥਰੀਲੀ ਜ਼ਮੀਨ ਵਿੱਚ ਡਿੱਗਿਆ ਜਿੱਥੇ ਉਹ ਨੂੰ ਬਹੁਤੀ ਮਿੱਟੀ ਨਾ ਮਿਲੀ ਅਤੇ ਡੂੰਘੀ ਮਿੱਟੀ ਨਾ ਮਿਲਣ ਦੇ ਕਰਕੇ ਉਹ ਛੇਤੀ ਉੱਗ ਪਿਆ।
[IRV | PA | NT | Mark | Chapter 4 | Verse 6] ਅਤੇ ਜਦੋਂ ਸੂਰਜ ਚੜ੍ਹਿਆ ਤਾਂ ਕੁਮਲਾ ਗਿਆ ਅਤੇ ਜੜ੍ਹ ਨਾ ਫੜਨ ਦੇ ਕਾਰਨ ਸੁੱਕ ਗਿਆ।
[IRV | PA | NT | Mark | Chapter 4 | Verse 7] ਅਤੇ ਕੁਝ ਕੰਡਿਆਲੀਆਂ ਝਾੜੀਆਂ ਵਿੱਚ ਡਿੱਗਿਆ ਅਤੇ ਝਾੜੀਆਂ ਨੇ ਵਧ ਕੇ ਉਹ ਨੂੰ ਦਬਾ ਲਿਆ ਅਤੇ ਉਹ ਨਾ ਫਲਿਆ।
[IRV | PA | NT | Mark | Chapter 4 | Verse 8] ਪਰ ਜਿਹੜਾ ਚੰਗੀ ਜ਼ਮੀਨ ਵਿੱਚ ਡਿੱਗਿਆ ਉਹ ਉੱਗਦਿਆਂ ਸਾਰ ਵਧਿਆ ਅਤੇ ਫਲਿਆ, ਕੁਝ ਤੀਹ ਗੁਣਾ, ਕੁਝ ਸੱਠ ਗੁਣਾ, ਕੁਝ ਸੌ ਗੁਣਾ ਫਲ ਦਿੱਤਾ।
[IRV | PA | NT | Mark | Chapter 4 | Verse 9] ਫੇਰ ਉਹ ਨੇ ਕਿਹਾ, ਜਿਹ ਦੇ ਸੁਣਨ ਦੇ ਕੰਨ ਹੋਣ ਉਹ ਸੁਣੇ।
[IRV | PA | NT | Mark | Chapter 4 | Verse 10] ਜਦੋਂ ਉਹ ਇਕਾਂਤ ਵਿੱਚ ਸੀ ਜਿਹੜੇ ਉਹ ਦੇ ਕੋਲ ਸਨ ਉਨ੍ਹਾਂ ਨੇ ਬਾਰਾਂ ਚੇਲਿਆਂ ਨਾਲ ਮਿਲ ਕੇ ਦ੍ਰਿਸ਼ਟਾਂਤਾਂ ਦਾ ਅਰਥ ਉਹ ਨੂੰ ਪੁੱਛਿਆ।
[IRV | PA | NT | Mark | Chapter 4 | Verse 11] ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਕਿਹਾ, ਪਰਮੇਸ਼ੁਰ ਦੇ ਰਾਜ ਦਾ ਭੇਤ ਤੁਹਾਨੂੰ ਦਿੱਤਾ ਗਿਆ ਹੈ ਪਰ ਜਿਹੜੇ ਬਾਹਰਲੇ ਹਨ ਉਨ੍ਹਾਂ ਲਈ ਸਾਰੀਆਂ ਗੱਲਾਂ ਦ੍ਰਿਸ਼ਟਾਂਤਾਂ ਵਿੱਚ ਹੁੰਦੀਆਂ ਹਨ ਕਿ,
[IRV | PA | NT | Mark | Chapter 4 | Verse 12] ਉਹ ਵੇਖਦੇ ਹੋਏ ਵੇਖਣ ਤਾਂ ਸਹੀ ਪਰ ਬੁੱਝਣ ਨਾ, ਅਤੇ ਸੁਣਦੇ ਹੋਏ ਸੁਣਨ ਪਰ ਸਮਝਣ ਨਾ, ਕਿਤੇ ਇੰਝ ਨਾ ਹੋਵੇ ਜੋ ਉਹ ਮੁੜ ਆਉਣ, ਅਤੇ ਉਨ੍ਹਾ ਨੂੰ ਮਾਫ਼ੀ ਮਿਲੇ।
[IRV | PA | NT | Mark | Chapter 4 | Verse 13] ਫੇਰ ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਕਿਹਾ, ਕੀ ਤੁਸੀਂ ਇਸ ਦ੍ਰਿਸ਼ਟਾਂਤ ਦੀ ਉਦਾਹਰਣ ਨੂੰ ਨਹੀਂ ਸਮਝਦੇ? ਤਾਂ ਸਾਰਿਆਂ ਦ੍ਰਿਸ਼ਟਾਂਤਾਂ ਨੂੰ ਕਿਵੇਂ ਸਮਝੋਗੇ?
[IRV | PA | NT | Mark | Chapter 4 | Verse 14] ਬੀਜਣ ਵਾਲਾ ਪਰਮੇਸ਼ੁਰ ਦਾ ਬਚਨ ਬੀਜਦਾ ਹੈ।
[IRV | PA | NT | Mark | Chapter 4 | Verse 15] ਅਤੇ ਰਾਹ ਦੇ ਕਿਨਾਰੇ ਵਾਲੇ ਉਹ ਹਨ ਜਿਹਨਾਂ ਨੇ ਸੁਣਿਆ, ਤਾਂ ਸ਼ੈਤਾਨ ਆਣ ਕੇ ਉਸ ਬਚਨ ਨੂੰ ਉਨ੍ਹਾ ਦੇ ਹਿਰਦਿਆਂ ਵਿੱਚੋਂ ਕੱਢ ਲੈ ਜਾਂਦਾ ਹੈ।
[IRV | PA | NT | Mark | Chapter 4 | Verse 16] ਅਤੇ ਇਸੇ ਤਰ੍ਹਾਂ ਜਿਹੜੇ ਪਥਰੀਲੀ ਜ਼ਮੀਨ ਵਿੱਚ ਬੀਜੇ ਜਾਂਦੇ ਹਨ ਸੋ ਉਹ ਹਨ ਜਿਹੜੇ ਬਚਨ ਨੂੰ ਸੁਣਦਿਆਂ ਸਾਰ ਖੁਸ਼ੀ ਨਾਲ ਉਹ ਨੂੰ ਮੰਨ ਲੈਂਦੇ ਹਨ।
