[KJV | EN | NT | Colossians | Chapter 3 | Verse 1] If ye then be risen with Christ, seek those things which are above, where Christ sitteth on the right hand of God.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 2] Set your affection on things above, not on things on the earth.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 3] For ye are dead, and your life is hid with Christ in God.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 4] When Christ, who is our life, shall appear, then shall ye also appear with him in glory.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 5] Mortify therefore your members which are upon the earth; fornication, uncleanness, inordinate affection, evil concupiscence, and covetousness, which is idolatry:
[KJV | EN | NT | Colossians | Chapter 3 | Verse 6] for which things’ sake the wrath of God cometh on the children of disobedience:
[KJV | EN | NT | Colossians | Chapter 3 | Verse 7] in the which ye also walked sometime, when ye lived in them.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 8] But now you also put off all these; anger, wrath, malice, blasphemy, filthy communication out of your mouth.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 9] Lie not one to another, seeing that ye have put off the old man with his deeds;
[KJV | EN | NT | Colossians | Chapter 3 | Verse 10] and have put on the new man, which is renewed in knowledge after the image of him that created him:
[KJV | EN | NT | Colossians | Chapter 3 | Verse 11] where there is neither Greek nor Jew, circumcision nor uncircumcision, barbarian, Scythian, bond nor free: but Christ is all, and in all.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 12] Put on therefore, as the elect of God, holy and beloved, bowels of mercies, kindness, humbleness of mind, meekness, longsuffering;
[KJV | EN | NT | Colossians | Chapter 3 | Verse 13] forbearing one another, and forgiving one another, if any man have a quarrel against any: even as Christ forgave you, so also do ye.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 14] And above all these things put on charity, which is the bond of perfectness.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 15] And let the peace of God rule in your hearts, to the which also ye are called in one body; and be ye thankful.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 16] Let the word of Christ dwell in you richly in all wisdom; teaching and admonishing one another in psalms and hymns and spiritual songs, singing with grace in your hearts to the Lord.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 17] And whatsoever ye do in word or deed, do all in the name of the Lord Jesus, giving thanks to God and the Father by him.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 18] Wives, submit yourselves unto your own husbands, as it is fit in the Lord.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 19] Husbands, love your wives, and be not bitter against them.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 20] Children, obey your parents in all things: for this is well pleasing unto the Lord.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 21] Fathers, provoke not your children to anger, lest they be discouraged.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 22] Servants, obey in all things your masters according to the flesh; not with eyeservice, as menpleasers; but in singleness of heart, fearing God:
[KJV | EN | NT | Colossians | Chapter 3 | Verse 23] and whatsoever ye do, do it heartily, as to the Lord, and not unto men;
[KJV | EN | NT | Colossians | Chapter 3 | Verse 24] knowing that of the Lord ye shall receive the reward of the inheritance: for ye serve the Lord Christ.
[KJV | EN | NT | Colossians | Chapter 3 | Verse 25] But he that doeth wrong shall receive for the wrong which he hath done: and there is no respect of persons.
