[KJV | EN | NT | Colossians | Chapter 2 | Verse 1] For I would that ye knew what great conflict I have for you, and for them at Laodicea, and for as many as have not seen my face in the flesh;
[KJV | EN | NT | Colossians | Chapter 2 | Verse 2] that their hearts might be comforted, being knit together in love, and unto all riches of the full assurance of understanding, to the acknowledgement of the mystery of God and of the Father, and of Christ;
[KJV | EN | NT | Colossians | Chapter 2 | Verse 3] in whom are hid all the treasures of wisdom and knowledge.
[KJV | EN | NT | Colossians | Chapter 2 | Verse 4] And this I say, lest any man should beguile you with enticing words.
[KJV | EN | NT | Colossians | Chapter 2 | Verse 5] For though I be absent in the flesh, yet am I with you in the spirit, joying and beholding your order, and the stedfastness of your faith in Christ.
[KJV | EN | NT | Colossians | Chapter 2 | Verse 6] As ye have therefore received Christ Jesus the Lord, so walk ye in him:
[KJV | EN | NT | Colossians | Chapter 2 | Verse 7] rooted and built up in him, and stablished in the faith, as ye have been taught, abounding therein with thanksgiving.
[KJV | EN | NT | Colossians | Chapter 2 | Verse 8] Beware lest any man spoil you through philosophy and vain deceit, after the tradition of men, after the rudiments of the world, and not after Christ.
[KJV | EN | NT | Colossians | Chapter 2 | Verse 9] For in him dwelleth all the fulness of the Godhead bodily.
[KJV | EN | NT | Colossians | Chapter 2 | Verse 10] And ye are complete in him, which is the head of all principality and power:
[KJV | EN | NT | Colossians | Chapter 2 | Verse 11] in whom also ye are circumcised with the circumcision made without hands, in putting off the body of the sins of the flesh, by the circumcision of Christ:
[KJV | EN | NT | Colossians | Chapter 2 | Verse 12] buried with him in baptism, wherein also you are risen with him through the faith of the operation of God, who hath raised him from the dead.
[KJV | EN | NT | Colossians | Chapter 2 | Verse 13] And you, being dead in your sins and the uncircumcision of your flesh, hath he quickened together with him, having forgiven you all trespasses;
[KJV | EN | NT | Colossians | Chapter 2 | Verse 14] blotting out the handwriting of ordinances that was against us, which was contrary to us, and took it out of the way, nailing it to his cross;
[KJV | EN | NT | Colossians | Chapter 2 | Verse 15] and having spoiled principalities and powers, he made a shew of them openly, triumphing over them in it.
[KJV | EN | NT | Colossians | Chapter 2 | Verse 16] Let no man therefore judge you in meat, or in drink, or in respect of a holyday, or of the new moon, or of the sabbath days:
[KJV | EN | NT | Colossians | Chapter 2 | Verse 17] which are a shadow of things to come; but the body is of Christ.
[KJV | EN | NT | Colossians | Chapter 2 | Verse 18] Let no man beguile you of your reward in a voluntary humility and worshipping of angels, intruding into those things which he hath not seen, vainly puft up by his fleshly mind,
[KJV | EN | NT | Colossians | Chapter 2 | Verse 19] and not holding the head, from which all the body by joints and bands having nourishment ministered, and knit together, increaseth with the increase of God.
[KJV | EN | NT | Colossians | Chapter 2 | Verse 20] Wherefore if ye be dead with Christ from the rudiments of the world, why, as though living in the world, are ye subject to ordinances,
[KJV | EN | NT | Colossians | Chapter 2 | Verse 21] (touch not; taste not; handle not;
[KJV | EN | NT | Colossians | Chapter 2 | Verse 22] which all are to perish with the using;) after the commandments and doctrines of men?
[KJV | EN | NT | Colossians | Chapter 2 | Verse 23] which things have indeed a shew of wisdom in will worship, and humility, and neglecting of the body, not in any honour to the satisfying of the flesh.
