[IRV | TE | OT | Psalms | Chapter 102 | Verse 1] యెహోవా, నా ప్రార్థన విను, నా మొర నీకు చేరనివ్వు.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 2] నా కష్టసమయాన నీ ముఖం నాకు దాచవద్దు. నా మాట విను. నేను నిన్ను పిలిచినప్పుడు వెంటనే నాకు జవాబివ్వు.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 3] పొగ లాగా నా రోజులు గతించిపోతున్నాయి. నా ఎముకలు కాలిపోతున్నట్టు ఉన్నాయి.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 4] నా గుండె కుంగిపోయింది. నేను వాడిన గడ్డి పరకలాగా ఉన్నాను. నేనేమీ తినలేక పోతున్నాను.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 5] నేను ఆపకుండా మూలుగుతూ ఉండడం వలన చాలా చిక్కిపోయాను.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 6] నేను అడవి గూడబాతులాంటి వాణ్ణి. పాడుబడిపోయిన చోట్ల ఉండే గుడ్లగూబలాంటి వాణ్ణి.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 7] ఇంటిమీద ఏకాకిగా కూర్చున్న ఒంటరి పిట్టలాగా రాత్రంతా మెలకువగా ఉన్నాను.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 8] రోజంతా నా విరోధులు నా మీద వ్యంగ్యంగా మాట్లాడుతున్నారు. నన్ను నిందించేవాళ్ళు నా పేరు ఎత్తి శపిస్తారు.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 9] బూడిదను అన్నం లాగా తింటున్నాను. కన్నీళ్ళతో కలిపి నీళ్ళు తాగుతున్నాను.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 10] నీ కోపాగ్నిని బట్టి నువ్వు నన్ను పైకెత్తి అవతల పారేశావు.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 11] నా రోజులు అదృశ్యమయ్యే నీడలా ఉన్నాయి, గడ్డిలాగా నేను వాడిపోయాను.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 12] అయితే యెహోవా, నువ్వు శాశ్వతంగా ఉంటావు. నీ కీర్తి తరతరాలుంటుంది.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 13] నువ్వు లేచి సీయోనును కనికరిస్తావు. దానిమీద దయ చూపడానికి సరైన సమయం వచ్చింది.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 14] దాని రాళ్లంటే నీ సేవకులకు ఎంతో ఇష్టం. దాని శిథిలాల దుమ్ము అంటే వారికి వాత్సల్యం.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 15] యెహోవా, రాజ్యాలు నీ నామాన్ని గౌరవిస్తాయి, ప్రపంచ రాజులంతా నీ గొప్పదనాన్ని గౌరవిస్తారు.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 16] యెహోవా సీయోనును తిరిగి కట్టిస్తాడు. ఆయన తన మహిమతో ప్రత్యక్షమవుతాడు.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 17] అప్పుడు ఆయన దిక్కులేని వాళ్ళ ప్రార్థనకు స్పందిస్తాడు. వాళ్ళ ప్రార్థన ఆయన నిరాకరించడు.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 18] రాబోయే తరాలకు ఇది రాసి పెట్టి ఉంటుంది, ఇంకా పుట్టని ప్రజలు యెహోవాను స్తుతిస్తారు.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 19] బందీల మూలుగులు వినడానికీ చావు ఖరారైన వాళ్ళను విడిపించడానికీ,
[IRV | TE | OT | Psalms | Chapter 102 | Verse 20] యెహోవా ఉన్నతమైన పవిత్ర స్థలం నుంచి కిందికి చూశాడు, పరలోకం నుంచి భూమిని చూశాడు.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 21] యెహోవాను సేవించడానికి రాజ్యాలూ ప్రజలూ సమకూడినప్పుడు,
[IRV | TE | OT | Psalms | Chapter 102 | Verse 22] మనుషులు యెహోవా నామాన్ని సీయోనులో ప్రకటిస్తారు. యెరూషలేములో ఆయన కీర్తిని ప్రకటిస్తారు.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 23] ఆయన నా యవ్వనంలో నా బలం తీసేశాడు. నా రోజులు తగ్గించేసాడు.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 24] నేనిలా అన్నాను, నా దేవా, నడివయస్సులో నన్ను తీసి వేయవద్దు. నువ్వు తరతరాలూ ఇక్కడ ఉన్నావు.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 25] పురాతన కాలంలో నువ్వు భూమిని స్థాపించావు, ఆకాశాలు నీ చేతిపనులే.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 26] అవి అంతరించిపోతాయి. కానీ నువ్వు నిలిచి ఉంటావు. అవన్నీ బట్టల్లాగా పాతవై పోతాయి. నువ్వు వాటిని దుస్తుల్లాగా మార్చి వేస్తావు. అవి ఇక కనబడవు.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 27] అయితే నువ్వు అలానే ఉన్నావు, నీ సంవత్సరాలకు అంతం లేదు.
[IRV | TE | OT | Psalms | Chapter 102 | Verse 28] నీ సేవకుల పిల్లలు నిలిచి ఉంటారు. వారి వంశస్థులు నీ సన్నిధిలో జీవిస్తారు.
