[IRV | TE | OT | Psalms | Chapter 80 | Verse 1] ఇశ్రాయేలు కాపరీ! మందలాగా యోసేపును నడిపించేవాడా, విను. కెరూబులకు పైగా ఆసీనుడవైనవాడా, మా మీద ప్రకాశించు.
[IRV | TE | OT | Psalms | Chapter 80 | Verse 2] ఎఫ్రాయిము బెన్యామీను మనష్షే గోత్రాల ఎదుట నీ బల ప్రభావాలను చూపించు. వచ్చి మమ్మల్ని కాపాడు.
[IRV | TE | OT | Psalms | Chapter 80 | Verse 3] దేవా, చెరలోనుంచి మమ్మల్ని రప్పించు, మాకు విడుదల దొరికేలా నీ ముఖకాంతి మా మీద ప్రకాశించనివ్వు.
[IRV | TE | OT | Psalms | Chapter 80 | Verse 4] యెహోవా, సేనల ప్రభువైన దేవా, నీ ప్రజలు ప్రార్థన చేస్తూ ఉంటే నువ్వెంతకాలం కోపపడతావు?
[IRV | TE | OT | Psalms | Chapter 80 | Verse 5] కన్నీళ్లు వారికి ఆహారంగా ఇస్తున్నావు. తాగడానికి కడివెడు కన్నీళ్లు వాళ్లకిచ్చావు.
[IRV | TE | OT | Psalms | Chapter 80 | Verse 6] మా పొరుగువారు మా గురించి ఘర్షణ పడేలా చేస్తున్నావు, మా శత్రువులు తమలోతాము మమ్మల్ని చూసి నవ్వుతున్నారు.
[IRV | TE | OT | Psalms | Chapter 80 | Verse 7] సేనల ప్రభువైన దేవా, చెరలోనుంచి మమ్మల్ని రప్పించు, మాకు విడుదల దొరికేలా నీ ముఖకాంతి మా మీద ప్రకాశించనివ్వు.
[IRV | TE | OT | Psalms | Chapter 80 | Verse 8] నువ్వు ఈజిప్టులోనుంచి ఒక ద్రాక్షాతీగె తెచ్చావు, ఇతర రాజ్యాలను వెళ్లగొట్టి దాన్ని నాటావు.
[IRV | TE | OT | Psalms | Chapter 80 | Verse 9] దాని కోసం నేల సిద్ధం చేశావు. అది లోతుగా వేరు పారి దేశమంతా వ్యాపించింది.
[IRV | TE | OT | Psalms | Chapter 80 | Verse 10] దాని నీడ కొండలను కప్పింది. దాని తీగెలు దేవుని దేవదారు చెట్లను కమ్మేశాయి,
[IRV | TE | OT | Psalms | Chapter 80 | Verse 11] దాని తీగెలు సముద్రం వరకూ దాని రెమ్మలు యూఫ్రటీసు నది వరకూ వ్యాపించాయి.
[IRV | TE | OT | Psalms | Chapter 80 | Verse 12] దారిన పోయేవాళ్ళంతా దాని పళ్ళు కోసేలా దాని కంచెలను నువ్వెందుకు పడగొట్టావు?
[IRV | TE | OT | Psalms | Chapter 80 | Verse 13] అడవిపందులు దాన్ని పాడు చేస్తున్నాయి, పొలంలోని పశువులు దాన్ని మేస్తున్నాయి.
[IRV | TE | OT | Psalms | Chapter 80 | Verse 14] సేనల ప్రభువైన దేవా, వెనక్కి చూడు. ఆకాశం నుంచి చూచి ఈ ద్రాక్షావల్లిని గమనించు.
[IRV | TE | OT | Psalms | Chapter 80 | Verse 15] నీ కుడిచెయ్యి నాటింది ఈ వేరునే. ఈ కొమ్మనే నువ్వు పెంచావు.
[IRV | TE | OT | Psalms | Chapter 80 | Verse 16] దాన్ని నరికి కాల్చివేశారు, నీ గద్దింపుతో నీ శత్రువులు నశించుదురు గాక.
[IRV | TE | OT | Psalms | Chapter 80 | Verse 17] నీ కుడిచెయ్యి మనిషి మీద ఉంచు. నువ్వు బలపరచిన మానవ పుత్రుని మీద నీ చెయ్యి ఉంచు.
[IRV | TE | OT | Psalms | Chapter 80 | Verse 18] అప్పుడు మేము నీ దగ్గరనుంచి వెనక్కి వెళ్ళం, మమ్మల్ని బతికించు. అప్పుడు నీ పేరునే ప్రార్థన చేస్తాం.
[IRV | TE | OT | Psalms | Chapter 80 | Verse 19] యెహోవా, సేనల ప్రభువైన దేవా, చెరలో నుంచి మమ్మల్ని రప్పించు, మాకు విడుదల దొరికేలా, నీ ముఖకాంతి మా మీద ప్రకాశించ నివ్వు.
