[IRV | TE | OT | Psalms | Chapter 33 | Verse 1] నీతిపరులారా, యెహోవాలో ఆనందించండి. న్యాయబద్ధంగా ఉండేవాళ్ళు స్తుతించడం యుక్తమైనది.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 2] వీణలు మోగించి యెహోవాకు కృతజ్ఞతలు చెల్లించండి. పది తీగెలున్న వాయిద్యంతో ఆయనకు స్తుతులు పాడండి.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 3] ఆయనను గూర్చి ఒక కొత్త పాట పాడండి. నైపుణ్యంతో కమ్మగా వాయిస్తూ సంతోషాతిరేకంతో పాడండి.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 4] ఎందుకంటే యెహోవా వాక్కు న్యాయబద్ధమైనది. ఆయన చేసే ప్రతిదీ న్యాయమే.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 5] ఆయన నీతినీ న్యాయాన్నీ ప్రేమిస్తాడు. నిబంధన పట్ల యెహోవాకు ఉన్న విశ్వసనీయతతో లోకం నిండి ఉంది.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 6] యెహోవా తన నోటి మాట వల్ల ఆకాశాలను చేశాడు. తన నోటి శ్వాస చేత నక్షత్రాలను చేశాడు.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 7] ఆయన సముద్ర జలాలను రాశిగా సమకూరుస్తాడు. మహా సముద్ర జలాలను గిడ్డంగిలో నిలవ చేస్తాడు.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 8] భూలోకం అంతా యెహోవాకు భయపడాలి. లోకంలో నివసించే వాళ్ళంతా యెహోవా పట్ల భయభీతులు కలిగి విస్మయం చెందాలి.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 9] ఆయన మాట పలికాడు. ఆ మాట ప్రకారమే జరిగింది. ఆయన ఆజ్ఞాపించాడు. అది స్థిరంగా నిలిచింది.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 10] దేశాల మధ్య మైత్రిని యెహోవా నిష్ఫలం చేస్తాడు. జనాల ప్రణాళికలను ఆయన రద్దు చేస్తాడు.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 11] యెహోవా ప్రణాళికలు నిత్యమూ అమలవుతాయి. ఆయన తన హృదయంలో అన్ని తరాల కోసం ఆలోచనలు చేస్తాడు.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 12] యెహోవా ఏ ప్రజలకు దేవుడుగా ఉన్నాడో ఆ ప్రజలు ధన్యజీవులు. తనకు సొత్తుగా ఆయన ఎంచుకున్న జనం ధన్యజీవులు.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 13] ఆకాశం నుండి యెహోవా చూస్తున్నాడు. ఆయన మనుషులందర్నీ పరికించి చూస్తున్నాడు.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 14] తాను నివాసమున్న చోటు నుండి ఆయన భూమిపై నివసిస్తున్న వాళ్ళందర్నీ చూస్తున్నాడు.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 15] అందరి హృదయాలనూ మలచిన వాడు వాళ్ళు చేసే పనులన్నిటినీ గమనిస్తున్నాడు.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 16] ఏ రాజూ తనకున్న అపారమైన సైన్యం వల్ల రక్షణ పొందలేడు. యోధుడు తనకున్న గొప్ప శక్తి వల్ల తనను తాను రక్షించుకోలేడు.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 17] గుర్రం విజయానికి పూచీ కాదు. దానికి గొప్ప శక్తి ఉన్నప్పటికీ అది ఎవర్నీ రక్షించలేదు.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 18] చూడండి, వాళ్ళ ప్రాణాలను మరణం నుండి తప్పించడానికీ, కరువులో వాళ్ళను సజీవులుగా నిలబెట్టడానికీ,
[IRV | TE | OT | Psalms | Chapter 33 | Verse 19] యెహోవా పట్ల భయభక్తులుగల వాళ్ళ పైనా నిబంధన పట్ల ఆయనకున్న నిబద్ధతపై ఆధారపడే వాళ్ల పైనా ఆయన కనుచూపు నిలిచి ఉంది.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 20] మనం యెహోవా కోసం వేచి చూస్తున్నాం. మన సహాయమూ భద్రతా ఆయనే.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 21] మన హృదయాలు ఆయనలో ఆనందిస్తున్నాయి. ఆయన పవిత్ర నామంపై మన నమ్మకం ఉంది.
[IRV | TE | OT | Psalms | Chapter 33 | Verse 22] యెహోవా, ఆశగా నీవైపు చూస్తున్నాం. నీ నిబంధన నిబద్ధత మాపై ఉండనియ్యి.
