[IRV | TE | OT | Psalms | Chapter 139 | Verse 1] యెహోవా, నన్ను పరీక్షించి నా గురించి పూర్తిగా తెలుసుకున్నావు.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 2] నేను కూర్చోవడం, నా నడక అంతా నీకు తెలుసు. నా మనసులో ఆలోచన పుట్టక ముందే అది నీకు తెలుసు.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 3] నేను వెళ్ళే స్థలాలు, నేను నిద్రించే నా పడక నువ్వు పరిశీలనగా చూస్తావు. నేను చేసే పనులన్నీ నీకు క్షుణ్ణంగా తెలుసు.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 4] యెహోవా, నా నోట మాట రాకముందే అది నీకు పూర్తిగా తెలుసు.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 5] నా వెనకా, ముందూ, అంతటా నువ్వు ఉన్నావు. నీ సంరక్షణలో నన్ను ఉంచుకున్నావు.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 6] ఇలాంటి తెలివి నాకు అందనిది. అది ఆశ్చర్యకరం. అది నాకు అందదు.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 7] నీ ఆత్మ నుండి నేనెక్కడికి వెళ్ళగలను? నీ సమక్షంలో నుండి నేనెక్కడికి పారిపోగలను?
[IRV | TE | OT | Psalms | Chapter 139 | Verse 8] ఆకాశానికి ఎక్కి వెళ్దామంటే నువ్వు అక్కడ ఉన్నావు. మృత్యులోకంలో దాక్కుందామనుకుంటే అక్కడ కూడా నువ్వు ఉన్నావు.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 9] నేను ఉదయకాలం రెక్కలు కట్టుకుని ఎగిరివెళ్ళి సముద్రపు లోతుల్లో దాక్కుంటాను.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 10] అక్కడ కూడా నీ చెయ్యి నన్ను నడిపిస్తుంది. నీ కుడిచెయ్యి నన్ను పట్టుకుంటుంది.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 11] నేనిలా అనుకుంటాను, చీకటి నన్ను దాచిపెడుతుంది. నా చుట్టూ ఉన్న వెలుగు రాత్రిలాగా అవుతుంది.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 12] అప్పుడు చీకటి కూడా నీకు చీకటి కాదు. రాత్రి నీకు పగటి వెలుగుగా ఉంటుంది. చీకటీ, వెలుగూ ఈ రెండూ నీకు ఒకే విధంగా ఉన్నాయి.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 13] దేవా, నా లోపలి భాగాలను నువ్వే నిర్మించావు. నా తల్లి గర్భంలో నన్ను రూపొందించావు.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 14] నీకు కృతజ్ఞతాస్తుతులు చెల్లిస్తున్నాను. ఎందుకంటే నీవు నన్ను తయారు చేసిన విధానం దిగ్భ్రమ కలిగించేది, అద్భుతమైనది. నా జీవితం నీకు బాగా తెలుసు.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 15] నేను రహస్యంగా తయారౌతున్నప్పుడు, నా స్వరూపం భూమి అగాధస్థలాల్లో విచిత్రంగా నిర్మితమౌతున్నప్పుడు నా శరీరమంతా నీకు తేట తెల్లమే.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 16] నేను పిండంగా ఉన్నప్పుడే నీ కళ్ళు నన్ను చూశాయి. నాకు నియమితమైన రోజుల్లో ఒకటైనా గడవక ముందే నా రోజులన్నీ నీ గ్రంథంలో రాసి ఉన్నాయి.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 17] దేవా, నీ ఆలోచనలు నాకెంతో ప్రశస్తమైనవి. వాటి మొత్తం ఎంతో గొప్పది.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 18] వాటిని లెక్కపెడదామనుకుంటే అవి ఇసక రేణువుల కంటే ఎక్కువగా ఉన్నాయి. నిద్ర మేల్కొన్నప్పుడు నేనింకా నీ దగ్గరే ఉన్నాను.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 19] దేవా, దుష్టులను నువ్వు కచ్చితంగా హతమారుస్తావు. హింసించే వాళ్ళంతా నా దగ్గర నుండి వెళ్ళిపొండి.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 20] వాళ్ళు దుష్ట తలంపులు మనసులో ఉంచుకుని నీపై తిరగబడతారు. నీ శత్రువులు అబద్ధాలాడతారు.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 21] యెహోవా, నిన్ను ద్వేషించే వాళ్ళను నేను ద్వేషిస్తున్నాను గదా. నీ మీద తిరుగుబాటు చేసేవాళ్ళను నేను అసహ్యించుకుంటున్నాను గదా.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 22] వాళ్ళ మీద నాకు తీవ్రమైన ద్వేషం ఉంది. వాళ్ళు నాకు శత్రువులు.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 23] దేవా, నన్ను పరిశోధించు. నా హృదయంలో ఏమున్నదో పరిశీలించి చూడు. నన్ను పరీక్షించి నా ఆలోచనలు ఎలాంటివో తెలుసుకో.
[IRV | TE | OT | Psalms | Chapter 139 | Verse 24] నీకు బాధ కలిగించే విధానాలు నేను అనుసరిస్తున్నానేమో నన్ను పరిశీలించు. శాశ్వత మార్గంలో నన్ను నడిపించు.
