[IRV | TE | OT | Psalms | Chapter 107 | Verse 1] యెహోవా దయాళుడు. ఆయనకు కృతజ్ఞతా స్తుతులు చెల్లించండి. ఆయన కృప నిత్యం ఉంటుంది.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 2] యెహోవా విమోచించినవారు ఆ మాట పలుకుతారు గాక. విరోధుల చేతిలోనుండి ఆయన విమోచించిన వారూ,
[IRV | TE | OT | Psalms | Chapter 107 | Verse 3] తూర్పు నుండి, పడమర నుండి, ఉత్తరం నుండి, దక్షిణం నుండి నానాదేశాల నుండి ఆయన పోగు చేసినవారూ ఆ మాట పలుకుతారు గాక.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 4] వారు అరణ్యమార్గాల్లో ఎడారి త్రోవల్లో తిరుగులాడుతూ ఉండే వారు. నివాస పురమేదీ వారికి దొరకలేదు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 5] ఆకలి దప్పుల వల్ల వారి ప్రాణం వారిలో సొమ్మసిల్లిపోయింది.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 6] వారు కష్టకాలంలో యెహోవాకు మొర్రపెట్టారు. ఆయన వారి ఆపదల్లో నుండి వారిని విడిపించాడు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 7] వారొక నివాస పురం చేరేలా చక్కని దారిలో ఆయన వారిని నడిపించాడు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 8] ఆయన నిబంధన విశ్వసనీయతను బట్టి, మనుషులకు ఆయన చేసే ఆశ్చర్య కార్యాలనుబట్టి, వారు యెహోవాకు కృతజ్ఞతాస్తుతులు చెల్లించుదురు గాక.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 9] ఎందుకంటే దాహం గొన్న వారిని ఆయన తృప్తిపరచాడు. ఆకలి గొన్నవారిని మేలుతో నింపాడు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 10] చీకటిలో మసక చీకటిలో కొందరు బాధతో, ఇనప గొలుసులతో బంధితులై కూర్చున్నారు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 11] దేవుని మాటపై తిరుగుబాటు చేసినందువల్ల, మహోన్నతుని సూచనలను త్రోసిపుచ్చినందువల్ల ఇది జరిగింది.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 12] కడగండ్ల మూలంగా ఆయన వారి హృదయాలను లొంగదీశాడు. వారు తొట్రుపడినప్పుడు ఆదుకునేవాడు లేకపోయాడు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 13] కష్టకాలంలో వారు యెహోవాకు మొర్రపెట్టారు. ఆయన వారి దురవస్థలోనుండి వారిని విడిపించాడు
[IRV | TE | OT | Psalms | Chapter 107 | Verse 14] వారి కట్లను తెంపివేసి చీకటిలోనుండి, మరణాంధకారంలో నుండి వారిని బయటికి రప్పించాడు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 15] ఆయన కృపను బట్టి, మనుషులకు ఆయన చేసే ఆశ్చర్యకార్యాలను బట్టి, వారు యెహోవాకు కృతజ్ఞతాస్తుతులు చెల్లించుదురు గాక.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 16] ఎందుకంటే ఆయన ఇత్తడి తలుపులను పగలగొట్టాడు, ఇనపగడియలను విరగగొట్టాడు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 17] బుద్ధిహీనులు తమ దుష్టప్రవర్తన చేత, తమ దోషం చేత, బాధ కొనితెచ్చుకుంటారు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 18] భోజనపదార్థాలన్నీ వారి ప్రాణానికి అసహ్యమై పోతాయి. వారు మరణద్వారాలను సమీపిస్తారు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 19] కష్టకాలంలో వారు యెహోవాకు మొర్రపెట్టారు. ఆయన వారి ఆపదలలో నుండి వారిని విడిపించాడు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 20] ఆయన తన వాక్కును పంపి వారిని బాగు చేశాడు. ఆయన వారు పడిన గుంటల్లో నుండి వారిని విడిపించాడు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 21] ఆయన కృపను బట్టి, మనుషులకు ఆయన చేసే ఆశ్చర్య కార్యాలనుబట్టి, వారు యెహోవాకు కృతజ్ఞతాస్తుతులు చెల్లించుదురు గాక.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 22] వారు కృతజ్ఞతార్పణలు చెల్లించుదురు గాక. ఉత్సాహధ్వనితో ఆయన కార్యాలను ప్రకటించుదురు గాక.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 23] ఓడలెక్కి సముద్ర ప్రయాణం చేసేవారు మహాజలాల మీద తిరుగుతూ వ్యాపారం చేసేవారు
[IRV | TE | OT | Psalms | Chapter 107 | Verse 24] యెహోవా కార్యాలను, సముద్రంలో ఆయన చేసే అద్భుతాలను చూశారు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 25] ఆయన సెలవియ్యగా తుఫాను పుట్టింది. అది దాని తరంగాలను పైకెత్తింది.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 26] వారు ఆకాశందాకా ఎక్కుతూ అగాధానికి దిగుతూ ఉన్నారు. బాధతో వారి ప్రాణం కరిగిపోయింది.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 27] మత్తెక్కిన వారివలె వారు ముందుకి, వెనక్కి దొర్లుతూ ఇటు అటు తూలుతూ ఉన్నారు. వారు ఏమీ తోచక ఉన్నారు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 28] బాధకు తాళలేక వారు యెహోవాకు మొర్రపెట్టారు. ఆయన వారి ఆపదల్లో నుండి వారిని విడిపించాడు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 29] ఆయన తుఫానును ఆపివేయగా దాని తరంగాలు అణిగిపోయాయి.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 30] అవి నిమ్మళమైపోయాయని వారు సంతోషించారు. వారు కోరిన రేవుకు ఆయన వారిని నడిపించాడు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 31] ఆయన కృపను బట్టి, మనుషులకు ఆయన చేసే ఆశ్చర్య కార్యాలను బట్టి, వారు యెహోవాకు కృతజ్ఞతాస్తుతులు చెల్లించుదురు గాక.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 32] జనసమాజంలో వారాయనను ఘనపరచుదురు గాక. పెద్దల సభలో ఆయనను కీర్తించుదురు గాక.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 33] ఆయన నదులను అడవిగాను నీటి బుగ్గలను ఎండిన నేలగాను,
[IRV | TE | OT | Psalms | Chapter 107 | Verse 34] దేశనివాసుల చెడుతనాన్ని బట్టి సారవంతమైన భూమిని చవిటిపర్రగాను మార్చాడు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 35] అడివిని నీటిమడుగుగాను, ఎండిన నేలను నీటి ఊటల తావుగాను ఆయన మార్చాడు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 36] వారు అక్కడ నివాసస్థలం ఏర్పరచుకునేలా పొలంలో విత్తనాలు చల్లి, ద్రాక్షతోటలు నాటి,
[IRV | TE | OT | Psalms | Chapter 107 | Verse 37] వాటివలన మంచి పంటలు పండిస్తూ ఉండేలా ఆయన ఆకలిగొన్న వారిని అక్కడ కాపురముంచాడు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 38] ఆయన వారిని ఆశీర్వదించగా వారికి సంతానాభివృద్ధి కలిగింది. ఆయన వారి పశువులను తగ్గిపోనియ్యలేదు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 39] వారు బాధ వలనా ఇబ్బంది వలనా దుఃఖం వలనా తగ్గిపోయినప్పుడు,
[IRV | TE | OT | Psalms | Chapter 107 | Verse 40] శత్రువులు రాజులను తృణీకరిస్తూ దారిలేని ఎడారిలో వారిని తిరుగులాడజేశాడు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 41] అలాటి దరిద్రుల బాధను పొగొట్టి వారిని లేవనెత్తాడు. వారి వంశాన్ని మందవలె వృద్ధి చేశాడు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 42] యథార్థవంతులు దాన్ని చూసి సంతోషిస్తారు. మోసగాళ్ళు మౌనంగా ఉంటారు.
[IRV | TE | OT | Psalms | Chapter 107 | Verse 43] బుద్ధిమంతుడు ఈ విషయాలను ఆలోచిస్తాడు. యెహోవా కృపాతిశయాలను ప్రజలు తలపోస్తారు గాక.
