[IRV | TE | OT | Psalms | Chapter 16 | Verse 1] దేవా, నీ ఆశ్రయం కోరాను, నన్ను కాపాడు.
[IRV | TE | OT | Psalms | Chapter 16 | Verse 2] నేను యెహోవాతో అంటాను. నువ్వు నా ప్రభువు. నీకు వేరుగా నాకు ఏ మంచీ లేదు.
[IRV | TE | OT | Psalms | Chapter 16 | Verse 3] భూమి మీద ఉన్న భక్తుల విషయానికి వస్తే, వాళ్ళు శ్రేష్టులు. నా ఆనందం అంతా వాళ్ళే.
[IRV | TE | OT | Psalms | Chapter 16 | Verse 4] యెహోవాను విడిచి ఇతర దేవుళ్ళను ఆశించే వాళ్లకు సమస్యలు ఎక్కువౌతాయి. వాళ్ళు అర్పించే రక్తపానీయ అర్పణలు నేను అర్పించను. నా పెదాలతో వాళ్ళ పేర్లు ఎత్తను.
[IRV | TE | OT | Psalms | Chapter 16 | Verse 5] యెహోవా, నాకు వారసత్వంగా వచ్చిన వాటా నువ్వే. నువ్వే నా గిన్నె. నా అంతిమ గమ్యం నీ చేతుల్లోనే ఉంది.
[IRV | TE | OT | Psalms | Chapter 16 | Verse 6] మనోహరమైన స్థలాల్లో నాకోసం హద్దులు గీసి ఉన్నాయి. కచ్చితంగా శ్రేష్ఠమైన స్వాస్థ్యం నాది.
[IRV | TE | OT | Psalms | Chapter 16 | Verse 7] నాకు ఆలోచనకర్త అయిన యెహోవాను స్తుతిస్తాను, రాత్రివేళల్లో కూడా నా మనసు నాకు ఉపదేశిస్తూ ఉంది.
[IRV | TE | OT | Psalms | Chapter 16 | Verse 8] అన్నివేళలా యెహోవా వైపు నేను చూస్తూ ఉంటాను, ఆయన కుడిచేతిలోనుంచి నేను కదిలిపోను!
[IRV | TE | OT | Psalms | Chapter 16 | Verse 9] అందువల్ల నా హృదయం సంతోషంగా ఉంది. నా పూర్ణ హృదయం ఆయనను పొగడుతూ ఉంది. కచ్చితంగా నేను సురక్షితంగా ఉంటాను.
[IRV | TE | OT | Psalms | Chapter 16 | Verse 10] ఎందుకంటే నువ్వు నా ఆత్మను పాతాళంలో విడిచి పెట్టవు. నిబంధన నమ్మకత్వం ఉన్నవాణ్ణి చావు చూడనివ్వవు.
[IRV | TE | OT | Psalms | Chapter 16 | Verse 11] జీవమార్గం నువ్వు నాకు తెలియజేస్తావు. నీ సన్నిధిలో మహానందం ఉంది. నీ కుడిచేతిలో నిత్యానందం ఉంది.
