[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 1] তোমরা ভালবাসার অন্বেষণ কর এবং আত্মিক উপহারের জন্য প্রবল উত্সাহী হও, বিশেষভাবে যেন ভাববাণী বলতে পার।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 2] কারণ যে ব্যক্তি বিশেষ ভাষায় কথা বলে, সে মানুষের কাছে না, কিন্তু ঈশ্বরের কাছে বলে; কারণ কেউ তা বোঝে না, কারণ সে পবিত্র আত্মায় গুপ্ত সত্য কথা বলে।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 3] কিন্তু যে ব্যক্তি ভাববাণী বলে, সে মানুষের কাছে গেঁথে তুলবার এবং উত্সাহ ও সান্ত্বনার কথা বলে।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 4] যে ব্যক্তি বিশেষ ভাষায় কথা বলে, সে নিজেকে গেঁথে তোলে, কিন্তু যে ব্যক্তি ভাববাণী বলে, সে মণ্ডলীকে গেঁথে তোলে।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 5] আমি চাই, যেন তোমরা সবাই বিশেষ বিশেষ ভাষায় কথা বলতে পার, কিন্তু আরো চাই, যেন ভাববাণী বলতে পার; কারণ যে বিশেষ বিশেষ ভাষায় কথা বলে, মণ্ডলীকে গেঁথে তুলবার জন্য সে যদি অর্থ বুঝিয়ে না দেয়, তবে ভাববাণী প্রচারক তার থেকে মহান।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 6] এখন, হে ভাইয়েরা এবং বোনেরা, আমি তোমাদের কাছে এসে যদি বিশেষ বিশেষ ভাষায় কথা বলি, কিন্তু তোমাদের কাছে সত্য প্রকাশ কিংবা জ্ঞান কিংবা ভাববাণী কিংবা শিক্ষার বিষয়ে কথা না বলি, তবে আমার থেকে তোমাদের কি উপকার হবে?
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 7] বাঁশী হোক, কি বীণা হোক, সুরযুক্ত নিষ্প্রাণ বস্তুও যদি স্পষ্ট না বাজে, তবে বাঁশীতে বা বীণাতে কি বাজছে, তা কিভাবে জানা যাবে?
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 8] আর তুরীর ধ্বনি যদি অস্পষ্ট হয়, তবে কিভাবে কে জানতে পারবে যে, কখন যুদ্ধের জন্য সেনাবাহিনী তৈরী হবে?
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 9] তেমনি তোমরা যদি ভাষার মাধ্যমে, যা সহজে বোঝা যায়, এমন কথা না বল, তবে কি বলছে, তবে তা কিভাবে জানা যাবে? তুমি কথা বললে এবং কেউই বুঝতে পারলো না।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 10] হয়তো জগতে এত প্রকার ভাষা আছে, আর অর্থবিহীন কিছুই নেই।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 11] কিন্তু আমি যদি ভাষার অর্থ না জানি, তবে আমি তার কাছে একজন বর্ব্বরের মত হব এবং সেও আমার কাছে একজন বর্ব্বরের মত হবে।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 12] অতএব তোমরা যখন আত্মিক বরদান পাওয়ার জন্য সম্পূর্ণভাবে উদ্যোগী, তখন প্রবল উত্সাহের সাথে যেন মণ্ডলীকে গেঁথে তুলতে পারো।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 13] এই জন্য যে ব্যক্তি বিশেষ ভাষায় কথা বলে, সে প্রার্থনা করুক, যেন সে অনুবাদ করে দিতে পারে।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 14] কারণ যদি আমি বিশেষ ভাষায় প্রার্থনা করি, তবে আমার আত্মা প্রার্থনা করে, কিন্তু আমার মন ফলহীন থাকে।
