[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 1] I am the flower of the field, and the lily of the valleys.
[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 2] As the lily among thorns, so is my love among the daughters.
[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 3] As the apple tree among the trees of the woods, so is my beloved among the sons. I sat down under his shadow, whom I desired: and his fruit was sweet to my palate.
[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 4] He brought me into the cellar of wine, he set in order charity in me.
[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 5] Stay me up with flowers, compass me about with apples: because I languish with love.
[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 6] His left hand is under my head, and his right hand shall embrace me.
[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 7] I adjure you, O ye daughters of Jerusalem, by the roes, and the harts of the, fields, that you stir not up, nor make the beloved to awake, till she please.
[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 8] The voice of my beloved, behold he cometh leaping upon the mountains, skipping over the hills.
[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 9] My beloved is like a roe, or a young hart. Behold he standeth behind our wall, looking through the windows, looking through the lattices.
[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 10] Behold my beloved speaketh to me: Arise, make haste, my love, my dove, my beautiful one, and come.
[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 11] For winter is now past, the rain is over and gone.
[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 12] The flowers have appeared in our land, the time of pruning is come: the voice of the turtle is heard in our land:
[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 13] The fig tree hath put forth her green figs: the vines in flower yield their sweet smell. Arise, my love, my beautiful one, and come:
[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 14] My dove in the clefts of the rock, in the hollow places of the wall, shew me thy face, let thy voice sound in my ears: for thy voice is sweet, and thy face comely.
[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 15] Catch us the little foxes that destroy the vines: for our vineyard hath flourished.
[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 16] My beloved to me, and I to him who feedeth among the lilies,
[DRA | EN | OT | Song of Solomon | Chapter 2 | Verse 17] Till the day break, and the shadows retire. Return: be like, my beloved, to a roe, or to a young hart upon the mountains of Bether.
