[DRA | EN | OT | Song of Solomon | Chapter 5 | Verse 1] Let my beloved come into his garden, and eat the fruit of his apple trees. I am come into my garden, O my sister, my spouse, I have gathered my myrrh, with my aromatical spices: I have eaten the honeycomb with my honey, I have drunk my wine with my milk: eat, O friends, and drink, and be inebriated, my dearly beloved.
[DRA | EN | OT | Song of Solomon | Chapter 5 | Verse 2] I sleep, and my heart watcheth; the voice of my beloved knocking: Open to me, my sister, my love, my dove, my undefiled: for my head is full of dew, and my locks of the drops of the nights.
[DRA | EN | OT | Song of Solomon | Chapter 5 | Verse 3] I have put off my garment, how shall I put it on? I have washed my feet, how shall I defile them?
[DRA | EN | OT | Song of Solomon | Chapter 5 | Verse 4] My beloved put his hand through the key hole, and my bowels were moved at his touch.
[DRA | EN | OT | Song of Solomon | Chapter 5 | Verse 5] I arose up to open to my beloved: my hands dropped with myrrh, and my fingers were full of the choicest myrrh.
[DRA | EN | OT | Song of Solomon | Chapter 5 | Verse 6] I opened the bolt of my door to my beloved: but he had turned aside, and was gone. My soul melted when he spoke: I sought him, and found him not: I called, and he did not answer me.
[DRA | EN | OT | Song of Solomon | Chapter 5 | Verse 7] The keepers that go about the city found me: they struck me: and wounded me: the keepers of the walls took away my veil from me.
[DRA | EN | OT | Song of Solomon | Chapter 5 | Verse 8] I adjure you, O daughters of Jerusalem, if you find my beloved, that you tell him that I languish with love.
[DRA | EN | OT | Song of Solomon | Chapter 5 | Verse 9] What manner of one is thy beloved of the beloved, O thou most beautiful among women? what manner of one is thy beloved of the beloved, that thou hast so adjured us?
[DRA | EN | OT | Song of Solomon | Chapter 5 | Verse 10] My beloved is white and ruddy, chosen out of thousands.
[DRA | EN | OT | Song of Solomon | Chapter 5 | Verse 11] His head is as the finest gold: his locks as branches of palm trees, black as a raven.
[DRA | EN | OT | Song of Solomon | Chapter 5 | Verse 12] His eyes as doves upon brooks of waters, which are washed with milk, and sit beside the plentiful streams.
[DRA | EN | OT | Song of Solomon | Chapter 5 | Verse 13] His cheeks are as beds of aromatical spices set by the perfumers. His lips are as lilies dropping choice myrrh.
[DRA | EN | OT | Song of Solomon | Chapter 5 | Verse 14] His hands are turned and as of gold, full of hyacinths. His belly as of ivory, set with sapphires.
[DRA | EN | OT | Song of Solomon | Chapter 5 | Verse 15] His legs as pillars of marble, that are set upon bases of gold. His form as of Libanus, excellent as the cedars.
[DRA | EN | OT | Song of Solomon | Chapter 5 | Verse 16] His throat most sweet, and he is all lovely: such is my beloved, and he is my friend, O ye daughters of Jerusalem.
