[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 1] And Josiah held the Passover in Jerusalem unto his Lord, and offered the Passover the fourteenth day of the first month;
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 2] having set the priests according to their daily courses, being arrayed in their vestments, in the temple of the Lord.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 3] And he spake unto the Levites, the temple servants of Israel, that they should hallow themselves unto the Lord, to set the holy ark of the Lord in the house that king Solomon the son of David had built:
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 4] and said, Ye shall no more have need to bear it upon your shoulders: now therefore serve the Lord your God, and minister unto his people Israel, and prepare you after your fathers’ houses and kindreds,
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 5] according to the writing of David king of Israel, and according to the magnificence of Solomon his son: and standing in the holy place according to the several divisions of the families of you the Levites, who minister in the presence of your brethren the children of Israel,
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 6] offer the Passover in order, and make ready the sacrifices for your brethren, and keep the Passover according to the commandment of the Lord, which was given unto Moses.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 7] And unto the people who were present Josiah gave thirty thousand lambs and kids, and three thousand calves: these things were given of the king’s substance, according as he promised, to the people, and to the priests and Levites.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 8] And Hilkiah, and Zechariah, and Jehiel, the rulers of the temple, gave to the priests for the Passover two thousand and six hundred sheep, and three hundred calves.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 9] And Jeconiah, and Shemaiah and Nethanel his brother, and Hashabiah, and Ochiel, and Joram, captains over thousands, gave to the Levites for the Passover five thousand sheep, and seven hundred calves.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 10] And when these things were done, the priests and Levites, having the unleavened bread, stood in comely order according to the kindreds,
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 11] and according to the several divisions by fathers’ houses, before the people, to offer to the Lord, as it is written in the book of Moses: and thus did they in the morning.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 12] And they roasted the Passover with fire, as appertaineth: and the sacrifices they boiled in the brazen vessels and caldrons with a good savor,
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 13] and set them before all the people: and afterward they prepared for themselves, and for the priests their brethren, the sons of Aaron.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 14] For the priests offered the fat until night: and the Levites prepared for themselves, and for the priests their brethren, the sons of Aaron.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 15] The holy singers also, the sons of Asaph, were in their order, according to the appointment of David, to wit, Asaph, Zechariah, and Eddinus, who was of the king’s retinue.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 16] Moreover the porters were at every gate; none had need to depart from his daily course: for their brethren the Levites prepared for them.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 17] Thus were the things that belonged to the sacrifices of the Lord accomplished in that day, in holding the Passover,
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 18] and offering sacrifices upon the altar of the Lord, according to the commandment of king Josiah.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 19] So the children of Israel who were present at that time held the Passover, and the feast of unleavened bread seven days.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 20] And such a Passover was not held in Israel since the time of the prophet Samuel.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 21] Yea, all the kings of Israel held not such a Passover as Josiah, and the priests, and the Levites, and the Jews, held with all Israel that were present in their dwelling place at Jerusalem.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 22] In the eighteenth year of the reign of Josiah was this Passover held.
