[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 1] Then Ezra rising from the court of the temple went to the chamber of Jehohanan the son of Eliashib,
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 2] and lodged there, and did eat no bread nor drink water, mourning for the great iniquities of the multitude.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 3] And there was made proclamation in all Judea and Jerusalem to all them that were of the captivity, that they should be gathered together at Jerusalem:
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 4] and that whosoever met not there within two or three days, according as the elders that bare rule appointed, their cattle should be seized to the use of the temple, and himself cast out from the multitude of them that were of the captivity.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 5] And in three days were all they of the tribe of Judah and Benjamin gathered together at Jerusalem: this was the ninth month, on the twentieth day of the month.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 6] And all the multitude sat together trembling in the broad place before the temple because of the present foul weather.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 7] So Ezra arose up and said unto them, ye have transgressed the law and married strange wives, thereby to increase the sins of Israel.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 8] And now make confession and give glory unto the Lord, the God of our fathers,
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 9] and do his will, and separate yourselves from the heathen of the land, and from the strange women.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 10] Then cried the whole multitude, and said with a loud voice, Like as thou hast spoken, so will we do.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 11] But forasmuch as the multitude is great, and it is foul weather, so that we cannot stand without, and this is not a work of one day or two, seeing our sin in these things is spread far:
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 12] therefore let the rulers of the multitude stay, and let all them of our habitations that have strange wives come at the time appointed,
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 13] and with them the rulers and judges of every place, till we turn away the wrath of the Lord from us for this matter.
