[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 1] In the first year of Cyrus king of the Persians, that the word of the Lord by the mouth of Jeremiah might be accomplished,
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 2] the Lord stirred up the spirit of Cyrus king of the Persians, and he made proclamation through all his kingdom, and also by writing,
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 3] saying, Thus saith Cyrus king of the Persians: The Lord of Israel, the Most High Lord, hath made me king of the whole world,
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 4] and commanded me to build him a house at Jerusalem that is in Judea.
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 5] If therefore there be any of you that are of his people, let the Lord, even his Lord, be with him, and let him go up to Jerusalem that is in Judea, and build the house of the Lord of Israel: he is the Lord that dwelleth in Jerusalem.
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 6] Of such therefore as dwell in diverse places, let them that are in his own place help each one with gold, and with silver,
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 7] with gifts, with horses also and cattle, beside the other things which have been added by vow for the temple of the Lord which is in Jerusalem.
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 8] Then the chief of the families of Judah and of the tribe of Benjamin stood up; the priests also, and the Levites, and all they whose spirit the Lord had stirred to go up, to build the house for the Lord which is in Jerusalem.
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 9] And they that dwelt round about them helped them in all things with silver and gold, with horses and cattle, and with very many gifts that were vowed of a great number whose minds were stirred up thereto.
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 10] King Cyrus also brought forth the holy vessels of the Lord, which Nebuchadnezzar had carried away from Jerusalem, and had set up in his temple of idols.
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 11] Now when Cyrus king of the Persians had brought them forth, he delivered them to Mithridates his treasurer,
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 12] and by him they were delivered to Sheshbazzar the governor of Judea.
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 13] And this was the number of them: A thousand golden cups, a thousand cups of silver, censers of silver twenty nine, vials of gold thirty, and of silver two thousand four hundred and ten, and other vessels a thousand.
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 14] So all the vessels of gold and of silver were brought up, even five thousand four hundred threescore and nine,
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 15] and were carried back by Sheshbazzar, together with them of the captivity, from Babylon to Jerusalem.
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 16] But in the time of Artaxerxes king of the Persians Bislam, and Mithridates, and Tabeel, and Rehum, and Beltethmus, and Shimshai the scribe, with the others that were in commission with them, dwelling in Samaria and other places, wrote unto him against them that dwelt in Judea and Jerusalem the letter following:
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 17] To king Artaxerxes our Lord, Thy servants, Rehum the storywriter, and Shimshai the scribe, and the rest of their council, and the judges that are in Coelesyria and Phoenicia:
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 18] Be it now known to our lord the king, that the Jews that are come up from you to us, being come unto Jerusalem, do build that rebellious and wicked city, and do repair the marketplaces and the walls of it, and do lay the foundation of a temple.
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 19] Now if this city be built and the walls thereof be finished, they will not only refuse to give tribute, but will even stand up against kings.
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 20] And forasmuch as the things pertaining to the temple are now in hand, we think it meet not to neglect such a matter,
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 21] but to speak unto our lord the king, to the intent that, if it be thy pleasure, search may be made in the books of thy fathers:
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 22] and thou shalt find in the chronicles what is written concerning these things, and shalt understand that that city was rebellious, troubling both kings and cities:
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 23] and that the Jews were rebellious, and raised always wars therein of old time; for which cause even this city was laid waste.
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 24] Wherefore now we do declare unto thee, O lord the king, that if this city be built again, and the walls thereof set up anew, thou shalt from henceforth have no passage into Coelesyria and Phoenicia.
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 25] Then the king wrote back again to Rehum the storywriter, and Beltethmus, and Shimshai the scribe, and to the rest that were in commission, and dwelt in Samaria and Syria and Phoenicia, after this manner:
[ASV | EN | OT | 1 Esdras | Chapter 2 | Verse 26] I have read the epistle which ye have sent unto me: therefore I commanded to make search, and it hath been found that that city of old time hath made insurrection against kings;
