[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 1] Then we turned, and went up the way to Bashan. Og the king of Bashan came out against us, he and all his people, to battle at Edrei.
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 2] The LORD said to me, “Don’t fear him; for I have delivered him, with all his people and his land, into your hand. You shall do to him as you did to Sihon king of the Amorites, who lived at Heshbon.”
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 3] So the LORD our God also delivered into our hand Og, the king of Bashan, and all his people. We struck him until no one was left to him remaining.
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 4] We took all his cities at that time. There was not a city which we didn’t take from them: sixty cities, all the region of Argob, the kingdom of Og in Bashan.
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 5] All these were cities fortified with high walls, gates, and bars, in addition to a great many villages without walls.
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 6] We utterly destroyed them, as we did to Sihon king of Heshbon, utterly destroying every inhabited city, with the women and the little ones.
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 7] But all the livestock, and the plunder of the cities, we took for plunder for ourselves.
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 8] We took the land at that time out of the hand of the two kings of the Amorites who were beyond the Jordan, from the valley of the Arnon to Mount Hermon.
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 9] (The Sidonians call Hermon Sirion, and the Amorites call it Senir.)
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 10] We took all the cities of the plain, and all Gilead, and all Bashan, to Salecah and Edrei, cities of the kingdom of Og in Bashan.
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 11] (For only Og king of Bashan remained of the remnant of the Rephaim. Behold, his bedstead was a bedstead of iron. Isn’t it in Rabbah of the children of Ammon? Nine cubits was its length, and four cubits its width, after the cubit of a man.)
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 12] This land we took in possession at that time: from Aroer, which is by the valley of the Arnon, and half the hill country of Gilead with its cities, I gave to the Reubenites and to the Gadites;
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 13] and the rest of Gilead, and all Bashan, the kingdom of Og, I gave to the half-tribe of Manasseh—all the region of Argob, even all Bashan. (The same is called the land of Rephaim.
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 14] Jair the son of Manasseh took all the region of Argob, to the border of the Geshurites and the Maacathites, and called them, even Bashan, after his own name, Havvoth Jair, to this day.)
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 15] I gave Gilead to Machir.
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 16] To the Reubenites and to the Gadites I gave from Gilead even to the valley of the Arnon, the middle of the valley, and its border, even to the river Jabbok, which is the border of the children of Ammon;
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 17] the Arabah also, and the Jordan and its border, from Chinnereth even to the sea of the Arabah, the Salt Sea, under the slopes of Pisgah eastward.
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 18] I commanded you at that time, saying, “The LORD your God has given you this land to possess it. All of you men of valor shall pass over armed before your brothers, the children of Israel.
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 19] But your wives, and your little ones, and your livestock, (I know that you have much livestock), shall live in your cities which I have given you,
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 20] until the LORD gives rest to your brothers, as to you, and they also possess the land which the LORD your God gives them beyond the Jordan. Then you shall each return to his own possession, which I have given you.”
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 21] I commanded Joshua at that time, saying, “Your eyes have seen all that the LORD your God has done to these two kings. So shall the LORD do to all the kingdoms where you go over.
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 22] You shall not fear them; for the LORD your God himself fights for you.”
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 23] I begged GOD at that time, saying,
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 24] “Lord GOD, you have begun to show your servant your greatness, and your strong hand. For what god is there in heaven or in earth that can do works like yours, and mighty acts like yours?
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 25] Please let me go over and see the good land that is beyond the Jordan, that fine mountain, and Lebanon.”
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 26] But the LORD was angry with me because of you, and didn’t listen to me. The LORD said to me, “That is enough! Speak no more to me of this matter.
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 27] Go up to the top of Pisgah, and lift up your eyes westward, and northward, and southward, and eastward, and see with your eyes; for you shall not go over this Jordan.
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 28] But commission Joshua, and encourage him, and strengthen him; for he shall go over before this people, and he shall cause them to inherit the land which you shall see.”
[WEB | EN | OT | Deuteronomy | Chapter 3 | Verse 29] So we stayed in the valley near Beth Peor.
