[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 1] Benjamin was the father of Bela, his firstborn; Ashbel was the second born, Aharah the third,
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 2] Nohah the fourth, and Rapha the fifth.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 3] The sons of Bela: Addar, Gera, Abihud,
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 4] Abishua, Naaman, Ahoah,
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 5] Gera, Shephuphan, and Huram.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 6] These were the descendants of Ehud who were the heads of the families living in Geba and were exiled to Manahath:
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 7] Naaman, Ahijah, and Gera, who carried them into exile and who was the father of Uzza and Ahihud.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 8] Shaharaim had sons in the country of Moab after he had divorced his wives Hushim and Baara.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 9] His sons by his wife Hodesh: Jobab, Zibia, Mesha, Malcam,
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 10] Jeuz, Sachia, and Mirmah. These were his sons, heads of families.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 11] He also had sons by Hushim: Abitub and Elpaal.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 12] The sons of Elpaal: Eber, Misham, Shemed (who built Ono and Lod with its villages),
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 13] and Beriah and Shema (who were the heads of families of the inhabitants of Aijalon and who drove out the inhabitants of Gath).
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 14] Ahio, Shashak, Jeremoth,
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 15] Zebadiah, Arad, Eder,
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 16] Michael, Ishpah, and Joha were the sons of Beriah.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 17] Zebadiah, Meshullam, Hizki, Heber,
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 18] Ishmerai, Izliah, and Jobab were the sons of Elpaal.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 19] Jakim, Zichri, Zabdi,
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 20] Elienai, Zillethai, Eliel,
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 21] Adaiah, Beraiah, and Shimrath were the sons of Shimei.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 22] Ishpan, Eber, Eliel,
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 23] Abdon, Zichri, Hanan,
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 24] Hananiah, Elam, Anthothijah,
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 25] Iphdeiah, and Penuel were the sons of Shashak.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 26] Shamsherai, Shehariah, Athaliah,
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 27] Jaareshiah, Elijah, and Zichri were the sons of Jeroham.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 28] All these were heads of families, the chiefs according to their genealogies, and they lived in Jerusalem.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 29] Jeiel the father of Gibeon lived in Gibeon. His wife’s name was Maacah,
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 30] and Abdon was his firstborn son, then Zur, Kish, Baal, Nadab,
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 31] Gedor, Ahio, Zecher,
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 32] and Mikloth, who was the father of Shimeah. These also lived alongside their relatives in Jerusalem.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 33] Ner was the father of Kish, Kish was the father of Saul, and Saul was the father of Jonathan, Malchishua, Abinadab, and Esh-baal.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 34] The son of Jonathan: Merib-baal, and Merib-baal was the father of Micah.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 35] The sons of Micah: Pithon, Melech, Tarea, and Ahaz.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 36] Ahaz was the father of Jehoaddah, Jehoaddah was the father of Alemeth, Azmaveth, and Zimri, and Zimri was the father of Moza.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 37] Moza was the father of Binea. Raphah was his son, Eleasah his son, and Azel his son.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 38] Azel had six sons, and these were their names: Azrikam, Bocheru, Ishmael, Sheariah, Obadiah, and Hanan. All these were the sons of Azel.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 39] The sons of his brother Eshek: Ulam was his firstborn, Jeush second, and Eliphelet third.
[BSB | EN | OT | 1 Chronicles | Chapter 8 | Verse 40] The sons of Ulam were mighty men of valor, archers, and they had many sons and grandsons—150 in all. All these were the descendants of Benjamin.
