[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 1] The descendants of Judah: Perez, Hezron, Carmi, Hur, and Shobal.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 2] Reaiah son of Shobal was the father of Jahath, and Jahath was the father of Ahumai and Lahad. These were the clans of the Zorathites.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 3] These were the sons of Etam: Jezreel, Ishma, and Idbash. And their sister was named Hazzelelponi.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 4] Penuel was the father of Gedor, and Ezer was the father of Hushah. These were the descendants of Hur, the firstborn of Ephrathah and the father of Bethlehem.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 5] Ashhur the father of Tekoa had two wives, Helah and Naarah.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 6] Naarah bore to him Ahuzzam, Hepher, Temeni, and Haahashtari. These were the descendants of Naarah.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 7] The sons of Helah were Zereth, Zohar, Ethnan,
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 8] and Koz, who was the father of Anub and Zobebah and of the clans of Aharhel son of Harum.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 9] Now Jabez was more honorable than his brothers. His mother had named him Jabez, saying, “Because I bore him in pain.”
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 10] And Jabez called out to the God of Israel, “If only You would bless me and enlarge my territory! May Your hand be with me and keep me from harm, so that I will be free from pain.” And God granted the request of Jabez.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 11] Chelub the brother of Shuhah was the father of Mehir, who was the father of Eshton.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 12] Eshton was the father of Beth-rapha, of Paseah, and of Tehinnah the father of Ir-nahash. These were the men of Recah.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 13] The sons of Kenaz: Othniel and Seraiah. The sons of Othniel: Hathath and Meonothai.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 14] Meonothai was the father of Ophrah, and Seraiah was the father of Joab, the father of those living in Ge-harashim, which was given this name because its people were craftsmen.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 15] The sons of Caleb son of Jephunneh: Iru, Elah, and Naam. The son of Elah: Kenaz.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 16] The sons of Jehallelel: Ziph, Ziphah, Tiria, and Asarel.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 17] The sons of Ezrah: Jether, Mered, Epher, and Jalon. And Mered’s wife Bithiah gave birth to Miriam, Shammai, and Ishbah the father of Eshtemoa.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 18] These were the children of Pharaoh’s daughter Bithiah. Mered also took a Judean wife, who gave birth to Jered the father of Gedor, Heber the father of Soco, and Jekuthiel the father of Zanoah.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 19] The sons of Hodiah’s wife, the sister of Naham, were the fathers of Keilah the Garmite and of Eshtemoa the Maacathite.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 20] The sons of Shimon: Amnon, Rinnah, Ben-hanan, and Tilon. The descendants of Ishi: Zoheth and Ben-zoheth.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 21] The sons of Shelah son of Judah: Er the father of Lecah, Laadah the father of Mareshah and the clans of the linen workers at Beth-ashbea,
