[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 1] Additionally, David and the commanders of the army set apart some of the sons of Asaph, Heman, and Jeduthun to prophesy with the accompaniment of lyres, harps, and cymbals. The following is the list of the men who performed this service:
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 2] From the sons of Asaph: Zaccur, Joseph, Nethaniah, and Asarelah. These sons of Asaph were under the direction of Asaph, who prophesied under the direction of the king.
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 3] From the sons of Jeduthun: Gedaliah, Zeri, Jeshaiah, Shimei, Hashabiah, and Mattithiah—six in all—under the direction of their father Jeduthun, who prophesied with the harp, giving thanks and praise to the LORD.
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 4] From the sons of Heman: Bukkiah, Mattaniah, Uzziel, Shebuel, Jerimoth, Hananiah, Hanani, Eliathah, Giddalti, Romamti-ezer, Joshbekashah, Mallothi, Hothir, and Mahazioth.
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 5] All these sons of Heman the king’s seer were given him through the promises of God to exalt him, for God had given Heman fourteen sons and three daughters.
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 6] All these were under the direction of their fathers for the music of the house of the LORD with cymbals, harps, and lyres, for the service of the house of God. Asaph, Jeduthun, and Heman were under the direction of the king.
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 7] Together with their relatives, who were all trained and skillful in the songs of the LORD, they numbered 288.
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 8] They cast lots for their duties, young and old alike, teacher as well as pupil.
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 9] The first lot, which was for Asaph, fell to Joseph, his sons, and his brothers—12 in all; the second to Gedaliah, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 10] the third to Zaccur, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 11] the fourth to Izri, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 12] the fifth to Nethaniah, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 13] the sixth to Bukkiah, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 14] the seventh to Jesarelah, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 15] the eighth to Jeshaiah, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 16] the ninth to Mattaniah, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 17] the tenth to Shimei, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 18] the eleventh to Azarel, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 19] the twelfth to Hashabiah, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 20] the thirteenth to Shubael, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 21] the fourteenth to Mattithiah, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 22] the fifteenth to Jeremoth, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 23] the sixteenth to Hananiah, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 24] the seventeenth to Joshbekashah, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 25] the eighteenth to Hanani, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 26] the nineteenth to Mallothi, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 27] the twentieth to Eliathah, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 28] the twenty-first to Hothir, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 29] the twenty-second to Giddalti, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 30] the twenty-third to Mahazioth, his sons, and his brothers—12 in all;
[BSB | EN | OT | 1 Chronicles | Chapter 25 | Verse 31] and the twenty-fourth to Romamti-ezer, his sons, and his brothers—12 in all.
