[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 1] The sons of Issachar: Tola, Puah, Jashub, and Shimron—four in all.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 2] The sons of Tola: Uzzi, Rephaiah, Jeriel, Jahmai, Ibsam, and Shemuel, the heads of their families. In the days of David, 22,600 descendants of Tola were numbered in their genealogies as mighty men of valor.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 3] The son of Uzzi: Izrahiah. The sons of Izrahiah: Michael, Obadiah, Joel, and Isshiah. All five of them were chiefs.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 4] In addition to them, according to their genealogy, they had 36,000 troops for battle, for they had many wives and children.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 5] Their kinsmen belonging to all the families of Issachar who were mighty men of valor totaled 87,000, as listed in their genealogies.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 6] The three sons of Benjamin: Bela, Becher, and Jediael.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 7] The sons of Bela: Ezbon, Uzzi, Uzziel, Jerimoth, and Iri, heads of their families—five in all. There were 22,034 mighty men of valor listed in their genealogies.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 8] The sons of Becher: Zemirah, Joash, Eliezer, Elioenai, Omri, Jeremoth, Abijah, Anathoth, and Alemeth; all these were Becher’s sons.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 9] Their genealogies were recorded according to the heads of their families—20,200 mighty men of valor.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 10] The son of Jediael: Bilhan. The sons of Bilhan: Jeush, Benjamin, Ehud, Chenaanah, Zethan, Tarshish, and Ahishahar.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 11] All these sons of Jediael were heads of their families, mighty men of valor; there were 17,200 fit for battle.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 12] The Shuppites and Huppites were descendants of Ir, and the Hushites were descendants of Aher.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 13] The sons of Naphtali: Jahziel, Guni, Jezer, and Shallum —the descendants of Bilhah.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 14] The descendants of Manasseh: Through his Aramean concubine, Asriel, as well as Machir the father of Gilead.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 15] Machir took a wife from among the Huppites and Shuppites. The name of his sister was Maacah. Another descendant was named Zelophehad, who had only daughters.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 16] Machir’s wife Maacah gave birth to a son, and she named him Peresh. His brother was named Sheresh, and his sons were Ulam and Rekem.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 17] The son of Ulam: Bedan. These were the sons of Gilead son of Machir, the son of Manasseh.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 18] His sister Hammolecheth gave birth to Ishhod, Abiezer, and Mahlah.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 19] And these were the sons of Shemida: Ahian, Shechem, Likhi, and Aniam.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 20] The descendants of Ephraim: Shuthelah, Bered his son, Tahath his son, Eleadah his son, Tahath his son,
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 21] Zabad his son, and Shuthelah his son. Ezer and Elead were killed by the natives of Gath, because they went down to steal their livestock.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 22] Their father Ephraim mourned for many days, and his relatives came to comfort him.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 23] And again he slept with his wife, and she conceived and gave birth to a son. So he named him Beriah, because tragedy had come upon his house.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 24] His daughter was Sheerah, who built Lower and Upper Beth-horon, as well as Uzzen-sheerah.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 25] Additionally, Rephah was his son, Resheph his son, Telah his son, Tahan his son,
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 26] Ladan his son, Ammihud his son, Elishama his son,
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 27] Nun his son, and Joshua his son.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 28] Their holdings and settlements included Bethel and its villages, Naaran to the east, Gezer and its villages to the west, and Shechem and its villages as far as Ayyah and its villages.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 29] And along the borders of Manasseh were Beth-shean, Taanach, Megiddo, and Dor, together with their villages. The descendants of Joseph son of Israel lived in these towns.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 30] The children of Asher: Imnah, Ishvah, Ishvi, Beriah, and their sister Serah.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 31] The sons of Beriah: Heber, as well as Malchiel, who was the father of Birzaith.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 32] Heber was the father of Japhlet, Shomer, and Hotham, and of their sister Shua.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 33] The sons of Japhlet: Pasach, Bimhal, and Ashvath. These were Japhlet’s sons.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 34] The sons of Shemer: Ahi, Rohgah, Hubbah, and Aram.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 35] The sons of his brother Helem: Zophah, Imna, Shelesh, and Amal.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 36] The sons of Zophah: Suah, Harnepher, Shual, Beri, Imrah,
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 37] Bezer, Hod, Shamma, Shilshah, Ithran, and Beera.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 38] The sons of Jether: Jephunneh, Pispa, and Ara.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 39] The sons of Ulla: Arah, Hanniel, and Rizia.
[BSB | EN | OT | 1 Chronicles | Chapter 7 | Verse 40] All these were the descendants of Asher—heads of their families, choice and mighty men of valor, and chiefs among the leaders. The number of men fit for battle, recorded in their genealogies, was 26,000.
