[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 1] Then all Israel came together to David at Hebron and said, “Here we are, your own flesh and blood.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 2] Even in times past, while Saul was king, you were the one who led Israel out and brought them back. And the LORD your God said, ‘You will shepherd My people Israel, and you will be ruler over them.’”
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 3] So all the elders of Israel came to the king at Hebron, where David made a covenant with them before the LORD. And they anointed him king over Israel, according to the word of the LORD through Samuel.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 4] Then David and all the Israelites marched to Jerusalem (that is, Jebus), where the Jebusites inhabited the land.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 5] The people of Jebus said to David, “You will never get in here.” Nevertheless, David captured the fortress of Zion (that is, the City of David).
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 6] Now David had said, “Whoever is the first to strike down a Jebusite will become chief commander.” And Joab son of Zeruiah went up first, and he became the chief.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 7] So David took up residence in the fortress; that is why it was called the City of David.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 8] He built up the city around it, from the supporting terraces to the surrounding wall, while Joab restored the rest of the city.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 9] And David became greater and greater, for the LORD of Hosts was with him.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 10] Now these were the chiefs of David’s mighty men, who, together with all Israel, bolstered and strengthened his kingdom, according to the word of the LORD concerning Israel.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 11] This is the list of David’s mighty men: Jashobeam son of Hachmoni was chief of the officers; he wielded his spear against three hundred men, whom he killed at one time.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 12] Next in command was Eleazar son of Dodo the Ahohite, one of the three mighty men.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 13] He was with David at Pas-dammim when the Philistines gathered there for battle. At the place with a field full of barley, the troops fled from the Philistines.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 14] But Eleazar and David stationed themselves in the middle of the field and defended it. They struck down the Philistines, and the LORD brought about a great victory.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 15] Three of the thirty chief men went down to David, to the rock at the cave of Adullam, while a company of Philistines was encamped in the Valley of Rephaim.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 16] At that time David was in the stronghold, and the garrison of the Philistines was at Bethlehem.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 17] David longed for water and said, “Oh, that someone would get me a drink of water from the well near the gate of Bethlehem!”
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 18] So the Three broke through the Philistine camp, drew water from the well at the gate of Bethlehem, and brought it back to David. But he refused to drink it; instead, he poured it out to the LORD,
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 19] saying, “Far be it from me, my God, to do this! How can I drink the blood of these men who risked their lives?” Because they had brought it at the risk of their lives, David refused to drink it. Such were the exploits of the three mighty men.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 20] Now Abishai, the brother of Joab, was chief of the Three, and he lifted his spear against three hundred men, killed them, and won a name along with the Three.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 21] He was doubly honored above the Three, and he became their commander, even though he was not included among the Three.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 22] And Benaiah son of Jehoiada was a man of valor from Kabzeel, a man of many exploits. He struck down two champions of Moab, and on a snowy day he went down into a pit and killed a lion.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 23] He also killed an Egyptian, a huge man five cubits tall. Although the Egyptian had a spear like a weaver’s beam in his hand, Benaiah went against him with a club, snatched the spear from his hand, and killed the Egyptian with his own spear.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 24] These were the exploits of Benaiah son of Jehoiada, who won a name alongside the three mighty men.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 25] He was most honored among the Thirty, but he did not become one of the Three. And David appointed him over his guard.
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 26] Now these were the mighty men: Asahel the brother of Joab, Elhanan son of Dodo of Bethlehem,
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 27] Shammoth the Harorite, Helez the Pelonite,
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 28] Ira son of Ikkesh the Tekoite, Abiezer the Anathothite,
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 29] Sibbecai the Hushathite, Ilai the Ahohite,
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 30] Maharai the Netophathite, Heled son of Baanah the Netophathite,
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 31] Ithai son of Ribai from Gibeah of the Benjamites, Benaiah the Pirathonite,
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 32] Hurai from the brooks of Gaash, Abiel the Arbathite,
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 33] Azmaveth the Baharumite, Eliahba the Shaalbonite,
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 34] the sons of Hashem the Gizonite, Jonathan son of Shagee the Hararite,
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 35] Ahiam son of Sachar the Hararite, Eliphal son of Ur,
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 36] Hepher the Mecherathite, Ahijah the Pelonite,
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 37] Hezro the Carmelite, Naarai son of Ezbai,
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 38] Joel the brother of Nathan, Mibhar son of Hagri,
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 39] Zelek the Ammonite, Naharai the Beerothite, the armor-bearer of Joab son of Zeruiah,
[BSB | EN | OT | 1 Chronicles | Chapter 11 | Verse 40] Ira the Ithrite, Gareb the Ithrite,
