[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 1] Now Hiram king of Tyre sent envoys to David, along with cedar logs, stonemasons, and carpenters, to build a palace for him.
[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 2] And David realized that the LORD had established him as king over Israel and had highly exalted his kingdom for the sake of His people Israel.
[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 3] And David took more wives in Jerusalem and became the father of more sons and daughters.
[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 4] These are the names of the children born to him in Jerusalem: Shammua, Shobab, Nathan, Solomon,
[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 5] Ibhar, Elishua, Elpelet,
[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 6] Nogah, Nepheg, Japhia,
[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 7] Elishama, Beeliada, and Eliphelet.
[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 8] When the Philistines heard that David had been anointed king over all Israel, they all went in search of him; but David learned of this and went out to face them.
[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 9] Now the Philistines had come and raided the Valley of Rephaim.
[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 10] So David inquired of God, “Should I go up against the Philistines? Will You deliver them into my hand?” “Go,” replied the LORD, “for I will deliver them into your hand.”
[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 11] So David and his men went up to Baal-perazim, where he defeated the Philistines and said, “Like a bursting flood, God has burst out against my enemies by my hand.” So they called that place Baal-perazim.
[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 12] There the Philistines abandoned their gods, and David ordered that they be burned in the fire.
[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 13] Once again the Philistines raided the valley.
[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 14] So David again inquired of God, who answered him, “Do not march up after them, but circle around them and attack them in front of the balsam trees.
[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 15] As soon as you hear the sound of marching in the tops of the balsam trees, move out to battle, because this will mean that God has marched out before you to strike the camp of the Philistines.”
[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 16] So David did as God had commanded him, and they struck down the army of the Philistines all the way from Gibeon to Gezer.
[BSB | EN | OT | 1 Chronicles | Chapter 14 | Verse 17] And David’s fame went out into every land, and the LORD caused all nations to fear him.
