[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 1] These were the sons of Israel: Reuben, Simeon, Levi, Judah, Issachar, Zebulun,
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 2] Dan, Joseph, Benjamin, Naphtali, Gad, and Asher.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 3] The sons of Judah: Er, Onan, and Shelah. These three were born to him by Bath-shua the Canaanite. Er, Judah’s firstborn, was wicked in the sight of the LORD, who put him to death.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 4] Tamar, Judah’s daughter-in-law, bore to him Perez and Zerah. Judah had five sons in all.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 5] The sons of Perez: Hezron and Hamul.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 6] The sons of Zerah: Zimri, Ethan, Heman, Calcol, and Dara —five in all.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 7] The son of Carmi: Achar, who brought trouble upon Israel by violating the ban on devoted things.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 8] The son of Ethan: Azariah.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 9] The sons who were born to Hezron: Jerahmeel, Ram, and Caleb.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 10] Ram was the father of Amminadab, and Amminadab was the father of Nahshon, a leader of the descendants of Judah.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 11] Nahshon was the father of Salmon, and Salmon was the father of Boaz.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 12] Boaz was the father of Obed, and Obed was the father of Jesse.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 13] Jesse was the father of Eliab his firstborn; Abinadab was born second, Shimea third,
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 14] Nethanel fourth, Raddai fifth,
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 15] Ozem sixth, and David seventh.
