[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 1] The sons of Levi: Gershon, Kohath, and Merari.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 2] The sons of Kohath: Amram, Izhar, Hebron, and Uzziel.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 3] The children of Amram: Aaron, Moses, and Miriam. The sons of Aaron: Nadab, Abihu, Eleazar, and Ithamar.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 4] Eleazar was the father of Phinehas, Phinehas was the father of Abishua,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 5] Abishua was the father of Bukki, Bukki was the father of Uzzi,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 6] Uzzi was the father of Zerahiah, Zerahiah was the father of Meraioth,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 7] Meraioth was the father of Amariah, Amariah was the father of Ahitub,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 8] Ahitub was the father of Zadok, Zadok was the father of Ahimaaz,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 9] Ahimaaz was the father of Azariah, Azariah was the father of Johanan,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 10] Johanan was the father of Azariah, who served as priest in the temple that Solomon built in Jerusalem,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 11] Azariah was the father of Amariah, Amariah was the father of Ahitub,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 12] Ahitub was the father of Zadok, Zadok was the father of Shallum,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 13] Shallum was the father of Hilkiah, Hilkiah was the father of Azariah,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 14] Azariah was the father of Seraiah, and Seraiah was the father of Jehozadak.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 15] Jehozadak went into captivity when the LORD sent Judah and Jerusalem into exile by the hand of Nebuchadnezzar.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 16] The sons of Levi: Gershom, Kohath, and Merari.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 17] These are the names of the sons of Gershom: Libni and Shimei.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 18] The sons of Kohath: Amram, Izhar, Hebron, and Uzziel.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 19] The sons of Merari: Mahli and Mushi. These are the clans of the Levites listed according to their fathers:
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 20] Of Gershom: Libni his son, Jahath his son, Zimmah his son,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 21] Joah his son, Iddo his son, Zerah his son, and Jeatherai his son.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 22] The descendants of Kohath: Amminadab his son, Korah his son, Assir his son,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 23] Elkanah his son, Ebiasaph his son, Assir his son,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 24] Tahath his son, Uriel his son, Uzziah his son, and Shaul his son.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 25] The descendants of Elkanah: Amasai, Ahimoth,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 26] Elkanah his son, Zophai his son, Nahath his son,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 27] Eliab his son, Jeroham his son, and Elkanah his son.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 28] The sons of Samuel: Joel his firstborn and Abijah his second son.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 29] The descendants of Merari: Mahli, Libni his son, Shimei his son, Uzzah his son,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 30] Shimea his son, Haggiah his son, and Asaiah his son.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 31] These are the men David put in charge of the music in the house of the LORD after the ark rested there.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 32] They ministered with song before the tabernacle, the Tent of Meeting, until Solomon built the house of the LORD in Jerusalem. And they performed their duties according to the regulations given them.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 33] These are the men who served, together with their sons. From the Kohathites: Heman the singer, the son of Joel, the son of Samuel,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 34] the son of Elkanah, the son of Jeroham, the son of Eliel, the son of Toah,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 35] the son of Zuph, the son of Elkanah, the son of Mahath, the son of Amasai,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 36] the son of Elkanah, the son of Joel, the son of Azariah, the son of Zephaniah,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 37] the son of Tahath, the son of Assir, the son of Ebiasaph, the son of Korah,
