[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 1] Now these were the men who came to David at Ziklag, while he was still banished from the presence of Saul son of Kish (they were among the mighty men who helped him in battle;
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 2] they were archers using both the right and left hands to sling stones and shoot arrows; and they were Saul’s kinsmen from Benjamin):
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 3] Ahiezer their chief and Joash, who were the sons of Shemaah the Gibeathite; Jeziel and Pelet, the sons of Azmaveth; Beracah; Jehu the Anathothite;
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 4] Ishmaiah the Gibeonite, a mighty man among the Thirty and a leader over the Thirty; Jeremiah, Jahaziel, Johanan, and Jozabad the Gederathite;
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 5] Eluzai, Jerimoth, Bealiah, Shemariah, and Shephatiah the Haruphite;
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 6] Elkanah, Isshiah, Azarel, Joezer, and Jashobeam, who were Korahites;
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 7] and Joelah and Zebadiah, the sons of Jeroham from Gedor.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 8] Some Gadites defected to David at his stronghold in the desert. They were mighty men of valor, trained for battle, experts with the shield and spear, whose faces were like the faces of lions and who were as swift as gazelles on the mountains:
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 9] Ezer the chief, Obadiah the second in command, Eliab the third,
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 10] Mishmannah the fourth, Jeremiah the fifth,
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 11] Attai the sixth, Eliel the seventh,
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 12] Johanan the eighth, Elzabad the ninth,
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 13] Jeremiah the tenth, and Machbanai the eleventh.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 14] These Gadites were army commanders, the least of whom was a match for a hundred, and the greatest for a thousand.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 15] These are the ones who crossed the Jordan in the first month when it was overflowing all its banks, and they put to flight all those in the valleys, both to the east and to the west.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 16] Other Benjamites and some men from Judah also came to David in his stronghold.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 17] And David went out to meet them, saying, “If you have come to me in peace to help me, my heart will be united with you; but if you have come to betray me to my enemies when my hands are free of violence, may the God of our fathers see it and judge you.”
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 18] Then the Spirit came upon Amasai, the chief of the Thirty, and he said: “We are yours, O David! We are with you, O son of Jesse! Peace, peace to you, and peace to your helpers, for your God helps you.” So David received them and made them leaders of his troops.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 19] Some from Manasseh defected to David when he went with the Philistines to fight against Saul. (They did not help the Philistines because the Philistine rulers consulted and sent David away, saying, “It will cost us our heads if he defects to his master Saul.”)
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 20] When David went to Ziklag, these men of Manasseh defected to him: Adnah, Jozabad, Jediael, Michael, Jozabad, Elihu, and Zillethai, chiefs of thousands in Manasseh.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 21] They helped David against the raiders, for they were all mighty men of valor and commanders in the army.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 22] For at that time men came to David day after day to help him, until he had a great army, like the army of God.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 23] Now these are the numbers of men armed for battle who came to David at Hebron to turn Saul’s kingdom over to him, in accordance with the word of the LORD:
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 24] From Judah: 6,800 armed troops bearing shields and spears.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 25] From Simeon: 7,100 mighty men of valor, ready for battle.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 26] From Levi: 4,600,
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 27] including Jehoiada, leader of the house of Aaron, with 3,700 men,
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 28] and Zadok, a mighty young man of valor, with 22 commanders from his own family.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 29] From Benjamin, the kinsmen of Saul: 3,000, most of whom had remained loyal to the house of Saul up to that time.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 30] From Ephraim: 20,800 mighty men of valor, famous among their own clans.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 31] From the half-tribe of Manasseh: 18,000 designated by name to come and make David king.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 32] From Issachar, men who understood the times and knew what Israel should do: 200 chiefs with all their kinsmen at their command.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 33] From Zebulun: 50,000 fit for service, trained for battle with all kinds of weapons of war, who with one purpose were devoted to David.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 34] From Naphtali: 1,000 commanders, accompanied by 37,000 men with shield and spear.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 35] From Dan: 28,600 prepared for battle.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 36] From Asher: 40,000 fit for service, prepared for battle.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 37] And from east of the Jordan, from Reuben, Gad, and the half-tribe of Manasseh there: 120,000 armed with every kind of weapon of war.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 38] All these men of war, arrayed for battle, came to Hebron fully determined to make David king over all Israel. And all the rest of the Israelites were of one mind to make David king.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 39] They spent three days there eating and drinking with David, for their relatives had provided for them.
[BSB | EN | OT | 1 Chronicles | Chapter 12 | Verse 40] And their neighbors from as far away as Issachar, Zebulun, and Naphtali came bringing food on donkeys, camels, mules, and oxen—abundant supplies of flour, fig cakes and raisin cakes, wine and oil, oxen and sheep. Indeed, there was joy in Israel.
