[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 1] So all Israel was recorded in the genealogies written in the Book of the Kings of Israel. But Judah was exiled to Babylon because of their unfaithfulness.
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 2] Now the first to resettle their own property in their cities were Israelites, priests, Levites, and temple servants.
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 3] These were some of the descendants of Judah, Benjamin, Ephraim, and Manasseh who lived in Jerusalem:
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 4] Uthai son of Ammihud, the son of Omri, the son of Imri, the son of Bani, a descendant of Perez son of Judah.
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 5] From the Shilonites: Asaiah the firstborn and his sons.
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 6] From the Zerahites: Jeuel and 690 relatives.
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 7] From the Benjamites: Sallu son of Meshullam, the son of Hodaviah, the son of Hassenuah;
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 8] Ibneiah son of Jeroham; Elah son of Uzzi, the son of Michri; Meshullam son of Shephatiah, the son of Reuel, the son of Ibnijah;
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 9] and 956 of their relatives according to their genealogy. All these men were heads of their families.
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 10] From the priests: Jedaiah, Jehoiarib, and Jachin;
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 11] Azariah son of Hilkiah, the son of Meshullam, the son of Zadok, the son of Meraioth, the son of Ahitub, the chief official of God’s temple;
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 12] Adaiah son of Jeroham, the son of Pashhur, the son of Malchijah; Maasai son of Adiel, the son of Jahzerah, the son of Meshullam, the son of Meshillemith, the son of Immer;
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 13] and 1,760 of their relatives, the heads of their families, able men for the work of the service of the house of God.
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 14] From the Levites: Shemaiah son of Hasshub, the son of Azrikam, the son of Hashabiah, a descendant of Merari;
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 15] Bakbakkar, Heresh, Galal, and Mattaniah son of Mica, the son of Zichri, the son of Asaph;
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 16] Obadiah son of Shemaiah, the son of Galal, the son of Jeduthun; and Berechiah son of Asa, the son of Elkanah, who lived in the villages of the Netophathites.
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 17] These were the gatekeepers: Shallum, Akkub, Talmon, Ahiman, and their relatives. Shallum was their chief;
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 18] he was previously stationed at the King’s Gate on the east side. These were the gatekeepers from the camp of the Levites.
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 19] Shallum son of Kore, the son of Ebiasaph, the son of Korah, and his relatives from the Korahites were assigned to guard the thresholds of the Tent, just as their fathers had been assigned to guard the entrance to the dwelling of the LORD.
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 20] In earlier times Phinehas son of Eleazar had been in charge of the gatekeepers, and the LORD was with him.
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 21] Zechariah son of Meshelemiah was the gatekeeper at the entrance to the Tent of Meeting.
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 22] The number of those chosen to be gatekeepers at the thresholds was 212. They were registered by genealogy in their villages. David and Samuel the seer had appointed them to their positions of trust.
[BSB | EN | OT | 1 Chronicles | Chapter 9 | Verse 23] So they and their descendants were assigned to guard the gates of the house of the LORD—the house called the Tent.
