[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 1] So they brought the ark of God and placed it inside the tent that David had pitched for it. And they presented burnt offerings and peace offerings before God.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 2] When David had finished sacrificing the burnt offerings and peace offerings, he blessed the people in the name of the LORD.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 3] Then he distributed to every man and woman of Israel a loaf of bread, a date cake, and a raisin cake.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 4] David appointed some of the Levites to minister before the ark of the LORD, to celebrate, to give thanks, and to praise the LORD, the God of Israel.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 5] Asaph was the chief, Zechariah was second, then Jeiel, Shemiramoth, Jehiel, Mattithiah, Eliab, Benaiah, Obed-edom, and Jeiel. They were to play the harps and lyres, while Asaph sounded the cymbals
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 6] and the priests Benaiah and Jahaziel blew the trumpets regularly before the ark of the covenant of God.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 7] On that day David first committed to Asaph and his brothers this song of thanksgiving to the LORD:
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 8] “Give thanks to the LORD; call upon His name; make known His deeds among the nations.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 9] Sing to Him, sing praises to Him; tell of all His wonders.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 10] Glory in His holy name; let the hearts of those who seek the LORD rejoice.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 11] Seek out the LORD and His strength; seek His face always.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 12] Remember the wonders He has done, His marvels, and the judgments He has pronounced,
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 13] O offspring of His servant Israel, O sons of Jacob, His chosen ones.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 14] He is the LORD our God; His judgments carry throughout the earth.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 15] Remember His covenant forever, the word He ordained for a thousand generations—
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 16] the covenant He made with Abraham, and the oath He swore to Isaac.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 17] He confirmed it to Jacob as a decree, to Israel as an everlasting covenant:
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 18] ‘I will give you the land of Canaan as the portion of your inheritance.’
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 19] When they were few in number, few indeed, and strangers in the land,
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 20] they wandered from nation to nation, from one kingdom to another.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 21] He let no man oppress them; He rebuked kings on their behalf:
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 22] ‘Do not touch My anointed ones! Do no harm to My prophets!’
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 23] Sing to the LORD, all the earth. Proclaim His salvation day after day.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 24] Declare His glory among the nations, His wonderful deeds among all peoples.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 25] For great is the LORD, and greatly to be praised; He is to be feared above all gods.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 26] For all the gods of the nations are idols, but it is the LORD who made the heavens.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 27] Splendor and majesty are before Him; strength and joy fill His dwelling.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 28] Ascribe to the LORD, O families of the nations, ascribe to the LORD glory and strength.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 29] Ascribe to the LORD the glory due His name; bring an offering and come before Him. Worship the LORD in the splendor of His holiness;
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 30] tremble before Him, all the earth. The world is firmly established; it cannot be moved.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 31] Let the heavens be glad, and the earth rejoice. Let them say among the nations, ‘The LORD reigns!’
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 32] Let the sea resound, and all that fills it; let the fields exult, and all that is in them.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 33] Then the trees of the forest will sing for joy before the LORD, for He is coming to judge the earth.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 34] Give thanks to the LORD, for He is good; His loving devotion endures forever.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 35] Then cry out: ‘Save us, O God of our salvation; gather and deliver us from the nations, that we may give thanks to Your holy name, that we may glory in Your praise.’
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 36] Blessed be the LORD, the God of Israel, from everlasting to everlasting.” Then all the people said, “Amen!” and “Praise the LORD!”
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 37] So David left Asaph and his brothers there before the ark of the covenant of the LORD, to minister there regularly according to the daily requirements,
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 38] along with Obed-edom and his sixty-eight relatives. Obed-edom son of Jeduthun, and also Hosah, were to be gatekeepers.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 39] And David left Zadok the priest and his fellow priests before the tabernacle of the LORD at the high place in Gibeon
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 40] to regularly present burnt offerings to the LORD on the altar of burnt offerings, morning and evening, according to all that was written in the Law of the LORD, which He had commanded Israel to keep.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 41] With them were Heman, Jeduthun, and the rest of those chosen and designated by name to give thanks to the LORD, for “His loving devotion endures forever.”
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 42] Heman and Jeduthun had with them trumpets and cymbals for the music and instruments for the songs of God. And the sons of Jeduthun were stationed at the gate.
[BSB | EN | OT | 1 Chronicles | Chapter 16 | Verse 43] Then all the people departed for their homes, and David returned home to bless his household.
