[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 1] To all things there is an appointed time, and a time to euery purpose vnder the heauen.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 2] A time to bee borne, and a time to die: a time to plant, and a time to plucke vp that which is planted.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 3] A time to slay, and a time to heale: a time to breake downe, and a time to builde.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 4] A time to weepe, and a time to laugh: a time to mourne, and a time to dance.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 5] A time to cast away stones, and a time to gather stones: a time to embrace, and a time to be farre from embracing.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 6] A time to seeke, and a time to lose: a time to keepe, and a time to cast away.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 7] A time to rent, and a time to sowe: a time to keepe silence, and a time to speake.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 8] A time to loue, and a time to hate: a time of warre, and a time of peace.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 9] What profite hath hee that worketh of the thing wherein he trauaileth?
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 10] I haue seene the trauaile that God hath giuen to ye sonnes of men to humble them thereby.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 11] He hath made euery thing beautifull in his time: also he hath set the worlde in their heart, yet can not man finde out the worke that God hath wrought from the beginning euen to the end.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 12] I know that there is nothing good in them, but to reioyce, and to doe good in his life.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 13] And also that euery man eateth and drinketh, and seeth the commoditie of all his labour. this is the gift of God.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 14] I knowe that whatsoeuer God shall doe, it shalbe for euer: to it can no man adde, and from it can none diminish: for God hath done it, that they should feare before him.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 15] What is that that hath bene? that is nowe: and that that shalbe, hath now bene: for God requireth that which is past.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 16] And moreouer I haue seene vnder the sunne the place of iudgement, where was wickednesse, and the place of iustice where was iniquitie.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 17] I thought in mine heart, God wil iudge the iust and the wicked: for time is there for euery purpose and for euery worke.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 18] I considered in mine heart the state of the children of men that God had purged them: yet to see to, they are in themselues as beastes.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 19] For the condition of the children of men, and the condition of beasts are euen as one condition vnto them. As the one dyeth, so dyeth the other: for they haue all one breath, and there is no excellency of man aboue ye beast: for all is vanitie.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 20] All goe to one place, and all was of the dust, and all shall returne to the dust.
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 21] Who knoweth whether the spirit of man ascend vpward, and the spirit of the beast descend downeward to the earth?
[GNV | EN | OT | Ecclesiastes | Chapter 3 | Verse 22] Therefore I see that there is nothing better then that a man shoulde reioyce in his affaires, because that is his portion. For who shall bring him to see what shalbe after him?
