[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 1] I have surely giuen mine heart to all this, and to declare all this, that the iust, and the wise, and their workes are in the hand of God: and no man knoweth eyther loue or hatred of all that is before them.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 2] All things come alike to all: and the same condition is to the iust and to the wicked, to the good and to the pure, and to the polluted, and to him that sacrificeth, and to him that sacrificeth not: as is the good, so is the sinner, he that sweareth, as he that feareth an othe.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 3] This is euill among all that is done vnder the sunne, that there is one condition to all, and also the heart of the sonnes of men is full of euill, and madnes is in their heartes whiles they liue, and after that, they goe to the dead.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 4] Surely whosoeuer is ioyned to all ye liuing, there is hope: for it is better to a liuing dog, then to a dead lyon.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 5] For the liuing knowe that they shall dye, but the dead knowe nothing at all: neither haue they any more a rewarde: for their remembrance is forgotten.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 6] Also their loue, and their hatred, and their enuie is now perished, and they haue no more portion for euer, in all that is done vnder the sunne.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 7] Goe, eate thy bread with ioy, and drinke thy wine with a cheerefull heart: for God nowe accepteth thy workes.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 8] At all times let thy garments be white, and let not oyle be lacking vpon thine head.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 9] Reioyce with the wife whom thou hast loued all the dayes of the life of thy vanitie, which God hath giuen thee vnder the sunne all the dayes of thy vanitie: for this is thy portion in the life, and in thy trauaile wherein thou labourest vnder the sunne.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 10] All that thine hand shall finde to doe, doe it with all thy power: for there is neither worke nor inuention, nor knowledge, nor wisedome in the graue whither thou goest.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 11] I returned, and I sawe vnder the sunne that the race is not to the swift, nor the battell to the strong, nor yet bread to the wise, nor also riches to men of vnderstanding, neither yet fauour to men of knowledge: but time and chance commeth to them all.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 12] For neither doth man knowe his time, but as the fishes which are taken in an euill net, and as the birdes that are caught in the snare: so are the children of men snared in the euill time when it falleth vpon them suddenly.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 13] I haue also seene this wisedome vnder the sunne, and it is great vnto me.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 14] A litle citie and fewe men in it, and a great King came against it, and compassed it about, and builded fortes against it.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 15] And there was founde therein a poore and wise man, and he deliuered the citie by his wisedome: but none remembred this poore man.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 16] Then said I, Better is wisdome then strength: yet the wisedome of the poore is despised, and his wordes are not heard.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 17] The wordes of the wise are more heard in quietnes, then the crye of him that ruleth among fooles.
[GNV | EN | OT | Ecclesiastes | Chapter 9 | Verse 18] Better is wisedome then weapons of warre: but one sinner destroyeth much good.
