[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 1] In like manner, ye wives, be in subjection to your own husbands; that, even if any obey not the word, they shall without the word be gained by the behavior of their wives;
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 2] beholding your chaste behavior coupled with fear.
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 3] Whose adorning let it not be the outward adorning of braiding the hair, and of wearing jewels of gold, or of putting on apparel;
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 4] but let it be the hidden man of the heart, in the incorruptible apparel of a meek and quiet spirit, which is in the sight of God of great price.
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 5] For after this manner aforetime the holy women also, who hoped in God, adorned themselves, being in subjection to their own husbands:
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 6] as Sarah obeyed Abraham, calling him lord: whose children ye now are, if ye do well, and are not put in fear by any terror.
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 7] Ye husbands, in like manner, dwell with your wives according to knowledge, giving honor unto the woman, as unto the weaker vessel, as being also joint heirs of the grace of life; to the end that your prayers be not hindered.
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 8] Finally, be ye all like-minded, compassionate, loving as brethren, tenderhearted, courteous:
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 9] not rendering evil for evil, or reviling for reviling; but contrariwise blessing; knowing that ye were hereunto called, that ye should inherit a blessing.
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 10] For, He that would love life, And see good days, Let him refrain his tongue from evil, And his lips that they speak no guile:
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 11] Let him turn away from evil, and do good; Let him seek peace, and pursue it.
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 12] For the eyes of the Lord are upon the righteous, And his ears unto their supplication: But the face of the Lord is upon them that do evil.
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 13] And who is he that will harm you, if ye become imitators of that which is good?
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 14] But even if ye should suffer for righteousness’ sake, blessed are ye: and fear not their fear, neither be troubled;
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 15] but sanctify the Lord God in your hearts: and be ready always to give answer to every man that asketh you a reason concerning the hope that is in you, with meekness and fear:
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 16] having a good conscience; that, wherein they speak against you as evildoers, they may be put to shame who revile your good manner of life in Christ.
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 17] For it is better, if the will of God should so will, that ye suffer for well-doing than for evildoing.
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 18] Because Christ also suffered for sins once, the righteous for the unrighteous, that he might bring you to God; being put to death in the flesh, but made alive in the spirit;
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 19] in which also he went and preached unto the spirits in prison,
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 20] that aforetime were disobedient, when the long-suffering of God waited in the days of Noah, while the ark was a preparing, wherein few, that is, eight souls, were saved through water:
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 21] which also after a true likeness doth now save us, even baptism, not the putting away of the filth of the flesh, but the interrogation of a good conscience toward God, through the resurrection of Jesus Christ;
[ASV | EN | NT | 1 Peter | Chapter 3 | Verse 22] who is on the right hand of God, having gone into heaven; angels and authorities and powers being made subject unto him.
