[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 1] Putting away therefore all wickedness, and all guile, and hypocrisies, and envies, and all evil speakings,
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 2] as newborn babes, long for the spiritual milk which is without guile, that ye may grow thereby;
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 3] if so be that ye have tasted that the Lord is gracious:
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 4] unto whom coming, a living stone, rejected indeed of men, but with God elect, precious,
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 5] ye also, as living stones, are built up a spiritual house, a holy priesthood, to offer up spiritual sacrifices, acceptable to God through Jesus Christ.
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 6] Because it is contained in the scripture, Behold, I lay in Zion a chief cornerstone, elect, precious: And he that believeth on him shall not be put to shame.
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 7] For you therefore that believe is the preciousness: but unto them that are disobedient, The stone which the builders rejected, The same was made the head of the corner;
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 8] and, A stone of stumbling, and a rock of offense; for they stumble at the word, being disobedient: whereunto also they were appointed.
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 9] But ye are an elect race, a royal priesthood, a holy nation, a people for God’s own possession, that ye may show forth the excellencies of him who called you out of darkness into his marvelous light:
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 10] who in time past were no people, but now are the people of God: who had not obtained mercy, but now have obtained mercy.
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 11] Beloved, I beseech you as sojourners and pilgrims, to abstain from fleshly lusts, which war against the soul;
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 12] having your behavior seemly among the Gentiles; that, wherein they speak against you as evildoers, they may by your good works, which they shall behold, glorify God in the day of visitation.
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 13] Be subject therefore to every ordinance of man for the Lord’s sake: whether to the king, as supreme;
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 14] or unto governors, as sent by him for vengeance on evildoers and for praise to them that do well.
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 15] For so is the will of God, that by well-doing ye should put to silence the ignorance of foolish men:
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 16] as free, and not using your freedom for a cloak of wickedness, but as bondservants of God.
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 17] Honor all men. Love the brotherhood. Fear God. Honor the king.
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 18] Servants, be in subjection to your masters with all fear; not only to the good and gentle, but also to the froward.
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 19] For this is acceptable, if for conscience toward God a man endureth griefs, suffering wrongfully.
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 20] For what glory is it, if, when ye sin, and are buffeted for it, ye shall take it patiently? but if, when ye do well, and suffer for it, ye shall take it patiently, this is acceptable with God.
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 21] For hereunto were ye called: because Christ also suffered for us, leaving you an example, that ye should follow his steps:
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 22] who did no sin, neither was guile found in his mouth:
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 23] who, when he was reviled, reviled not again; when he suffered, threatened not; but committed himself to him that judgeth righteously:
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 24] who his own self bare our sins in his body upon the tree, that we, having died unto sins, might live unto righteousness; by whose stripes ye were healed.
[ASV | EN | NT | 1 Peter | Chapter 2 | Verse 25] For ye were like sheep going astray; but are now returned unto the Shepherd and Bishop of your souls.
