[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 1] Forasmuch then as Christ suffered for us in the flesh, arm ye yourselves also with the same mind; for he that hath suffered in the flesh hath ceased from sin;
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 2] that ye no longer should live the rest of your time in the flesh to the lusts of men, but to the will of God.
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 3] For the time past of our life may suffice us to have wrought the will of the Gentiles, and to have walked in lasciviousness, lusts, winebibbings, revelings, carousings, and abominable idolatries:
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 4] wherein they think it strange that ye run not with them into the same excess of riot, speaking evil of you:
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 5] who shall give account to him that is ready to judge the living and the dead.
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 6] For unto this end was the gospel preached even to the dead, that they might be judged indeed according to men in the flesh, but live according to God in the spirit.
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 7] But the end of all things is at hand: be ye therefore of sound mind, and be sober unto prayer:
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 8] and above all things being fervent in your love among yourselves; for love shall cover a multitude of sins:
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 9] using hospitality one to another without murmurings:
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 10] according as each hath received a gift, ministering it among yourselves, as good stewards of the manifold grace of God;
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 11] if any man speaketh, speaking as it were oracles of God; if any man ministereth, ministering as of strength as God supplieth: that in all things God may be glorified through Jesus Christ, whose is the glory and the dominion forever and ever. Amen.
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 12] Beloved, think it not strange concerning the fiery trial among you, which cometh upon you to prove you, as though a strange thing happened unto you:
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 13] but insomuch as ye are partakers of Christ’s sufferings, rejoice; that at the revelation of his glory also ye may rejoice with exceeding joy.
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 14] If ye are reproached for the name of Christ, blessed are ye; because the Spirit of glory and the Spirit of God resteth upon you: on their part he is blasphemed, but on your part he is glorified.
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 15] For let none of you suffer as a murderer, or a thief, or an evildoer, or as a meddler in other men’s matters:
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 16] but if a man suffer as a Christian, let him not be ashamed; but let him glorify God in this respect.
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 17] For the time is come for judgment to begin at the house of God: and if it begin first at us, what shall be the end of them that obey not the gospel of God?
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 18] And if the righteous is scarcely saved, where shall the ungodly and sinner appear?
[ASV | EN | NT | 1 Peter | Chapter 4 | Verse 19] Wherefore let them also that suffer according to the will of God commit their souls in well-doing, as unto a faithful Creator.
