[BSB | EN | OT | Job | Chapter 6 | Verse 1] Then Job replied:
[BSB | EN | OT | Job | Chapter 6 | Verse 2] “If only my grief could be weighed and placed with my calamity on the scales.
[BSB | EN | OT | Job | Chapter 6 | Verse 3] For then it would outweigh the sand of the seas— no wonder my words have been rash.
[BSB | EN | OT | Job | Chapter 6 | Verse 4] For the arrows of the Almighty have pierced me; my spirit drinks in their poison; the terrors of God are arrayed against me.
[BSB | EN | OT | Job | Chapter 6 | Verse 5] Does a wild donkey bray over fresh grass, or an ox low over its fodder?
[BSB | EN | OT | Job | Chapter 6 | Verse 6] Is tasteless food eaten without salt, or is there flavor in the white of an egg ?
[BSB | EN | OT | Job | Chapter 6 | Verse 7] My soul refuses to touch them; they are loathsome food to me.
[BSB | EN | OT | Job | Chapter 6 | Verse 8] If only my request were granted and God would fulfill my hope:
[BSB | EN | OT | Job | Chapter 6 | Verse 9] that God would be willing to crush me, to unleash His hand and cut me off!
[BSB | EN | OT | Job | Chapter 6 | Verse 10] It still brings me comfort, and joy through unrelenting pain, that I have not denied the words of the Holy One.
[BSB | EN | OT | Job | Chapter 6 | Verse 11] What strength do I have, that I should still hope? What is my future, that I should be patient?
[BSB | EN | OT | Job | Chapter 6 | Verse 12] Is my strength like that of stone, or my flesh made of bronze?
[BSB | EN | OT | Job | Chapter 6 | Verse 13] Is there any help within me now that success is driven from me?
[BSB | EN | OT | Job | Chapter 6 | Verse 14] A despairing man should have the kindness of his friend, even if he forsakes the fear of the Almighty.
[BSB | EN | OT | Job | Chapter 6 | Verse 15] But my brothers are as faithless as wadis, as seasonal streams that overflow,
[BSB | EN | OT | Job | Chapter 6 | Verse 16] darkened because of the ice and the inflow of melting snow,
[BSB | EN | OT | Job | Chapter 6 | Verse 17] but ceasing in the dry season and vanishing from their channels in the heat.
[BSB | EN | OT | Job | Chapter 6 | Verse 18] Caravans turn aside from their routes; they go into the wasteland and perish.
[BSB | EN | OT | Job | Chapter 6 | Verse 19] The caravans of Tema look for water; the travelers of Sheba hope to find it.
[BSB | EN | OT | Job | Chapter 6 | Verse 20] They are confounded because they had hoped; their arrival brings disappointment.
[BSB | EN | OT | Job | Chapter 6 | Verse 21] For now you are of no help; you see terror, and you are afraid.
[BSB | EN | OT | Job | Chapter 6 | Verse 22] Have I ever said, ‘Give me something; offer me a bribe from your wealth;
[BSB | EN | OT | Job | Chapter 6 | Verse 23] deliver me from the hand of the enemy; redeem me from the grasp of the ruthless’?
[BSB | EN | OT | Job | Chapter 6 | Verse 24] Teach me, and I will be silent. Help me understand how I have erred.
[BSB | EN | OT | Job | Chapter 6 | Verse 25] How painful are honest words! But what does your argument prove?
[BSB | EN | OT | Job | Chapter 6 | Verse 26] Do you intend to correct my words, and treat as wind my cry of despair?
[BSB | EN | OT | Job | Chapter 6 | Verse 27] You would even cast lots for an orphan and barter away your friend.
[BSB | EN | OT | Job | Chapter 6 | Verse 28] But now, please look at me. Would I lie to your face?
[BSB | EN | OT | Job | Chapter 6 | Verse 29] Reconsider; do not be unjust. Reconsider, for my righteousness is at stake.
[BSB | EN | OT | Job | Chapter 6 | Verse 30] Is there iniquity on my tongue? Can my mouth not discern malice?
