[BSB | EN | OT | Job | Chapter 5 | Verse 1] “Call out if you please, but who will answer? To which of the holy ones will you turn?
[BSB | EN | OT | Job | Chapter 5 | Verse 2] For resentment kills a fool, and envy slays the simple.
[BSB | EN | OT | Job | Chapter 5 | Verse 3] I have seen a fool taking root, but suddenly his house was cursed.
[BSB | EN | OT | Job | Chapter 5 | Verse 4] His sons are far from safety, crushed in court without a defender.
[BSB | EN | OT | Job | Chapter 5 | Verse 5] The hungry consume his harvest, taking it even from the thorns, and the thirsty pant after his wealth.
[BSB | EN | OT | Job | Chapter 5 | Verse 6] For distress does not spring from the dust, and trouble does not sprout from the ground.
[BSB | EN | OT | Job | Chapter 5 | Verse 7] Yet man is born to trouble as surely as sparks fly upward.
[BSB | EN | OT | Job | Chapter 5 | Verse 8] However, if I were you, I would appeal to God and lay my cause before Him—
[BSB | EN | OT | Job | Chapter 5 | Verse 9] the One who does great and unsearchable things, wonders without number.
[BSB | EN | OT | Job | Chapter 5 | Verse 10] He gives rain to the earth and sends water upon the fields.
[BSB | EN | OT | Job | Chapter 5 | Verse 11] He sets the lowly on high, so that mourners are lifted to safety.
[BSB | EN | OT | Job | Chapter 5 | Verse 12] He thwarts the schemes of the crafty, so that their hands find no success.
[BSB | EN | OT | Job | Chapter 5 | Verse 13] He catches the wise in their craftiness, and sweeps away the plans of the cunning.
[BSB | EN | OT | Job | Chapter 5 | Verse 14] They encounter darkness by day and grope at noon as in the night.
[BSB | EN | OT | Job | Chapter 5 | Verse 15] He saves the needy from the sword in their mouth and from the clutches of the powerful.
[BSB | EN | OT | Job | Chapter 5 | Verse 16] So the poor have hope, and injustice shuts its mouth.
[BSB | EN | OT | Job | Chapter 5 | Verse 17] Blessed indeed is the man whom God corrects; so do not despise the discipline of the Almighty.
[BSB | EN | OT | Job | Chapter 5 | Verse 18] For He wounds, but He also binds; He strikes, but His hands also heal.
[BSB | EN | OT | Job | Chapter 5 | Verse 19] He will rescue you from six calamities; no harm will touch you in seven.
[BSB | EN | OT | Job | Chapter 5 | Verse 20] In famine He will redeem you from death, and in battle from the stroke of the sword.
[BSB | EN | OT | Job | Chapter 5 | Verse 21] You will be hidden from the scourge of the tongue, and will not fear havoc when it comes.
[BSB | EN | OT | Job | Chapter 5 | Verse 22] You will laugh at destruction and famine, and need not fear the beasts of the earth.
[BSB | EN | OT | Job | Chapter 5 | Verse 23] For you will have a covenant with the stones of the field, and the wild animals will be at peace with you.
[BSB | EN | OT | Job | Chapter 5 | Verse 24] You will know that your tent is secure, and find nothing amiss when inspecting your home.
[BSB | EN | OT | Job | Chapter 5 | Verse 25] You will know that your offspring will be many, your descendants like the grass of the earth.
[BSB | EN | OT | Job | Chapter 5 | Verse 26] You will come to the grave in full vigor, like a sheaf of grain gathered in season.
[BSB | EN | OT | Job | Chapter 5 | Verse 27] Indeed, we have investigated, and it is true! So hear it and know for yourself.”
