[BSB | EN | OT | Job | Chapter 11 | Verse 1] Then Zophar the Naamathite replied:
[BSB | EN | OT | Job | Chapter 11 | Verse 2] “Should this stream of words go unanswered and such a speaker be vindicated?
[BSB | EN | OT | Job | Chapter 11 | Verse 3] Should your babbling put others to silence? Will you scoff without rebuke?
[BSB | EN | OT | Job | Chapter 11 | Verse 4] You have said, ‘My doctrine is sound, and I am pure in Your sight.’
[BSB | EN | OT | Job | Chapter 11 | Verse 5] But if only God would speak and open His lips against you,
[BSB | EN | OT | Job | Chapter 11 | Verse 6] and disclose to you the secrets of wisdom, for true wisdom has two sides. Know then that God exacts from you less than your iniquity deserves.
[BSB | EN | OT | Job | Chapter 11 | Verse 7] Can you fathom the deep things of God or discover the limits of the Almighty?
[BSB | EN | OT | Job | Chapter 11 | Verse 8] They are higher than the heavens—what can you do? They are deeper than Sheol—what can you know?
[BSB | EN | OT | Job | Chapter 11 | Verse 9] Their measure is longer than the earth and wider than the sea.
[BSB | EN | OT | Job | Chapter 11 | Verse 10] If He comes along to imprison you, or convenes a court, who can stop Him?
[BSB | EN | OT | Job | Chapter 11 | Verse 11] Surely He knows the deceit of men. If He sees iniquity, does He not take note?
[BSB | EN | OT | Job | Chapter 11 | Verse 12] But a witless man can no more become wise than the colt of a wild donkey can be born a man!
[BSB | EN | OT | Job | Chapter 11 | Verse 13] As for you, if you direct your heart and lift up your hands to Him,
[BSB | EN | OT | Job | Chapter 11 | Verse 14] if you put away the iniquity in your hand, and allow no injustice to dwell in your tents,
[BSB | EN | OT | Job | Chapter 11 | Verse 15] then indeed you will lift up your face without shame; you will stand firm and unafraid.
[BSB | EN | OT | Job | Chapter 11 | Verse 16] For you will forget your misery, recalling it only as waters gone by.
[BSB | EN | OT | Job | Chapter 11 | Verse 17] Your life will be brighter than noonday; its darkness will be like the morning.
[BSB | EN | OT | Job | Chapter 11 | Verse 18] You will be secure, because there is hope, and you will look around and lie down in safety.
[BSB | EN | OT | Job | Chapter 11 | Verse 19] You will lie down without fear, and many will court your favor.
[BSB | EN | OT | Job | Chapter 11 | Verse 20] But the eyes of the wicked will fail, and escape will elude them; they will hope for their last breath.”
