[BSB | EN | OT | Job | Chapter 3 | Verse 1] After this, Job opened his mouth and cursed the day of his birth.
[BSB | EN | OT | Job | Chapter 3 | Verse 2] And this is what he said:
[BSB | EN | OT | Job | Chapter 3 | Verse 3] “May the day of my birth perish, and the night it was said, ‘A boy is conceived.’
[BSB | EN | OT | Job | Chapter 3 | Verse 4] If only that day had turned to darkness! May God above disregard it; may no light shine upon it.
[BSB | EN | OT | Job | Chapter 3 | Verse 5] May darkness and gloom reclaim it, and a cloud settle over it; may the blackness of the day overwhelm it.
[BSB | EN | OT | Job | Chapter 3 | Verse 6] If only darkness had taken that night away! May it not appear among the days of the year; may it never be entered in any of the months.
[BSB | EN | OT | Job | Chapter 3 | Verse 7] Behold, may that night be barren; may no joyful voice come into it.
[BSB | EN | OT | Job | Chapter 3 | Verse 8] May it be cursed by those who curse the day — those prepared to rouse Leviathan.
[BSB | EN | OT | Job | Chapter 3 | Verse 9] May its morning stars grow dark; may it wait in vain for daylight; may it not see the breaking of dawn.
[BSB | EN | OT | Job | Chapter 3 | Verse 10] For that night did not shut the doors of the womb to hide the sorrow from my eyes.
[BSB | EN | OT | Job | Chapter 3 | Verse 11] Why did I not perish at birth; why did I not die as I came from the womb?
[BSB | EN | OT | Job | Chapter 3 | Verse 12] Why were there knees to receive me, and breasts that I should be nursed?
[BSB | EN | OT | Job | Chapter 3 | Verse 13] For now I would be lying down in peace; I would be asleep and at rest
[BSB | EN | OT | Job | Chapter 3 | Verse 14] with kings and counselors of the earth, who built for themselves cities now in ruins,
[BSB | EN | OT | Job | Chapter 3 | Verse 15] or with princes who had gold, who filled their houses with silver.
[BSB | EN | OT | Job | Chapter 3 | Verse 16] Or why was I not hidden like a stillborn child, like an infant who never sees daylight?
[BSB | EN | OT | Job | Chapter 3 | Verse 17] There the wicked cease from raging, and there the weary find rest.
[BSB | EN | OT | Job | Chapter 3 | Verse 18] The captives enjoy their ease; they do not hear the voice of the oppressor.
[BSB | EN | OT | Job | Chapter 3 | Verse 19] Both small and great are there, and the slave is freed from his master.
[BSB | EN | OT | Job | Chapter 3 | Verse 20] Why is light given to the miserable, and life to the bitter of soul,
[BSB | EN | OT | Job | Chapter 3 | Verse 21] who long for death that does not come, and search for it like hidden treasure,
[BSB | EN | OT | Job | Chapter 3 | Verse 22] who rejoice and greatly exult when they can find the grave?
[BSB | EN | OT | Job | Chapter 3 | Verse 23] Why is life given to a man whose way is hidden, whom God has hedged in?
[BSB | EN | OT | Job | Chapter 3 | Verse 24] I sigh when food is put before me, and my groans pour out like water.
[BSB | EN | OT | Job | Chapter 3 | Verse 25] For the thing I feared has overtaken me, and what I dreaded has befallen me.
[BSB | EN | OT | Job | Chapter 3 | Verse 26] I am not at ease or quiet; I have no rest, for trouble has come.”
