[BSB | EN | OT | Job | Chapter 36 | Verse 1] And Elihu continued:
[BSB | EN | OT | Job | Chapter 36 | Verse 2] “Bear with me a little longer, and I will show you that there is more to be said on God’s behalf.
[BSB | EN | OT | Job | Chapter 36 | Verse 3] I get my knowledge from afar, and I will ascribe justice to my Maker.
[BSB | EN | OT | Job | Chapter 36 | Verse 4] For truly my words are free of falsehood; one perfect in knowledge is with you.
[BSB | EN | OT | Job | Chapter 36 | Verse 5] Indeed, God is mighty, but He despises no one; He is mighty in strength of understanding.
[BSB | EN | OT | Job | Chapter 36 | Verse 6] He does not keep the wicked alive, but He grants justice to the afflicted.
[BSB | EN | OT | Job | Chapter 36 | Verse 7] He does not take His eyes off the righteous, but He enthrones them with kings and exalts them forever.
[BSB | EN | OT | Job | Chapter 36 | Verse 8] And if men are bound with chains, caught in cords of affliction,
[BSB | EN | OT | Job | Chapter 36 | Verse 9] then He tells them their deeds and how arrogantly they have transgressed.
[BSB | EN | OT | Job | Chapter 36 | Verse 10] He opens their ears to correction and commands that they turn from iniquity.
[BSB | EN | OT | Job | Chapter 36 | Verse 11] If they obey and serve Him, then they end their days in prosperity and their years in happiness.
[BSB | EN | OT | Job | Chapter 36 | Verse 12] But if they do not obey, then they perish by the sword and die without knowledge.
[BSB | EN | OT | Job | Chapter 36 | Verse 13] The godless in heart harbor resentment; even when He binds them, they do not cry for help.
[BSB | EN | OT | Job | Chapter 36 | Verse 14] They die in their youth, among the male shrine prostitutes.
[BSB | EN | OT | Job | Chapter 36 | Verse 15] God rescues the afflicted by their affliction and opens their ears in oppression.
[BSB | EN | OT | Job | Chapter 36 | Verse 16] Indeed, He drew you from the jaws of distress to a spacious and broad place, to a table full of richness.
[BSB | EN | OT | Job | Chapter 36 | Verse 17] But now you are laden with the judgment due the wicked; judgment and justice have seized you.
[BSB | EN | OT | Job | Chapter 36 | Verse 18] Be careful that no one lures you with riches; do not let a large bribe lead you astray.
[BSB | EN | OT | Job | Chapter 36 | Verse 19] Can your wealth or all your mighty effort keep you from distress?
[BSB | EN | OT | Job | Chapter 36 | Verse 20] Do not long for the night, when people vanish from their homes.
[BSB | EN | OT | Job | Chapter 36 | Verse 21] Be careful not to turn to iniquity, for this you have preferred to affliction.
[BSB | EN | OT | Job | Chapter 36 | Verse 22] Behold, God is exalted in His power. Who is a teacher like Him?
[BSB | EN | OT | Job | Chapter 36 | Verse 23] Who has appointed His way for Him, or told Him, ‘You have done wrong’?
[BSB | EN | OT | Job | Chapter 36 | Verse 24] Remember to magnify His work, which men have praised in song.
[BSB | EN | OT | Job | Chapter 36 | Verse 25] All mankind has seen it; men behold it from afar.
[BSB | EN | OT | Job | Chapter 36 | Verse 26] Indeed, God is great—beyond our knowledge; the number of His years is unsearchable.
[BSB | EN | OT | Job | Chapter 36 | Verse 27] For He draws up drops of water which distill the rain from the mist,
[BSB | EN | OT | Job | Chapter 36 | Verse 28] which the clouds pour out and shower abundantly on mankind.
[BSB | EN | OT | Job | Chapter 36 | Verse 29] Furthermore, who can understand how the clouds spread out, how the thunder roars from His pavilion?
[BSB | EN | OT | Job | Chapter 36 | Verse 30] See how He scatters His lightning around Him and covers the depths of the sea.
[BSB | EN | OT | Job | Chapter 36 | Verse 31] For by these He judges the nations and provides food in abundance.
[BSB | EN | OT | Job | Chapter 36 | Verse 32] He fills His hands with lightning and commands it to strike its mark.
[BSB | EN | OT | Job | Chapter 36 | Verse 33] The thunder declares His presence; even the cattle regard the rising storm.
