[BSB | EN | OT | Job | Chapter 39 | Verse 1] “Do you know when mountain goats give birth? Have you watched the doe bear her fawn?
[BSB | EN | OT | Job | Chapter 39 | Verse 2] Can you count the months they are pregnant? Do you know the time they give birth?
[BSB | EN | OT | Job | Chapter 39 | Verse 3] They crouch down and bring forth their young; they deliver their newborn.
[BSB | EN | OT | Job | Chapter 39 | Verse 4] Their young ones thrive and grow up in the open field; they leave and do not return.
[BSB | EN | OT | Job | Chapter 39 | Verse 5] Who set the wild donkey free? Who released the swift donkey from the harness?
[BSB | EN | OT | Job | Chapter 39 | Verse 6] I made the wilderness his home and the salt flats his dwelling.
[BSB | EN | OT | Job | Chapter 39 | Verse 7] He scorns the tumult of the city and never hears the shouts of a driver.
[BSB | EN | OT | Job | Chapter 39 | Verse 8] He roams the mountains for pasture, searching for any green thing.
[BSB | EN | OT | Job | Chapter 39 | Verse 9] Will the wild ox consent to serve you? Will he stay by your manger at night?
[BSB | EN | OT | Job | Chapter 39 | Verse 10] Can you hold him to the furrow with a harness? Will he plow the valleys behind you?
[BSB | EN | OT | Job | Chapter 39 | Verse 11] Can you rely on his great strength? Will you leave your hard work to him?
[BSB | EN | OT | Job | Chapter 39 | Verse 12] Can you trust him to bring in your grain and gather it to your threshing floor?
[BSB | EN | OT | Job | Chapter 39 | Verse 13] The wings of the ostrich flap joyfully, but cannot match the pinions and feathers of the stork.
[BSB | EN | OT | Job | Chapter 39 | Verse 14] For she leaves her eggs on the ground and lets them warm in the sand.
[BSB | EN | OT | Job | Chapter 39 | Verse 15] She forgets that a foot may crush them, or a wild animal may trample them.
[BSB | EN | OT | Job | Chapter 39 | Verse 16] She treats her young harshly, as if not her own, with no concern that her labor was in vain.
[BSB | EN | OT | Job | Chapter 39 | Verse 17] For God has deprived her of wisdom; He has not endowed her with understanding.
[BSB | EN | OT | Job | Chapter 39 | Verse 18] Yet when she proudly spreads her wings, she laughs at the horse and its rider.
[BSB | EN | OT | Job | Chapter 39 | Verse 19] Do you give strength to the horse or adorn his neck with a mane?
[BSB | EN | OT | Job | Chapter 39 | Verse 20] Do you make him leap like a locust, striking terror with his proud snorting?
[BSB | EN | OT | Job | Chapter 39 | Verse 21] He paws in the valley and rejoices in his strength; he charges into battle.
[BSB | EN | OT | Job | Chapter 39 | Verse 22] He laughs at fear, frightened of nothing; he does not turn back from the sword.
[BSB | EN | OT | Job | Chapter 39 | Verse 23] A quiver rattles at his side, along with a flashing spear and lance.
[BSB | EN | OT | Job | Chapter 39 | Verse 24] Trembling with excitement, he devours the distance; he cannot stand still when the ram’s horn sounds.
[BSB | EN | OT | Job | Chapter 39 | Verse 25] At the blast of the horn, he snorts with fervor. He catches the scent of battle from afar— the shouts of captains and the cry of war.
[BSB | EN | OT | Job | Chapter 39 | Verse 26] Does the hawk take flight by your understanding and spread his wings toward the south?
[BSB | EN | OT | Job | Chapter 39 | Verse 27] Does the eagle soar at your command and make his nest on high?
[BSB | EN | OT | Job | Chapter 39 | Verse 28] He dwells on a cliff and lodges there; his stronghold is on a rocky crag.
[BSB | EN | OT | Job | Chapter 39 | Verse 29] From there he spies out food; his eyes see it from afar.
[BSB | EN | OT | Job | Chapter 39 | Verse 30] His young ones feast on blood; and where the slain are, there he is.”
